,PS1,PS3,PS4,PS5,EPS1,VS1
1277,158.69032666666712,1.758138166666666,0.0,9.183496833333361,2478.5849000000253,0.6135
2009,160.602398333334,1.9363214999999843,10.062851666666646,9.836687499999968,2548.5990000000343,0.5461000000000001
1755,160.64909833333363,1.9470514999999882,10.106028500000034,9.875243666666666,2550.278133333364,0.5490166666666667
1817,160.45117166666623,1.9032708333333095,10.068283333333346,9.839856166666689,2560.169100000041,0.5422166666666667
1226,158.4522366666682,1.736588666666665,0.0,9.18147316666668,2493.004033333362,0.6183666666666667
872,158.3093416666663,1.7770525000000064,0.0,9.011308999999978,2452.9324333333075,0.6023999999999999
1866,160.63437000000067,1.9483614999999934,10.072632000000029,9.844075000000002,2552.7242000000624,0.5437
1714,160.43262999999976,1.9159839999999806,10.16164383333329,9.927629500000045,2574.7972000000004,0.5392833333333333
771,158.012353333334,1.7858095000000076,0.0,8.948139999999956,2441.2920999999305,0.6016999999999999
1081,158.28513500000028,1.7224031666666582,0.0,9.111797166666653,2486.9753000000433,0.6147833333333335
244,156.14315166666626,1.6435209999999802,0.0,8.527812166666621,2416.611900000032,0.6632999999999998
1455,158.9608949999999,1.7947998333333448,0.0,9.122075166666718,2465.490000000028,0.5967833333333333
1846,160.19818999999953,1.9258341666666532,10.06539566666669,9.83159099999998,2559.152100000041,0.5513
687,172.7922850000007,1.1219653333333168,0.0015380000000000003,8.400987166666642,2604.39870000004,0.7208500000000003
640,172.6702783333349,1.1060496666666575,0.0,8.401888166666648,2620.506400000031,0.7318666666666667
1761,161.2628550000002,2.0139310000000026,10.083046333333337,9.850704666666589,2537.693033333403,0.5480999999999999
106,157.11328999999898,1.7327083333333284,0.0,8.60633166666663,2403.6278000000184,0.65485
551,172.694465,1.0910276666666552,0.05964283333333334,8.372860499999948,2599.480500000009,0.7295333333333331
2049,161.02356833333414,2.0015005000000032,10.076674500000005,9.847027333333221,2537.8399666667005,0.5471166666666665
1978,160.18524333333363,1.9179948333333106,10.055611000000003,9.825333166666619,2556.7475333333723,0.5387500000000002
1594,161.04676499999988,2.0061540000000018,0.359045166666665,9.942040499999944,2540.3830666667054,0.5623666666666665
1017,158.22782666666706,1.7436004999999952,0.0,9.058905333333296,2464.8380666666812,0.6208333333333331
1678,160.68450500000034,1.9091906666666507,10.170996666666715,9.942503666666608,2577.9458666667256,0.5466000000000001
1756,161.0340266666667,2.0015849999999986,10.107910500000017,9.873735500000016,2540.3602333333683,0.5513333333333335
95,157.16025666666675,1.7196221666666607,0.0,8.628924666666718,2413.379666666686,0.634316666666667
1314,159.04503499999973,1.7971323333333369,0.0,9.154113000000038,2464.487166666677,0.60205
1745,160.70479833333437,1.9535603333333194,10.113237666666699,9.87976233333338,2551.4266333333644,0.5468333333333334
1404,158.7112533333332,1.763325333333338,0.0,9.165663833333396,2468.631333333317,0.6094166666666667
1397,158.7914199999997,1.760823333333334,0.0,9.165586500000034,2469.2070000000385,0.6135499999999999
564,156.32621666666665,1.678685833333319,0.0,8.387849166666657,2367.3650000000057,0.7137333333333333
1259,158.84835166666718,1.753686000000013,0.0,9.17864633333337,2478.632100000037,0.6165833333333334
18,158.65068833333348,1.7934546666666664,0.0,8.836582499999968,2452.2997666667193,0.6039000000000001
1360,158.5112050000009,1.7381071666666652,0.0,9.170090666666749,2480.547900000017,0.6212833333333335
1368,158.46245000000192,1.751495333333341,0.0,9.18172883333338,2481.8664333333536,0.6190499999999999
660,155.80594500000078,1.636167833333321,0.0006951666666666665,8.399577833333321,2377.221266666708,0.6443000000000002
340,156.8266283333345,1.7626978333333378,0.05252916666666664,8.517733333333357,2397.2687000000524,0.6527833333333335
731,156.3664966666664,1.7355023333333317,0.0,8.485111666666668,2379.244233333379,0.61805
133,157.0235233333333,1.7427850000000007,0.0,8.579552499999915,2400.6577666666976,0.64555
1429,159.1983350000003,1.7916188333333427,0.0,9.130885833333323,2458.7700000000495,0.6119000000000001
1795,161.00595666666695,1.9989129999999977,10.063854166666712,9.834601499999973,2535.1669333333984,0.54635
1159,159.0946650000003,1.8116598333333453,0.0,9.138339000000016,2460.068000000029,0.6139833333333332
469,173.45069833333295,1.1608008333333235,0.0,8.470310000000046,2617.6969666667114,0.7282000000000001
1545,161.0220349999988,2.0031165000000035,2.2196626666666637,9.962347499999948,2544.184800000051,0.5637
1494,160.9376916666664,1.9916561666666674,1.4242008333333378,9.949227833333268,2541.5852333333396,0.5623333333333335
47,157.56419666666633,1.7243855000000012,0.0,8.709383166666656,2417.8548333333783,0.6304666666666668
120,157.03155499999983,1.7302994999999952,0.0,8.589607833333332,2401.902933333338,0.6547833333333332
876,158.31368333333327,1.7773165000000029,0.0,9.008379166666701,2452.5222999999655,0.6059
759,157.85581499999978,1.766200333333334,0.0,8.915635666666718,2439.9898333333035,0.5947833333333333
239,156.1431933333328,1.6344984999999823,0.0,8.530307999999968,2414.678933333381,0.6581333333333333
1786,161.0555666666664,2.0049773333333407,10.062525000000022,9.83598816666666,2538.3759333333423,0.5500666666666666
1353,158.51065500000115,1.7369468333333349,0.0,9.173818666666717,2484.959333333331,0.5994833333333335
1865,160.64032000000088,1.941866499999993,10.066325833333366,9.838484500000018,2552.7529333333805,0.5544333333333334
345,173.3080516666656,1.1306303333333214,0.4323923333333328,8.52652616666668,2652.812200000064,0.7262333333333333
1542,161.03424666666547,2.0012241666666695,2.007930000000007,9.962391166666613,2543.598800000024,0.5623833333333335
1028,158.87314166666675,1.7885983333333408,0.0,9.064009999999975,2460.367700000052,0.6196666666666667
179,157.03754666666535,1.7358198333333288,0.0,8.55067566666666,2397.0057666667003,0.6668166666666665
842,158.26740333333436,1.7940523333333418,0.0,8.992744833333292,2443.510100000023,0.5953333333333336
915,158.36483500000034,1.7790700000000064,0.0,9.001003333333339,2443.4424333333272,0.6152666666666671
279,156.44836000000026,1.700347166666661,0.0,8.51733700000005,2405.4831333333855,0.6556166666666664
1147,158.46767166666757,1.7703558333333376,0.0,9.147598333333345,2475.5641333333756,0.6129166666666667
839,158.27166833333348,1.8095588333333414,0.0,8.99743583333332,2448.370599999995,0.5980499999999999
1568,161.02704999999852,2.011618999999996,1.2941568333333273,9.950654999999921,2545.20250000008,0.5665666666666666
2145,160.692858333334,1.9441518333333203,10.147689000000051,9.917103166666687,2550.0383666666758,0.5449499999999998
157,156.96773166666614,1.7286756666666594,0.0,8.567543999999975,2399.6674000000103,0.6549666666666668
702,156.2774700000002,1.717812499999986,0.0,8.428484333333332,2369.0580000000377,0.6753166666666669
584,156.1464183333334,1.6941593333333176,0.0,8.414046666666655,2369.1638666666595,0.7105666666666668
1573,161.02884166666604,1.9974571666666718,0.9215128333333357,9.935745833333307,2541.637166666697,0.5596833333333332
1034,158.86871999999983,1.788090833333345,0.0,9.055555000000014,2459.0724333333465,0.6160333333333334
360,173.0491833333339,1.1291573333333282,0.0,8.4934816666667,2641.650033333375,0.7606500000000002
2075,160.59960666666692,1.9031546666666515,10.108020666666734,9.882101166666654,2567.611533333368,0.5405500000000001
643,155.39154666666732,1.649307499999992,5.333333333333333e-05,8.405775333333276,2386.3105333333483,0.6464333333333333
1022,158.23749666666714,1.7660466666666725,0.0,9.06692416666669,2469.752900000046,0.6259166666666668
1706,160.42525666666646,1.9320466666666576,10.17243516666668,9.939482166666647,2580.623566666742,0.5345166666666668
562,156.2838700000003,1.6840721666666578,0.0,8.378941833333325,2368.7434000000258,0.722
1486,160.84259833333334,1.9956091666666613,0.38876816666666536,9.93546616666659,2544.2557333333534,0.5586833333333338
171,157.17695000000052,1.7454363333333383,0.0011955,8.55884666666665,2401.513933333314,0.6619666666666665
474,156.30350666666575,1.7371178333333321,0.0,8.474416499999965,2387.5508333333555,0.6265166666666667
696,156.39742500000006,1.7164950000000008,0.0,8.419352999999994,2370.2948000000542,0.6416666666666668
1993,160.65138500000086,1.9346584999999867,10.053886500000038,9.828591833333293,2547.765500000037,0.5452000000000001
762,157.90750999999997,1.7648911666666711,0.0,8.924292333333403,2437.024833333372,0.5890333333333334
434,156.4777016666666,1.7392815000000004,0.0,8.449529999999989,2387.0941666666813,0.674616666666667
82,157.25583833333397,1.7146386666666564,0.0,8.643304500000033,2406.55210000004,0.6467666666666665
2136,160.7217366666665,1.9288733333333214,10.13992216666676,9.91088033333337,2548.9891666666886,0.5456500000000003
1726,160.7992633333342,1.943957333333324,10.151640000000029,9.918285666666687,2568.7736000000496,0.5317333333333335
1085,158.27938333333393,1.7222541666666629,0.0,9.113639000000004,2485.6119000000344,0.61325
1196,158.91461333333334,1.803247333333346,0.0,9.144606000000016,2465.24150000006,0.6020833333333335
950,158.12823499999948,1.7041128333333195,0.0,9.028874166666668,2472.1768333333653,0.6217166666666665
320,156.8524916666673,1.7528396666666743,0.0,8.48079466666667,2394.488600000074,0.6707833333333333
1339,158.989133333334,1.8043080000000065,0.1186323333333333,9.153543333333381,2461.9869666666877,0.6068166666666666
2062,160.98793500000076,2.004354499999996,10.082692000000023,9.855895499999884,2538.4023666667326,0.5466333333333332
1267,158.73138833333402,1.7578699999999983,0.0,9.18479016666671,2477.309033333376,0.6173999999999998
976,157.86318999999972,1.7259294999999883,0.0,9.02340749999997,2465.6341666666767,0.6191
1141,158.51565333333485,1.7574724999999964,0.0,9.14328600000004,2472.9420000000123,0.6177500000000002
99,157.1330533333333,1.7266891666666606,0.0,8.617567499999941,2406.913466666717,0.6688333333333332
100,157.14387999999903,1.7339884999999928,0.0,8.616092333333336,2405.8691333333772,0.6671666666666666
1178,158.93469166666722,1.8031818333333434,0.0,9.145307500000053,2466.48930000002,0.6034833333333335
73,157.33445833333394,1.7246159999999937,0.0,8.670238166666705,2409.4196666666826,0.640033333333333
373,172.73194333333464,1.1339134999999834,0.0,8.451398333333342,2634.929600000017,0.7588833333333332
214,167.47357499999998,1.311190666666649,0.0,8.53919916666665,2570.4765000000575,0.7347000000000005
467,156.56745999999933,1.751441999999997,0.0,8.473241833333338,2395.4236666667125,0.6491000000000003
1145,158.51115833333463,1.7690798333333395,0.0,9.144834166666698,2477.0522000000287,0.6225833333333334
763,157.90997000000053,1.779225500000005,0.0,8.9249748333334,2436.215500000005,0.5953333333333332
1944,160.47765166666625,1.9129796666666525,10.088516166666706,9.8569448333332,2568.6688000000227,0.5397333333333335
1437,159.11694999999972,1.795275500000005,0.3004385,9.138008166666685,2466.6719000000157,0.7029333333333334
1342,158.59349166666723,1.7185619999999957,0.003325,9.164217333333411,2490.8020000000474,0.6139499999999999
911,158.34351666666728,1.7825266666666757,0.0,8.991435666666614,2439.483066666685,0.6063500000000001
350,156.37633166666615,1.6611151666666495,3.257347666666663,8.509456000000046,2419.166866666676,0.6852500000000001
1898,161.19865833333395,1.9899391666666704,10.089268833333307,9.858371333333267,2542.443733333357,0.5415333333333335
2090,160.49989333333366,1.9034824999999758,10.125119500000087,9.898172999999952,2565.123100000072,0.5505833333333333
1405,158.69987999999935,1.7627053333333391,0.0,9.169405666666716,2470.2072333333563,0.6170833333333335
339,156.85210833333437,1.760433499999997,0.05631066666666668,8.518647500000021,2396.4297000000442,0.6487999999999998
1781,161.06112333333317,1.9981359999999926,10.063935500000026,9.837604166666607,2538.4404333334132,0.5496166666666666
1235,158.41278666666727,1.7488071666666738,0.0,9.185697499999995,2494.547633333353,0.6114833333333334
1189,158.92048000000014,1.8022773333333397,0.0,9.1323411666667,2467.477600000049,0.6010666666666667
619,172.92105333333402,1.086069999999989,0.05698716666666664,8.419279833333327,2626.5670666667106,0.73955
1113,158.12481500000032,1.7240073333333197,0.0,9.120050333333378,2481.522766666677,0.6139333333333332
1120,158.5996916666668,1.7444603333333313,0.0,9.111863833333286,2468.3533000000393,0.6222
685,172.8611500000007,1.1172283333333164,0.0,8.404907499999966,2604.902133333381,0.7187666666666666
624,172.80051000000057,1.0848558333333287,0.002341166666666667,8.39979183333329,2621.021766666677,0.7402499999999999
1181,158.95542499999993,1.7934678333333387,0.0,9.141526166666694,2467.4308000000046,0.5998666666666668
1920,160.93326666666692,2.001423000000001,8.362135333333358,9.838637666666727,2543.2465666666926,0.5405833333333335
1375,158.40176166666862,1.7297326666666644,0.0,9.18042616666672,2482.1540000000473,0.6081833333333332
1051,158.6820016666667,1.8030110000000124,0.0,9.055544166666659,2451.218466666723,0.6155833333333333
1949,160.47614499999946,1.9122186666666534,10.082839000000035,9.850910499999932,2562.6215666667185,0.5418499999999999
2082,160.6020033333332,1.9060218333333165,10.12444283333337,9.897357833333276,2567.9862333333463,0.5540500000000002
1438,159.1274966666659,1.7935829999999993,0.0,9.143043666666744,2467.0323666666973,0.6061666666666669
134,156.99109333333323,1.7341728333333286,0.0,8.58139899999999,2401.510400000059,0.6470999999999999
1029,158.86298500000018,1.7846085000000118,0.0,9.065245499999966,2460.4541000000095,0.6169166666666667
817,158.2173033333336,1.7953715000000074,0.0,8.985740666666587,2444.9671333333445,0.5969666666666666
1793,161.0008649999996,1.9998663333333366,10.052702499999993,9.823368000000006,2530.3535333333566,0.5554333333333333
1287,158.6409466666661,1.7554730000000087,0.0,9.180016666666729,2474.5884666666807,0.6085499999999999
508,172.54804500000145,1.0658478333333303,0.0014680000000000003,8.398019666666647,2628.82526666671,0.7209166666666669
2067,161.01275333333345,1.9870616666666692,10.089950000000046,9.862759333333262,2539.4570333333845,0.54695
3,160.1880883333334,1.9465754999999827,0.0,9.438826666666722,2511.541633333386,0.5692666666666667
843,158.27765666666667,1.78956000000001,0.0,8.99366699999997,2444.9469999999615,0.5994833333333334
533,172.8998166666671,1.0695174999999912,0.0,8.405387166666666,2621.4509333333476,0.7004166666666666
596,173.19979166666576,1.1468336666666528,0.0,8.412055499999974,2596.834366666725,0.7456833333333335
1837,160.23312999999987,1.9271888333333136,10.061086166666668,9.829859999999984,2557.5642333333826,0.5469333333333334
1317,159.02567166666617,1.7967841666666806,0.0,9.145739500000037,2465.6844666666816,0.6021499999999999
1806,160.89438833333318,1.9991041666666685,10.071829000000026,9.839482499999916,2536.75773333339,0.5442166666666668
942,157.88228833333272,1.7166394999999883,0.0,9.00625033333335,2473.6570000000734,0.6092833333333335
1908,161.11985833333412,1.9977936666666707,1.5152396666666603,9.848388166666604,2541.344900000031,0.5319166666666667
1682,160.6984700000004,1.9120813333333178,9.883800999999956,9.943636499999924,2579.291333333346,0.5502
890,158.32425499999977,1.7759926666666759,0.0,8.988291999999978,2445.4568000000218,0.6005666666666668
820,158.25453000000044,1.7993141666666705,0.0,8.98352516666664,2449.37140000004,0.5984833333333336
1347,158.60992333333502,1.7314550000000093,0.0,9.187149166666698,2489.0051333333513,0.6071333333333333
178,157.05470666666605,1.7384806666666666,0.0,8.554270166666683,2402.0494666667114,0.6678333333333334
573,173.31335333333215,1.1060179999999842,0.07238349999999998,8.40603849999998,2597.9210666666904,0.7361166666666666
1566,161.00207499999905,2.002095500000004,1.2186595000000005,9.9492114999999,2544.471466666707,0.5632833333333334
5,159.9202100000004,1.91328449999999,0.0,9.301159666666644,2501.007066666737,0.5726833333333334
1576,161.02662499999875,2.0032498333333337,4.650877166666655,9.929626333333342,2541.0871000000475,0.5583666666666667
799,158.16896500000027,1.7849708333333425,0.0,8.967701500000008,2444.2229000000207,0.6061666666666667
1992,160.64658166666683,1.9358426666666555,10.055525166666692,9.829316333333333,2547.9538333333658,0.5502833333333332
2035,161.11572000000098,2.000371000000001,10.077855833333361,9.846970499999948,2539.6522333333505,0.5458666666666666
980,157.866181666666,1.733880666666663,0.0,9.025002499999973,2469.3705000000373,0.6241333333333332
1911,161.0335100000006,2.009106166666668,1.3029921666666653,9.849072166666593,2544.0098000000207,0.5302833333333334
1038,158.7602566666666,1.7918845000000114,0.0,9.048507833333314,2454.6880333333665,0.6183833333333334
813,158.23485500000004,1.791363166666675,0.0,8.978756666666618,2446.504133333398,0.5924499999999998
480,173.0397066666678,1.1049263333333257,0.000211,8.467196333333325,2640.9174000000226,0.7457666666666666
2184,161.25792833333364,2.0045696666666704,10.188738500000003,9.958713333333348,2544.1666,0.5463000000000001
1074,158.65040166666626,1.8067308333333483,0.0,9.078923499999968,2455.9669333333777,0.6039333333333334
1041,158.75555666666625,1.7872450000000135,0.0,9.060099000000015,2460.608333333345,0.6153666666666668
1273,158.66392000000067,1.7460803333333315,0.0,9.181802833333414,2479.2889000000323,0.6187499999999998
1393,158.76942999999972,1.763640333333348,0.0,9.170267500000051,2468.276300000067,0.6046166666666667
301,157.03130166666682,1.742041833333332,0.0,8.489053666666663,2396.069033333354,0.6796833333333333
440,156.4237399999995,1.750114000000007,0.0,8.459017000000003,2388.122633333394,0.65195
2109,160.39239499999982,1.9102019999999844,10.126891833333442,9.902353333333302,2563.125500000061,0.54595
940,158.48674833333448,1.7853286666666663,0.0,9.006734333333357,2445.3392666666973,0.6175833333333334
212,156.36635333333294,1.7179616666666595,0.0036381666666666667,8.535996166666633,2425.901633333373,0.8063666666666668
512,172.51454333333484,1.0711908333333298,0.0,8.399374166666686,2626.8905000000454,0.7113999999999998
645,172.63968666666736,1.1159689999999867,0.0001231666666666667,8.40351833333332,2620.6389000000295,0.7289333333333332
646,172.618530000001,1.1097859999999895,0.0,8.403088499999997,2620.753766666711,0.7296333333333334
111,157.07037499999907,1.737611333333336,0.0,8.601834333333306,2404.651966666713,0.6663333333333333
154,156.96180166666647,1.7282928333333318,0.0,8.566863666666666,2399.853666666705,0.6579666666666665
2053,160.9623266666673,2.001527333333334,10.08416283333336,9.854939166666533,2537.6092000000594,0.5524499999999998
543,172.78422500000107,1.08465499999999,0.0,8.377099833333283,2607.3614333333926,0.7273666666666668
1454,158.99902000000063,1.8014690000000086,0.0,9.123325666666695,2466.208600000007,0.6015666666666668
93,157.16941999999995,1.7256659999999977,0.0,8.630626166666705,2412.2229333333157,0.6501666666666667
1356,158.47007666666806,1.7393756666666635,0.018431333333333327,9.17037333333341,2482.9257000000503,0.6088333333333332
1697,160.49488499999973,1.928374833333316,10.175131666666644,9.943618833333252,2578.32680000006,0.5395500000000002
1409,158.6806566666665,1.7561545000000047,0.0007958333333333333,9.167149500000047,2470.3201000000195,0.6162166666666669
1086,158.15973000000048,1.7175541666666523,0.0,9.112460333333333,2483.480600000025,0.6188500000000001
204,157.01167833333312,1.7334253333333256,0.0,8.536136666666655,2399.2843666666977,0.6543499999999999
791,158.13380166666684,1.784506333333339,0.0,8.970635166666602,2446.455766666653,0.5971833333333332
290,156.42589833333378,1.6880811666666455,0.0,8.511964666666705,2402.8809333333666,0.7252999999999997
140,157.0417399999992,1.7414036666666661,0.0,8.579330333333292,2402.8444333333414,0.6471333333333337
1254,158.81330333333463,1.75438166666667,0.0,9.179447333333378,2480.6025000000427,0.6122333333333336
1513,161.00621833333244,2.0040853333333306,0.45569066666666774,9.96398416666663,2545.558633333367,0.5565666666666668
69,157.40886666666705,1.7251659999999929,0.0,8.677133333333401,2408.912099999998,0.6367333333333336
202,156.99173999999965,1.7348908333333268,0.0,8.533642833333353,2397.1201666666825,0.6542499999999999
952,158.09180333333282,1.7055931666666533,0.0,9.028930833333304,2469.379900000041,0.6199833333333332
920,158.3689600000005,1.779614000000004,0.0,8.997368666666649,2441.067533333417,0.6276833333333335
2058,160.98490666666737,1.9927878333333362,10.07607366666668,9.848697499999924,2537.4909333333426,0.5419333333333334
944,158.10058833333298,1.704679999999981,0.0,9.021071499999959,2474.3159333333724,0.6169500000000003
554,172.69567166666786,1.0908094999999887,0.0,8.3702466666666,2600.235266666707,0.7249333333333333
1641,161.05476333333263,2.002048833333336,0.40874883333333395,9.962554833333309,2547.7522333333727,0.55015
1764,161.27221666666688,1.9953119999999986,10.084368833333363,9.851875666666576,2538.8954333333295,0.5437666666666666
1896,161.2020783333334,1.9873540000000034,10.084403500000015,9.851964333333264,2542.3832000000534,0.5407166666666667
518,172.93533500000106,1.070696833333327,0.0,8.391100333333338,2614.712233333362,0.7192500000000001
2156,161.37157499999938,1.9844833333333303,10.159519833333322,9.93084966666667,2541.4277000000598,0.5567
1810,160.45427166666641,1.9200768333333162,10.08049066666666,9.847813999999934,2564.4554000000417,0.5451833333333335
1921,160.94871000000015,2.0020398333333325,8.804883500000027,9.835026999999997,2542.2916666666797,0.53175
757,157.83074166666663,1.76282333333334,0.0,8.906858833333407,2437.5809666666687,0.6002333333333334
1293,159.21665666666667,1.7851473333333427,0.0,9.164515166666694,2470.0107000000235,0.6088999999999998
278,156.4460983333336,1.6931363333333123,0.0,8.520092500000047,2405.6343333333734,0.6558333333333334
2161,161.40472333333335,1.9883080000000057,10.164042666666688,9.934812666666623,2544.116366666631,0.5509166666666668
1308,159.12369333333314,1.797887166666685,0.0,9.14687166666673,2461.1341000000475,0.6124833333333332
1009,158.28598333333423,1.7577934999999998,0.0,9.037698333333358,2460.1385000000346,0.6256666666666665
974,157.8479483333328,1.735682166666663,0.0,9.018929166666654,2465.496600000009,0.6266666666666668
236,156.14724666666604,1.6413924999999805,0.0,8.532672333333307,2415.724066666689,0.6526666666666666
1370,158.46267666666847,1.7335623333333199,0.0,9.17982933333338,2482.5098666667186,0.6177500000000001
1491,160.92523500000007,1.9960243333333327,2.714049666666664,9.945704333333254,2543.041433333349,0.5587166666666666
557,172.6808616666671,1.0885721666666552,0.0,8.365800499999942,2599.343233333365,0.7266333333333331
1082,158.30859833333307,1.7174188333333271,0.0,9.111517833333293,2487.4863999999952,0.6178333333333332
774,158.04647500000064,1.786476833333344,0.0,8.955562833333325,2442.7999333332955,0.5968833333333333
779,158.08626000000055,1.7827645000000039,0.0,8.95929766666661,2444.331733333285,0.5981833333333334
906,158.3434283333335,1.785999666666672,0.0,8.995838499999996,2438.431066666691,0.6037000000000001
384,172.8361683333351,1.1615674999999874,0.0,8.436342999999995,2619.7363000000205,0.7219500000000001
1601,161.00548333333163,1.9979010000000026,5.333827500000013,9.943154499999904,2543.056800000018,0.5521499999999999
44,157.59208166666625,1.7351356666666655,0.0,8.717881500000015,2418.8604000000146,0.6396
672,180.54150500000108,0.8686583333333164,3.1666666666666666e-05,8.398366833333304,2708.453466666684,0.7446333333333334
1448,159.02554000000012,1.8073630000000152,0.03745433333333334,9.13947316666671,2468.3448000000594,0.5975166666666664
1571,161.0047549999994,1.9984683333333353,0.6614058333333341,9.935852333333303,2544.1995666667026,0.5612833333333334
124,156.98921833333262,1.7356883333333275,0.0,8.582928833333305,2400.85290000001,0.6490333333333335
589,156.1545566666668,1.6782534999999823,0.0,8.414716166666675,2370.4030333333676,0.6478666666666667
955,157.99564333333197,1.7124791666666597,0.0,9.037183333333369,2473.0478333333367,0.62825
408,172.83835333333406,1.1536394999999862,0.09020450000000002,8.429409333333385,2621.513166666697,0.7229166666666664
1663,161.02413333333254,2.014323166666659,9.65891316666663,9.928234500000086,2546.8043000000494,0.5445166666666666
855,158.30837166666632,1.7923381666666731,0.0,8.993964333333329,2446.103566666698,0.5938999999999999
2042,161.0984149999999,1.9915638333333348,10.070233000000014,9.842049166666628,2539.9145000000194,0.55015
1835,160.21148999999963,1.9266391666666538,10.058783999999983,9.827863333333303,2557.587866666698,0.5398999999999999
1649,161.03157166666608,2.0022623333333427,0.6062841666666683,9.948770333333236,2544.406266666708,0.5532666666666665
1685,160.5634083333333,1.91077233333332,10.175593833333346,9.943366499999891,2579.801500000054,0.5514833333333334
1640,161.0589616666662,2.0055761666666694,2.3378861666666695,9.960712166666607,2545.872300000016,0.5466999999999999
865,158.2991200000001,1.7960005000000085,0.006697000000000004,9.004346166666618,2449.650133333413,0.5942333333333333
