observation,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
0,3.475976841789209e-05,0.0032784137129783625,0.07288820040545296,0.5730757614916989,0.1398001328430005,0.3730105467566423,0.4968238300404379,0.20531835267586368,0.2442947257203715,0.0017396084964275218,0.4403928812593222,0.02091707951256201,0.01527303042156349,0.04785339700324195,0.9811557471858604,0.016244430201394242,0.02584896262202941
10159,0.059309581736368897,0.33135169595479963,0.15100971778588632,0.16900908206190385,0.0883327667255487,0.18806150118687318,0.020113265046051567,0.07300317400268141,0.09706294344472029,0.04031252441129511,0.05203067878527302,0.13218208645071303,0.5106716942840388,0.03770609133477728,0.09337383826396291,0.05109041543943544,0.04934423842600418
10171,0.06929389178752901,0.3296421100891062,0.12665182570793804,0.14446795820657693,0.06650048626320701,0.18580039404332638,0.03851438116282228,0.035149012287812524,0.12898545539272682,0.031960463475968134,0.11724058267793487,0.06022826564099102,0.4396077184698411,0.042472605801054435,0.09230783166629931,0.04292870138372701,0.04493696819458685
29676,0.4657935200684838,0.002835177353450291,0.004945598787495092,0.27512168530374764,0.023491925916501462,0.042506374887057705,0.33114412799477577,0.023745326708470064,0.01911190460835177,0.010529099351593466,0.044594236447342846,0.029286499965403723,0.005189009053366512,0.08610292871083532,0.01752616735441335,0.07985527975218638,2.055899318488581
33170,0.39093089787023416,0.009540273845195747,0.017328316877995242,0.1859206211566926,0.0058173993549177115,0.11627669804330378,0.3296930792448776,0.27066161566014796,0.03475993986640654,0.009483564080936575,0.10915167971381115,0.04161341559141867,0.00907683104276652,0.1692437928808587,0.026334352908389914,0.06919138716799875,1.5502646959679465
38907,0.015310653480035895,0.019815801296915275,0.06917935296094843,0.1318580845211233,0.050030674854559566,0.09561557731990307,0.13016664087506283,0.0583098077587783,0.14788029228204064,0.04677671719874658,0.12335296534001824,0.001063138544559484,0.04076584869197438,0.029479358041925096,0.006552116253546347,0.025278491441692603,0.04739939998303142
39554,0.050533974106822636,0.0025708908055509477,0.019533382457281805,0.46968413632895245,0.043013489807822776,0.1986591904397522,0.19666067963998232,0.10774397797882561,0.03585731962961812,0.0370719834310668,0.03521258759445371,0.04075888706105094,0.04289040858192109,0.09851074857105101,0.05351277276873594,0.7706240189447999,1.7879430200638518
58739,0.20530481846737003,0.5051894633950933,0.021996621893984984,0.02152936603341787,0.07309798040028127,0.2000511382733073,0.17378688497202724,5.098510294514043,0.038424424449247985,0.8721643363045795,0.08219858402652401,0.188828401352678,0.5418615344592504,0.04350339317960391,0.4581958650052549,0.028307740432875535,0.03167793499571943
58742,0.20536858954599932,0.2173105391168167,0.016432878651789423,0.017381216181176034,0.000688843109777959,0.29173172876771003,0.007644207727696227,5.381137354805001,0.025787363227989028,0.6527883434668181,0.060820871219039056,0.27338343943336174,0.6422081954936896,0.04699726256408866,0.5245171658960837,0.05478084823914935,0.025561312117746895
58751,0.2676217802454319,0.006054271821464717,0.12922372401825014,0.127999721392989,0.018249502927064908,0.2559326188106622,0.08386203598231078,5.1399648717418325,0.05597508663045509,0.06529430389404303,0.062370937950909054,0.3655918954898204,0.00994191940341677,0.05047520510320154,0.006077106094786107,0.018144077509641594,0.045248305350542105
60715,0.023294872960874038,0.013874094592673466,0.03695618459688758,0.0031334141375763086,0.1027170259079763,4.666099279304702,0.10604426387165279,0.184988859434213,0.3872683149203658,0.017722136718886193,0.0356514918804169,0.030975097247532477,0.0033696863693850054,0.008081029834491854,0.013994980475732237,0.014452426199402235,0.034728674803461375
64783,0.09579135543533736,1.701627194338611,0.2943038768374494,0.009475431287927268,0.060541435842003104,0.08576649884028095,0.018130595311522453,0.00925785250429598,0.01766096645700082,0.026900522911122913,0.0376048901198165,0.026719231201069726,0.3640284207303609,0.9894000683405569,0.26186381079256527,0.01979834650244026,0.02662294349500116
64786,0.08602459285940436,2.284927854341056,0.04921275971191271,0.019607875107654413,0.041376144449625785,0.09195732258792433,0.05286697693701297,0.06162764736584257,0.028968634238200588,0.006234626296375413,0.0070893676206470095,0.037463218633617665,0.0980528311537844,0.9566531072450534,0.2967239913504039,0.021471839547157284,0.02572153304304405
81711,0.02835498946585827,0.0003050296647208501,0.04455053758408336,0.021494231250669276,0.3644907713468585,0.23871090388723776,0.05172654076346338,0.20553136191197807,0.6117428207876427,0.23931199714541432,0.06616100742880797,0.05284920534917283,0.0389544175139495,0.2029929681654487,0.06569265114409585,0.2185298065628324,1.3480487658828493
81726,0.10105300710669594,0.00500586552279333,0.04707560106047568,0.0024423011232700092,0.4582630791727986,0.04866387372570386,0.011098501671637784,0.18637221306562424,0.7449242499044962,0.034321373977831415,0.07934721338429616,0.0913263282020177,0.03835501411131453,0.25147179774940004,0.08163004747458873,0.4964576150210842,1.4090852680908783
81991,0.452554855604789,0.018906557677047603,0.12709093020696727,0.05944481522110957,0.26495325276628134,0.18162345071190175,0.06200400310967648,0.3113764240220189,0.0519353242644242,0.013938458817345773,0.07306858962135657,0.08069906920726809,0.008452591076493309,0.001692796956215625,0.011211672510419601,0.020159471333026868,0.03370593445641655
102416,0.09752380079988923,0.006326406725815296,0.030934724211692664,0.08044243251106557,0.007351881707353216,4.536860320961902,0.033276954091021,0.04430247300437516,0.045956402676446094,0.008886259943246782,0.0504677316865751,0.11391722221459664,0.013481257706880563,0.19418603205255094,0.023323821680886397,0.8928214262851647,0.47264467056840676
102420,0.18507318647312268,0.005029140029634754,0.077564722294254,0.11007234465330838,0.052489321173301705,4.511173259839415,0.038386099615267386,0.012721906815256296,0.05664105340306247,0.013802375516721196,0.057254304513335276,0.09964206031922782,0.030423030321087157,0.15351915870394026,0.006631423809698674,1.004306530563959,0.18616240270967996
102430,0.01431491907685992,0.008995551977838797,0.04246204700320958,0.0849161947465369,0.06572884624557837,4.802652696509447,0.031022373970065766,0.008255269703056083,0.08298869278814117,0.0013363936969211748,0.033582733294793554,0.046478206478059246,0.010592405625752078,0.18183885523251123,0.032377161617790036,1.2653950949598638,0.03455432908875604
106878,0.07835141887090037,0.023160061335989395,0.09577175617484114,0.07301477557580387,0.02633634352258273,0.0696239236210074,0.01363748536578248,0.040083601687635674,0.04090156797851837,0.10057812858372925,3.525107566799274e-05,0.010785337021308303,0.039888416411621254,0.01015283076890878,0.012324016567851806,0.028068893610366758,0.03896103441183056
