,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,-2.3271803336207676e-05,-5.837185626602365e-05,-4.11659165486956e-06,4.1732743182638564e-05,-4.782301294199962e-07,-2.9193547326293852e-05,4.3256086827433366e-05,-1.973597668356376e-05,-2.60175782410229e-05,-4.992740545969746e-05,-5.395872655644044e-06,2.273204641889916e-05,0.00012017891050702802,-5.6167838352405075e-06,-6.418333158939411e-06,-0.009347447905928464,-0.004139441173847131
10164,-2.4100637713575712e-05,-6.832373358842752e-05,-5.036825953829906e-06,3.645361079181985e-05,-1.2345854992758452e-06,-2.5120641954543594e-05,4.136961541446367e-05,-2.1392154293204614e-05,-2.2727691630477896e-05,-4.985502818961461e-05,-4.071867483776524e-06,2.153922475736199e-05,0.0001299183252816125,-5.464647631054802e-06,-6.370091352086856e-06,-0.009346532685434108,-0.0041347917318773665
10165,-3.830260260010835e-05,-1.598287008370912e-05,-1.0520165558548773e-05,1.411862394462162e-05,-1.2967504667613058e-05,1.528321844275854e-05,2.6588097519426447e-05,-2.387664661429837e-05,7.46433613525939e-08,-5.3133432909646384e-05,6.488819657816385e-08,1.5503588229020767e-05,0.00010882195797458828,-5.633778578985884e-06,7.42219454165606e-06,-0.009355930322077214,-0.004132434443129033
10172,-5.8184640927394244e-05,8.092511598559308e-05,-1.7842808041348194e-05,-1.3855069176282646e-07,-1.1551079673870437e-05,4.1369890602039493e-05,1.9268448605880785e-05,-2.1475283114764055e-05,1.736325677173713e-05,-5.2983337655592035e-05,5.698394094259684e-06,1.616440929386377e-05,7.402424517765375e-05,-5.406965156845299e-06,1.313759691435842e-05,-0.00935968259161286,-0.004132876165896488
10173,-2.6291829999658178e-05,1.3768434345516706e-05,-3.316577785052701e-06,3.755590376114387e-05,3.069048219713065e-07,-4.2934030585252354e-05,4.787735511867346e-05,-7.5444951224546655e-06,-2.9828318601426396e-05,-4.834169445851858e-05,5.018338238281238e-07,2.7604127441941825e-05,5.60997611697801e-05,-5.0858336493608895e-06,-9.233980451155806e-06,-0.009341670648785341,-0.0041419495180835
10174,-1.5583309126426733e-05,-0.00011484533367913053,6.304824042996126e-06,6.002079162488191e-05,3.294558570662069e-05,-9.011892670118647e-05,6.438063661082471e-05,2.7996578202134972e-05,-5.729240340765655e-05,-4.464150787334987e-05,-2.506641344040976e-06,3.6198432298006875e-05,0.00018526565420303934,-4.835349939168598e-06,-2.4070365557375784e-05,-0.009343087974080823,-0.004136933285714965
10176,-3.748282101111977e-05,-9.004266749278784e-05,-7.519502643298809e-06,1.4126658963435457e-05,-1.1411185968932592e-05,9.895661147326417e-06,2.7266283534885152e-05,-2.2176610660583988e-05,-7.674413459502073e-08,-5.28143326053876e-05,2.2148801485830092e-07,1.6135074487947857e-05,0.00018573678332118899,-5.413062657636821e-06,6.886116087924741e-06,-0.009350608935091605,-0.004138006044123894
10177,-2.580713252766849e-05,-0.00010898731351244783,1.4538020324185524e-06,3.5604862961041696e-05,-6.172846589093475e-06,-4.0823589773330574e-05,4.5413647548666354e-05,-9.091235461441421e-06,-2.915242357978535e-05,-4.884049419181983e-05,-4.7899708084837e-06,2.662792709215917e-05,0.0002061962362329098,-5.5559319922390535e-06,-5.397720608447804e-06,-0.009347554624573757,-0.0041377925554305145
10184,-5.968301155460772e-05,-3.321068004508716e-05,-1.2310391412506538e-05,-1.2778013105249001e-06,-9.958443844488893e-06,2.7807894264549198e-05,2.32804774730812e-05,-2.1815657529052433e-05,1.5523659790772344e-05,-5.202119941701702e-05,8.156058243174336e-07,2.1191170860425124e-05,0.00015120084161858417,-5.68843144248246e-06,1.2792527274585868e-05,-0.009359823049158464,-0.0041329644705260845
10185,-7.446896835953062e-06,-8.707716767800063e-05,2.1031809356625664e-05,7.289595175054608e-05,6.414348135312323e-05,-0.0001551382998034054,8.584014262307568e-05,0.0001384006333948227,-9.496363842173836e-05,-4.0960202963411764e-05,-7.104070362034203e-06,5.215888166366815e-05,0.00027660203888980563,-4.645843539849198e-06,-3.289160848397538e-05,-0.009337469239052825,-0.00413367616315086
10187,-3.3776105595657736e-05,-5.794838788958476e-05,-9.42380129126344e-06,2.2471064242789923e-05,-8.75524424925904e-06,1.5723779750288594e-05,2.4949010410993988e-05,-1.9032118093311958e-05,2.6067704811922216e-06,-5.116474321733632e-05,6.494017986913569e-07,1.053377096868214e-05,0.0003554322045743822,-5.602007821001194e-06,-4.3522299822157516e-07,-0.00934670866469732,-0.004137200031121281
10188,-4.552174731573965e-05,-0.0001007719523108105,-6.682084008823007e-06,7.024059964814484e-06,-4.763767942701615e-06,2.168674011569369e-05,2.137207207350042e-05,-1.851977833118708e-05,1.1657873184670459e-05,-5.353970336086932e-05,3.9235317570305335e-06,1.4992826027631114e-05,0.00029463550754219936,-5.296772811622903e-06,1.03981629824763e-05,-0.009354993139321076,-0.0041359320155764275
10191,-2.7591502993870524e-05,-3.859458185907091e-05,7.524037875459084e-06,3.602698028628769e-05,-1.075409936413158e-05,-5.4968082162814746e-05,4.9355972840506704e-05,6.434524832462439e-06,-3.6435398679475656e-05,-6.224412500297738e-05,-2.9489699161951308e-06,3.187477217235963e-05,0.0003732706525805653,-5.12118557186928e-06,9.718824263242027e-07,-0.00935095834809254,-0.004137670662871639
10197,-3.577307376883734e-05,-0.00010457534109126307,1.502498702751011e-06,1.8022669157669526e-05,-1.5722332045575724e-05,-2.7715662362416567e-05,3.836958706362768e-05,-5.835058541911561e-06,-1.812188153387722e-05,-5.107766669439335e-05,-3.808756745883774e-06,2.7197008901780897e-05,0.00020561419228366825,-5.585521621357942e-06,4.344712253780115e-06,-0.009354163418001098,-0.00413409328721023
43465,0.00016169838166033273,-7.7588746293988e-05,-3.626296761231248e-05,-3.108286601910306e-05,-1.9440056043168567e-05,9.934239771611057e-05,-9.00396172995715e-06,-3.2098905057278915e-05,7.04136781719819e-05,7.272389253554368e-05,-3.5416666329228017e-06,-1.4902543965277808e-06,1.0646321729724995e-05,8.76341690362445e-06,-3.520212778636125e-05,0.4055817175309676,-0.05620369803066173
60712,1.9693750353230866e-05,-0.00010101502855687185,-0.0010145637790197153,-5.484886313711022e-05,-0.0003378057381421254,0.010131936711283011,-0.00028138020133222966,-0.0013621394986980551,0.000992124550513405,2.9699136952754833e-05,5.520681937788264e-05,0.0001403219636244114,7.73586046090318e-06,-1.0505403575425552e-05,0.00039292108192928114,-0.00953695328331886,-0.003990793146440432
62404,-1.6202299108302645e-05,-7.32806311281183e-05,4.975444319427895e-05,-3.667046290385529e-05,-5.4248811803310257e-05,-4.46139717285279e-05,-8.861280574425627e-06,6.67416264352158e-05,4.808754195731651e-05,1.1319007974321969e-05,6.8762206520199115e-06,-4.158292624573942e-06,1.0739734875932508e-05,-5.365633179059548e-06,9.899323483116023e-05,-0.009374238094433007,-0.004134155776801172
64473,7.196878740052705e-05,0.0024618936990199597,2.5707001840388356e-05,-8.074669795366324e-05,8.920457928709439e-05,0.00015710191720302882,-1.229002548288412e-05,4.856290693517322e-05,2.7596240767843354e-05,-2.4771267678219014e-05,2.5732298045678934e-05,4.039253444735249e-05,-0.00027286055765170377,-5.806077194643142e-06,5.4632725791545125e-05,-0.009387273106089753,-0.004103680647487433
64783,7.248708665720229e-05,0.002451044750071742,5.076019407932888e-05,-7.95278777716653e-05,9.541912142592491e-05,0.0001275274768226899,-7.440347564591741e-06,2.112714135447438e-05,1.4977880276511817e-06,-2.600416656831657e-05,2.665777482660591e-05,5.060818195293945e-05,-0.00027719295465089355,6.016988428227413e-05,6.072232780301201e-05,-0.009395785709643164,-0.0040921763270385875
64795,6.57089920542813e-05,0.002433932946771162,5.59736499390692e-05,-7.91564008481358e-05,7.528363090068138e-05,0.00011127645080135376,-5.072403756306049e-06,6.532291870600996e-06,8.045266687349443e-06,-2.3258634308661063e-05,6.314230042071022e-06,5.431389360636357e-05,-0.0002691464813304813,6.365281784448402e-05,5.926270078774923e-05,-0.009386863279392893,-0.004099625941613649
