observation,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10159,-0.00525970704191227,0.00909622372873311,0.0004923653612688335,-0.004715228585700013,-2.629498234660537e-05,-0.0009034054791116949,-0.007223376523852188,6.006216372529351e-05,0.0017493929007977825,-0.0072802366530477615,-0.002762999401762138,0.0006655650333571734,-0.0017807000268503814,0.0012917302362397667,-0.0007954595909545635,-0.5135487679335995,-0.405473154871994
10171,0.0042085705234603706,-0.0048025739683608725,0.00306162214375067,-0.001242858054708401,-0.004917962680356929,0.0009757827025116296,-0.0011745977879310818,0.0066239783929006035,-0.004610899984745786,-0.0011476120431647414,-8.725190781335142e-06,-0.0011321535773260475,0.002468701491361461,-0.0039419625722048116,0.0016645319193407373,-0.5108894334241576,-0.3832285719377491
29497,-0.003947811150375381,-0.016630308249086907,-0.0010997063591359952,-0.004537484821027159,-0.0027769864101573802,-0.003244572222079824,-0.00349150897031431,-0.0016681358691752373,0.002577109196164165,-0.004588951240793422,0.0004036791970243316,0.0022661161311649525,0.0005509395416806698,-0.0037903912702708996,-0.0074979708203346505,0.48504672009823613,0.34349734352643074
29692,0.0014340876193734517,0.016527391869371858,0.0013790748122880126,-0.003551261465378114,-0.007467179360494418,-0.00036254919021733666,-0.0019584224668551748,-0.00422830518913391,-2.401460655796506e-05,0.0013842515322026044,-0.0001849071831962111,-0.0016492240451694371,-0.008432568803684152,0.00445192844859006,0.003328810955769467,0.4826200971684336,0.40635276561088624
30047,0.001703078004110535,0.00025012460497893046,-0.0056421062323080435,0.006752946382156659,-0.0005895870506921637,-0.00021801881865345267,0.0012705225648519745,0.0019870704317067668,-0.0021627982497731727,-0.002837619323015512,-0.00020598206202911384,-0.0003626870129365358,-0.0007741676589098969,0.0011474891347687845,0.0006930227488232334,0.46688467946246315,0.36718751755063983
32334,-0.005121297663273331,-0.012242280521999807,0.0006509070828944739,0.0017938508692283217,0.0051529051173244645,0.0005351757801677257,-0.006851015341216497,-0.0060117404398513895,0.006517591209598672,-0.003657113381092024,-0.002664947120391959,-0.001330644270611071,0.0024469863112312512,0.0008317789295990848,0.00011952008861426697,0.4959322962361508,0.36451149312071107
39538,0.00033587652492058105,0.0013329232510372801,-0.0015654905871247432,-0.006031331666810243,0.0015199912980672595,0.004493789032023443,0.00218401872673901,0.001003046425449881,0.0014127062885123701,-0.0041928118481110565,0.003533426822297823,0.0019189843940633669,-0.0009809701694074237,0.0010273111762077265,-0.0033110234100408465,0.4799236734211515,0.3620659618044183
41817,-0.0033313459131776614,-0.004611121021281137,-0.0027708425439105307,-0.004927107516691071,0.00042759833816828857,0.001023864304578683,-0.0010958639949224427,-0.0028982422973942894,-0.004278633624839481,-0.0038416120852676826,-0.005319604011924876,0.0019387938776456108,0.0029568852007765293,-0.000993906191536177,0.004518823722105905,0.47660697245468825,0.3350146788980574
42930,-0.0008428258560211191,-0.01283761315627546,-0.0006211942704153428,-0.0020240641804200412,0.0027382948495568286,0.0031023265012996926,-0.0035128179620905683,0.00042266714309400415,0.003397745950007834,-0.001453058895920354,0.0024034031597358267,-0.00012368061397239206,-0.003200339307313682,-0.0011342353114801905,-0.002728724484285168,-0.5022657080444815,-0.39280401870930337
43240,-0.0037578076500668954,-0.00046155583108628746,0.002869963101784288,-0.001327355234526566,-0.0018650143752333146,-0.003529695415574356,-0.003824118492278737,-0.0034451709680864764,-0.0049997375185146156,0.002600846332074782,-0.003571875499580054,0.0018423756364939108,-0.0009055076763964344,-0.001893978725553328,-0.00023564641039321616,0.4924168639580327,0.4119717026945059
43598,0.003317316475152757,-0.007206568198120626,0.00030548898010892894,-0.0011338834074011341,-0.001214300251003907,-0.0020586450825114365,-0.0018463865586307044,0.0009614285783420113,-0.0048197387067122665,-0.004952020152533217,-0.006874646316366296,0.002176270903706315,-0.0044821456648976325,0.003051943869884925,-0.001334704097608141,0.49614958665520875,0.37481471754790746
81704,0.0026245052035446005,0.0004775129096730101,0.0006209642912530399,-0.002443871525758287,0.0028771534685639736,-0.0032429284911284547,-0.002646530104382793,0.0012359953247205982,0.0011147935665807242,-0.0024569361131514486,-0.006047905281405266,-0.004001304001456083,0.010773767459598996,-0.0023543014867988656,-0.006361615010739427,0.4827391987064432,0.3744429479363172
81706,-0.0015435440981601183,-0.0022500280834943836,-0.0075433316000517725,0.005368325649214093,0.0028901214246089,-0.0006072418329552741,-0.0005078175275288165,-0.0006962165688854193,-0.0052074011920675385,0.002469817958189042,-0.0008357232212078207,-0.0011276623876705092,-0.003518089882880662,-0.0015882904094031067,-0.0013166050193789264,0.4969220589722119,0.37268431241486394
81709,-0.000860004725542319,-0.0008934446647224826,0.0006636370165095388,-0.005156735328712245,0.0027263786322068093,-0.005863872931964716,-0.0019775846784237275,0.003374706397272741,0.00021280331485880197,-0.004618586852366229,-0.006185356645589488,-0.0009106260688644793,0.001182275360931407,-0.007359268074143228,0.003784764012408972,0.4812438271956961,0.37183663234018155
81718,0.003061686497690314,0.008223626770347863,-0.00719325835726975,0.0010384303848122946,-0.0034842868320985555,-0.0007197423053126198,0.0040775624340707965,-0.0029693901962536164,-0.0055030502853371695,-0.0004708712223221233,0.0013338749989466117,0.0015825444637581594,-0.00510072761495875,-0.0019616615687225113,-7.610908059163537e-05,0.4852824813455877,0.3445460397414164
81724,0.002585496176477769,-0.006037406812380725,0.0006932864612830247,0.002207357113398856,-0.00784015620895157,-0.00018206950467056397,-0.005763380836799057,0.00393610801576475,-0.0002414701543349867,-0.004754813220502802,-0.0055796529515044265,-0.002417262811328147,-0.002152125405756914,-0.007913975438259804,0.009396865338965209,0.4805235429553607,0.36921845835852585
81728,-0.005375941079775544,0.001983664612290392,-0.002059903016601507,-0.004143327571166866,-0.0038971651629597383,-0.002853214466118652,0.0013856486924235555,-0.0024100744085764165,-0.004570272471126798,-0.005311023847453953,0.004333966314281524,-0.0009017685880050914,-0.004823072274150779,-0.0041997630691113725,0.0021435067212761073,0.470439410605431,0.3380217322829967
81979,-0.0049592803361734415,-0.00808246434258697,0.0038366396695625363,-0.00033111483629273545,-0.00028015682870584856,0.00099124854197447,0.0006989980576872506,0.0032993294644355527,0.0056080587491647875,0.0014083136275747285,-0.0069643806491188846,-0.0012116861684591878,-0.003642111666340703,-0.0016003686690618493,-0.006851400994863389,-0.4820472412513489,-0.3662041845594432
98654,0.0037309406875304595,0.00394850964686212,-0.0024940495709900516,0.004744062759166535,-0.0009898205027574515,0.005072494005952325,-0.0004824824305755585,-0.0008433766568116602,-0.0008439388786028694,0.003389080271036936,0.001509487091742359,-0.004005027502411597,-0.00032324783977268057,-0.0029336957037774743,-0.0036784365845040443,0.4883588423871162,0.3706906060992925
100411,0.0004249345705881488,-0.004489350119237187,-0.00031915090234502913,0.0033392798182152574,-0.0021719584489811937,-0.0059653862388553925,-0.0027256205826942555,-0.008447042852473162,-8.459622776817996e-05,0.0031829103359225564,-0.0031086177208921686,-0.0027617554314606457,-0.008119185391968278,-0.009041266412219537,0.00482699559083918,0.4924118439700111,0.36133182342748565
102424,-0.0013101739844050097,0.0015431445166853308,0.0030802743547500974,-0.0018934353009948048,0.007158603468050982,-0.013364354088243323,-0.0010402813652377562,0.004792787760287512,-0.00026564159073993483,0.004965568201800303,0.003144955389952985,-0.001725765874728347,-0.0070788134181080115,-0.0037782334719924414,0.0003572706262963682,0.4731332440071036,0.37255969446653453
102434,0.002872408820799903,0.0029862428725584782,0.0011330510028170694,0.00040635896699235506,-0.004405661729811755,0.002105672784378997,0.004796205923379974,-0.010456971851489319,-0.0023028861133057572,-0.0028497523114346945,0.002031709517933007,0.0038066265818600545,0.007517930569305433,-0.0017361952356388926,-0.0016175486084445195,0.5081898320188636,0.35622257628715315
110686,-0.0031741651517712796,-0.0014255026923848853,0.0006868339686386774,-0.0007822158114219736,-0.003272782381205263,0.0014188607686824186,0.001843157260868724,-0.0022998376284138616,-0.0003073883671710995,-0.0012640854460141907,-0.0022891533480350118,0.0026901812589315652,0.013207501468555826,0.002819443744965878,-0.0023481328860406924,-0.5162557669378897,-0.38303444822174026
115248,0.002132558048262968,0.0008000857774260352,0.004438358168022783,-0.0005090799032212741,0.002840300925749036,-0.0018792378837390275,0.0015304421089689854,0.0014366562570205992,-0.0023802199849617166,0.0006004560994029929,-0.0012590011683242994,-0.0017498636127051038,0.0013092847580245827,-0.0014753589418633364,-0.00217252855445995,-0.505233388714853,-0.39731167457081684
