,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,0.00896667329697973,0.005801366681440011,-0.004859825006375712,0.00498702238417334,-0.0040107392623192715,-0.0039903479235039825,0.0069273462384525294,-0.002215200773336821,-0.004222559859562247,0.0072209852685531,-0.003203483172174964,0.0023759601265192034,0.03252794443836642,-0.004465286098420621,0.008059839421055386,-0.0031370444968342745,-0.0015830945099393548
10164,0.007013926598139936,0.001390907484003238,-0.003575786331461534,0.00763045083420972,-0.004752514345778361,-0.0003360240678820352,0.004260510995777118,-0.0028206285886052543,-0.004369711370931732,0.008813607693753306,-0.00109769871768852,0.004196116217515535,0.033431515360458026,-0.004957852483623556,0.007043577552669578,-0.003672367586857745,-0.0018671716501315436
10165,0.006686423822409576,0.004374943936450611,-0.0004035106322003774,0.005084279814942017,-0.002872756385347912,0.0009902255495803254,0.006585416983192164,-0.0026075979342891093,-0.00276563692320552,0.00978691503405571,0.0001864685242374727,0.003763568196445708,0.024240034350918403,-0.00415056182588968,0.007081577092823057,-0.003563646024299993,-0.0020197205866376556
10172,0.0023767965059313546,0.015099811169008416,-0.0032251760529147227,0.005348647377557223,-0.0018682264412442817,-0.00029495571222570003,0.0070644712354987855,-0.0023762487082017794,-0.004602614173458678,0.00726985014975071,0.004135290679211416,0.004983659749850631,0.028124160048448373,-0.003687920860118336,0.004174493716822728,-0.003502253298130303,-0.001840699149502653
10173,0.004957431483392913,0.005546755396450564,0.0008044290697822942,0.007121424224848553,-0.0044767012374682565,-0.0016953911321858585,0.004916123573978741,-0.00043868397672970936,-0.003046250028742687,0.005222050795952478,0.0035104816831234426,0.004141762809207038,0.030422088979846898,-0.00448621143069532,0.004231993962700169,-0.0033653283905651812,-0.0019581474032666943
10174,0.004739062145559324,-0.002788763149744939,-0.0007144729555067038,0.00450273686088622,-0.0005686590282453404,-0.0038292226919697365,0.005591365681547251,-0.0010252676479932327,-0.005899082153207725,0.011943388197364077,0.005346668307772944,0.005798368373264869,0.03592041940738758,-0.003923954057196779,0.0045964666487028245,-0.0031739203052388292,-0.0017718760793407795
10176,0.009641513402263326,0.0026739006489515244,-0.0011569258291274304,0.005337940641782346,-0.0037628455687728174,-0.003793758218073188,0.007267699206454883,-0.003456063692768412,-0.000489919369833336,0.014186184573918577,-0.0007560244326790163,0.005832174405869511,0.02783693434774049,-0.0044279639350457345,0.003355501509375047,-0.003272002790537145,-0.002455415584974817
10177,0.003688294991023013,-0.000347347022551632,-1.2724458550415455e-05,0.00570892293834024,-0.003650042336020204,-0.002143502185742059,0.005635332763195039,-0.0034722802994979754,-0.003662970142645969,0.01103706531640556,-0.0026234140050494007,0.005999179865337083,0.03732642985466453,-0.004485319724513426,0.005675941832984491,-0.0035320750127236025,-0.0021695438938008436
10184,0.003059806698519324,0.00733836116993593,-0.0020072514449970586,0.009106571906142764,-0.0017726369678146374,-0.0030966159359862417,0.005958008052160339,-0.001306397611689234,-0.0026017123264157112,0.008042112619926534,-0.0022357232340921938,0.005263396868896153,0.03106296048396164,-0.004127995339739655,0.0021582302533917955,-0.003287556953728203,-0.0015153506563769421
10185,0.010673817705569995,-0.004765500594965286,-0.0039799319249060475,0.006565691163349482,0.0002628436839828868,-0.0015678142197430138,0.0055530533691247365,0.002081389912507605,-0.0032072812753419053,0.01638138499628338,0.001768585705301824,0.00587184961471293,0.03731507025452124,-0.0040146965005745505,0.003939577881246807,-0.0032923159996668485,-0.0022176823351118297
