,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,0.0015664340273696398,0.011011308052625068,-0.01490252034659223,-0.009137353313248275,-0.016825149232552683,-0.02045712281423799,-0.00983587784049636,-0.02220456089728047,-0.020615602025529603,0.00512759787935671,-0.029238446256200958,-0.0019621234223939354,0.01155254587577803,-0.009876368206292258,0.006220127646336532,-0.006042826535775925,-0.006836948547318228
10164,0.001566434027369612,0.010965530084982716,-0.014902520346592202,-0.009137353313248303,-0.017033453204497312,-0.020351919326989903,-0.009835877840496332,-0.022538848802830858,-0.02060353225400359,0.005127597879356682,-0.028217632652761296,-0.0019621234223939354,0.01155254587577803,-0.009876368206292258,0.006220127646336587,-0.006042826535775925,-0.0068369485473182
10165,0.0015475066892934874,0.011119922835328588,-0.014902520346592202,-0.009137353313248248,-0.023118088424237626,-0.020224418143516776,-0.00983587784049636,-0.024882482181965024,-0.020578034050501737,0.005127597879356682,-0.02729535457723232,-0.0019621234223939354,0.01155254587577803,-0.009876368206292285,0.006220127646336532,-0.006042826535775897,-0.006836948547318256
10172,-0.0008100906595690793,0.011310827806744028,-0.01490252034659223,-0.009137353313248275,-0.02394441398792585,-0.020293849094024735,-0.009835877840496332,-0.02492166484419657,-0.020425554253562586,0.005127597879356682,-0.02610243011746463,-0.0019621234223939354,0.01155254587577803,-0.009876368206292285,0.006220127646336532,-0.006042826535775897,-0.006836948547318228
10173,0.0015664340273696953,0.011221834485470372,-0.014902520346592202,-0.009137353313248303,-0.015690634448485535,-0.020521379950285454,-0.009835877840496332,-0.020447678067335995,-0.020404956298898116,0.005127597879356682,-0.02566679152893081,-0.001962123422393963,0.01155254587577803,-0.009876368206292285,0.006220127646336532,-0.006042826535775925,-0.0068369485473182
10174,0.0015664340273696675,0.01062783189138583,-0.01490252034659223,-0.009137353313248275,-0.014362807487715318,-0.020323188301361858,-0.00983587784049636,-0.017980241736968577,-0.020380060394427454,0.00512759787935671,-0.02541664644530399,-0.001962123422393991,0.01155254587577803,-0.009876368206292285,0.006220127646336532,-0.006042826535775869,-0.006836948547318228
10176,0.001566434027369723,0.01079207128651341,-0.014902520346592202,-0.00913735331324822,-0.02441320358345629,-0.020057174884883344,-0.009835877840496388,-0.0247899470858384,-0.020331216389140372,0.0051275978793566546,-0.027278906592120275,-0.001962123422393963,0.01155254587577803,-0.009876368206292258,0.006220127646336532,-0.006042826535775925,-0.006836948547318283
10177,0.0015664340273696675,0.010586108095663599,-0.014902520346592202,-0.009137353313248275,-0.017560240735032345,-0.02005076226630119,-0.009835877840496332,-0.021462995362087844,-0.0203112248893787,0.0051275978793566546,-0.029122671802612313,-0.001962123422393963,0.01155254587577803,-0.009876368206292285,0.006220127646336587,-0.006042826535775869,-0.006836948547318283
10184,-0.0008209336088927655,0.011057307850782266,-0.014902520346592202,-0.009137353313248275,-0.023514066668893593,-0.020073258085769513,-0.009835877840496388,-0.02519465832656949,-0.020178139699328954,0.005127597879356682,-0.028520067150123778,-0.0019621234223939354,0.01155254587577803,-0.009876368206292258,0.006220127646336532,-0.006042826535775897,-0.006836948547318228
10185,0.0015664340273696675,0.009663899459192715,-0.014902520346592188,-0.009137353313248275,-0.0136343745082807,-0.019944325825927756,-0.00983587784049636,-0.013180255639207078,-0.020147352669798987,0.00512759787935671,-0.026410613158527142,-0.001962123422393963,0.01155254587577803,-0.009876368206292285,0.006220127646336504,-0.006042826535775869,-0.006836948547318228
