,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,0.05002333126134192,0.07057026799640315,0.0002206894681183242,0.020047364115684276,0.015817676596611076,0.002219129549269004,0.020604055044982902,-0.004873674485915168,0.0013956925336567338,0.0374495546209673,-0.0014250310126635193,0.018119640453135077,0.05513482845267159,-0.005998012085461778,0.03944538546289327,-0.003828273896988984,-0.0043603797013119965
10164,0.05002333126134233,0.06991454674646067,0.0002206894681182733,0.02004736411568421,0.014771215572696774,0.002624227958653321,0.02060405504498294,-0.005892372316078091,0.001438633630740504,0.0374495546209673,0.004670994235948596,0.01811964045313509,0.05513482845267195,-0.005998012085461778,0.03944538546289324,-0.003828273896988967,-0.0043603797013120026
10165,0.0498000275182241,0.07218333352482481,0.0002198637788053758,0.020045588196192437,-0.007315595429721312,0.0031205485861220007,0.020602192970752806,-0.012420757164414936,0.0015281819735642912,0.03744711080024457,0.011407225235832067,0.01811842765209394,0.05513054451719982,-0.0059980774140189225,0.03944285176821157,-0.0038282987822503326,-0.004360404599765065
10172,0.03267779415667422,0.07526318735919922,0.00021986377880533266,0.020045588196192406,-0.009663958005866021,0.0028490660267924883,0.02060219297075301,-0.012616473707032672,0.002076200694695812,0.0374471108002447,0.02295904942202926,0.01811842765209391,0.05513054451719976,-0.005998077414018933,0.03944285176821163,-0.003828298782250331,-0.00436040459976502
10173,0.05002333126134211,0.0737912332428208,0.00022068946811818694,0.02004736411568428,0.022272596107549072,0.001973872826573106,0.020604055044982906,0.0009500556236268667,0.0021616509640277337,0.037449554620967294,0.028522216591024076,0.018119640453135025,0.055134828452671814,-0.005998012085461769,0.0394453854628933,-0.003828273896988987,-0.0043603797013120095
10174,0.05002333126134205,0.06548227785760666,0.0002206894681183242,0.020047364115684085,0.03188847314939985,0.002735640607489951,0.020604055044982885,0.01107685034869639,0.0022520878544169337,0.03744955462096719,0.032329227101288015,0.018119640453135008,0.0551348284526717,-0.005998012085461777,0.03944538546289323,-0.0038282738969889793,-0.004360379701312
10176,0.050023331261342015,0.0675549024426993,0.00022068946811826097,0.02004736411568414,-0.010767435151967378,0.0037934672357604216,0.020604055044983,-0.012182020021546235,0.002430153815163438,0.03744955462096742,0.011540353635094,0.018119640453135216,0.05513482845267186,-0.0059980120854617675,0.0394453854628933,-0.00382827389698899,-0.004360379701311998
10177,0.05002333126134205,0.06497805018361975,0.00022068946811829796,0.020047364115684158,0.012259133645690016,0.0038191095357930746,0.020604055044982757,-0.0025174383142323405,0.002503279369036823,0.037449554620967204,-0.000759734306534168,0.018119640453134966,0.05513482845267183,-0.0059980120854617736,0.03944538546289308,-0.0038282738969889992,-0.004360379701311989
10184,0.03261857522301129,0.07124226274658366,0.0002202766189929749,0.020046476132215198,-0.008508172656781618,0.0037255978040327663,0.020603123983009484,-0.013219895926981752,0.002992994370835488,0.037448332678366704,0.002756453351889613,0.0181190340437341,0.05513268639438937,-0.005998044749903512,0.03944411858282325,-0.0038282863396764785,-0.00436039215059541
10185,0.0500233312613421,0.055421501717728736,0.00022068946811837662,0.02004736411568408,0.03875688347984579,0.004247388175021506,0.020604055044982656,0.050418787382772036,0.0031081460800878096,0.03744955462096719,0.019574277275132404,0.018119640453135064,0.05513482845267183,-0.005998012085461769,0.039445385462893036,-0.0038282738969890023,-0.004360379701311996
