,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,0.08352883490244273,0.13395847451647772,0.03438017745470314,0.04604424161375017,0.025689339250077867,-0.04303561755397423,0.045621008223743015,-0.032390296942391976,-0.011029093423259124,0.14034635066942805,0.01707545919052078,0.02914622469930958,0.162256787030137,-0.13483806209536398,0.13888000563062303,-0.17114637541200006,-0.16266621947146379
10164,0.08563214676333146,0.1277192883499009,0.02693755051216049,0.04450699429975849,0.015093683089541138,-0.041806460341976937,0.048497214924162375,-0.03148655667000419,-0.01680462451166121,0.1405286340779996,0.01507294999250355,0.02976324602041169,0.162721437378934,-0.13310246898160158,0.1410143010408696,-0.16382937883196128,-0.1560558654521601
10165,0.08715486677048087,0.13006637125116513,0.03145595388669581,0.047605482249447495,-0.03110520844438627,-0.041305360467114936,0.048905499979431874,-0.035988571528112655,-0.009780232415606124,0.13965292387356232,0.016118561756711045,0.02779474909917392,0.15540012838989206,-0.1337478231678009,0.14247412825216332,-0.16156597508176368,-0.15444658497658467
10172,0.08662692711570692,0.1375783895047618,0.033401012983196324,0.04298674087986163,-0.012167669719342595,-0.036087505011713004,0.05539784760309518,-0.0311618427171456,-0.008942184098419641,0.13959583754114038,0.017043688448350323,0.03359884037167931,0.16443281155806036,-0.12968846920216895,0.1399516117405735,-0.16411434471074646,-0.15440549419641092
10173,0.09111345678434646,0.1419129782154511,0.02883800756733673,0.04722951520103832,0.020744342558620763,-0.04253889763735337,0.04819939923762477,-0.0291709575215431,-0.016021065644056712,0.14042461158640224,0.01387194692038795,0.02207673772958772,0.16043122039366595,-0.12421547473856615,0.1410032901712677,-0.16203872117668372,-0.16412103021840987
10174,0.08835333075629655,0.1365480209790752,0.033399392238345316,0.051095607195458304,0.021976838611032688,-0.04089709235080176,0.05376033178607866,0.0019359720628948339,-0.009760997322585873,0.14243328205644507,0.015081052207668002,0.02804679093128397,0.16075462113200353,-0.13338249701726695,0.1397450633278221,-0.17038962173604852,-0.1540813473448651
10176,0.092023837273111,0.12584578215337944,0.02280811684276375,0.04355028643204602,-0.031217965563439,-0.04787759191431725,0.05337660233600523,-0.03635815533672757,-0.011773587044954948,0.15008028339413185,0.017926199948074564,0.02603381200719626,0.1624848392851929,-0.12937287221645952,0.14147770546565017,-0.1606088337383202,-0.15745752484477699
10177,0.08581133002994347,0.12813520952828375,0.02904398584014294,0.04879250664307381,0.019898400827756898,-0.04280960238593004,0.049905889513590374,-0.03536683140745893,-0.011334015421646913,0.1411040915635052,0.013421150279572455,0.024534396763000416,0.1605961204927276,-0.12348061692882098,0.1415835014421657,-0.15886080102101444,-0.16333812529123426
10184,0.0850921240457351,0.13774228265621982,0.03453378239261928,0.044696132331164574,-0.018466735234502357,-0.04215142179354307,0.0521922873008012,-0.02869344823880328,-0.017674034405818374,0.1376268290652672,0.01712878531292218,0.025709149587603886,0.15461169856143872,-0.13389923542211807,0.1358424678863269,-0.1653760403251752,-0.1526126992732604
10185,0.08728624566198022,0.13020566885818577,0.033819643053104816,0.04989577065899853,0.01009268374535225,-0.031180420835254075,0.05736928045463136,0.004254926682738369,-0.013819232360885988,0.14055967762230673,0.01604378329822916,0.02686090993471441,0.15684723670120337,-0.1297731134368387,0.1402920386652417,-0.16847734575716047,-0.16287450373160328
