,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,-2.286612355556204e-05,-1.0098266481881914e-05,2.0712000850647104e-07,5.04005723771877e-05,3.3965561853773807e-06,-3.898588119970187e-05,5.1643594379249744e-05,-1.6134474054953053e-05,-3.6352392009049984e-05,-4.6035898027395667e-05,-6.2794281382447465e-06,3.0037050511227295e-05,0.00012677013526501241,-4.700151470962391e-06,-1.0526300138967977e-05,-0.0010187466231037165,-0.0053691183531270024
10164,-2.422029970820055e-05,-2.0254781487765653e-05,-1.0124129126267426e-06,4.7500749058009856e-05,2.259804063536101e-06,-3.372775721193867e-05,4.971481643216739e-05,-1.901608169570746e-05,-3.3542499289467537e-05,-4.594955180579558e-05,-5.02899229508706e-06,2.8741986992971708e-05,0.000137709782016612,-4.590661796756134e-06,-1.042723599760744e-05,-0.0010164440274273677,-0.005367309974285419
10165,-3.969976969968825e-05,3.357803893687355e-05,-8.271204052085815e-06,2.3637870827803714e-05,-1.698987375602977e-05,1.8471996057882797e-05,3.280722503805545e-05,-2.864389546079303e-05,-3.6961051410980695e-06,-4.960564429499668e-05,-7.362771424337456e-07,2.2189010710287533e-05,0.00011539507489414319,-4.661885088760906e-06,4.380089438092373e-06,-0.001022287563563362,-0.005366627234390424
10172,-6.165561196753178e-05,0.00013182975322059725,-1.6904938597737834e-05,5.693710853273697e-06,-2.009825685829066e-05,5.230106494145682e-05,2.4584631471126135e-05,-3.0825463879111674e-05,1.960158693978652e-05,-4.935386007254484e-05,4.967311682582409e-06,2.2906473061178928e-05,8.049808543784139e-05,-4.538681001097852e-06,1.0506871080416475e-05,-0.0010253385593897565,-0.005366219773242083
10173,-2.61437067204555e-05,6.261265078965422e-05,8.67078256168312e-07,4.8198908934276486e-05,4.327640810173902e-06,-5.6782227884034755e-05,5.712116080925112e-05,1.760397164591999e-06,-4.4073262221755875e-05,-4.4403805586437e-05,-3.310006519995303e-07,3.532673847909184e-05,6.206759362186868e-05,-4.3263641799263165e-06,-1.3847886017620007e-05,-0.0010140998077064884,-0.005370612305929582
10174,-1.4507958809419464e-05,-6.9279576135384e-05,1.2633126237564531e-05,7.161647429485826e-05,4.343030806378327e-05,-0.00011784194549373283,7.5955260847857e-05,4.660414506153399e-05,-7.71350405508168e-05,-4.0428238188675767e-05,-3.0654555427422694e-06,4.4657698037097826e-05,0.00019389800336110091,-4.1644897630956655e-06,-2.9532273222420428e-05,-0.001014660085378473,-0.0053688381385490124
10176,-3.841104643478169e-05,-4.167935817282376e-05,-4.336983593694322e-06,2.2289437219601326e-05,-1.6713116579248565e-05,1.14632099409981e-05,3.366234977100351e-05,-2.538521677807134e-05,-4.551214029641362e-06,-4.920038450841568e-05,-5.64277935380666e-07,2.287462384332557e-05,0.00019454705216442764,-4.546292319958059e-06,3.6429859917150582e-06,-0.0010187850012354878,-0.005369446199170196
10177,-2.563459157679656e-05,-6.267733773999714e-05,6.701416131112353e-06,4.512954356898612e-05,-4.263180849879717e-06,-5.4047025795177686e-05,5.4228702972546496e-05,-9.642917903837022e-07,-4.1032237073524565e-05,-4.499546847737671e-05,-5.746133071358143e-06,3.426686381361173e-05,0.00021573393948955876,-4.6297588159685435e-06,-9.753881898848077e-06,-0.0010181692240783713,-0.005368672288984327
10184,-6.321221135768429e-05,1.6806814789195215e-05,-1.0069066352199193e-05,3.936372424529631e-06,-1.9489872552364562e-05,3.469185242782052e-05,2.9215245030428162e-05,-2.6718216150895082e-05,1.4567837269068245e-05,-4.831682572887236e-05,-1.4793626022293727e-07,2.8364099904878896e-05,0.00015915926733595993,-4.7187908652684415e-06,1.0234927783750744e-05,-0.0010237760030183045,-0.005366524044808173
10185,-5.95323707004655e-06,-4.432382321066801e-05,3.119767238631121e-05,8.659571041707062e-05,7.847511926980251e-05,-0.00020187650248610045,9.982945796152246e-05,0.00017428843015206285,-0.00012193374490215755,-3.642982835660437e-05,-7.867515434638467e-06,6.198618591982377e-05,0.00028817021495561323,-4.034972958529767e-06,-3.9689151244452474e-05,-0.0010127848566731058,-0.005365804940980646
10187,-3.441169405193847e-05,-1.230460455740282e-05,-5.962864191906605e-06,3.052017346378923e-05,-1.0582390158116165e-05,1.8850341140158617e-05,3.1170557365803096e-05,-2.7828320848291405e-05,6.67365436458712e-07,-4.7443817439877614e-05,-3.331280655912171e-08,1.6793208593837332e-05,0.0003683494062281882,-4.661518650346195e-06,-4.1281694959834185e-06,-0.001017348271792986,-0.005369182003976403
