,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,-0.004683359043566121,-0.010236532444138191,-0.007897975548770475,0.0005625498259902162,-0.010710871588959059,-0.007247746462248628,0.0003553976704191719,-0.009120310972572071,-0.00835362687743782,0.0389524919434244,-0.008355606056430653,-0.006397660050734,0.10536942159363287,-0.008293000155725871,-0.0026653753247306844,-0.006032008003876155,-0.0057127920769884655
10164,-0.004683359032018969,-0.010802832940941143,-0.007877778466777952,0.0008048795437012868,-0.01060536289469563,-0.0072358886296512714,0.0005095104246674587,-0.009045579307469104,-0.008243032446982712,0.03895249207507903,-0.007448519569514672,-0.006324688897860864,0.10536925294793123,-0.008248393899075154,-0.0026653752778255935,-0.006073239574045375,-0.005699634495361788
10165,-0.010519077688015438,-0.0033201663206732235,-0.00792747407350572,0.00020886781740694915,-0.00972336694503545,-0.007251640906766776,-8.376106339752498e-05,-0.007687210024618918,-0.008512174307460207,0.03895249187641711,-0.005923325237745969,-0.006579774767242169,0.10536928071926839,-0.00812878831211708,-0.0026653753898415733,-0.005828446937039711,-0.005632758370243102
10172,-0.011629684116348155,0.043138984986428014,-0.007917258519626769,2.1273487022244186e-05,-0.007848617804061708,-0.007317057235477625,-0.00035673459969698396,-0.006836863975754753,-0.00848025884485712,-0.003480687923989645,-0.003646584947008813,-0.006834820818141296,0.10536967283963392,-0.007753774385758999,-0.003975881773343376,-0.005403947841123663,-0.005516068342176467
10173,-0.010663658416962069,-0.001619001051002239,-0.007916669012839495,3.8558027517232585e-05,-0.011239972155131478,-0.0072725378437306365,-0.0003124536880999562,-0.009561023395165597,-0.008606043413111109,0.038952492412054146,-0.0027685365162068154,-0.006745117391890321,0.10536933069849237,-0.007974179811374438,-0.0026653755700027093,-0.005638424297056827,-0.005616756394015543
10174,-0.004683359130886328,-0.010187166857129948,-0.008561479524718196,-0.0028152054480986566,-0.008341165586077892,-0.00754058382622233,-0.0002099489190168502,-0.007701284383429874,-0.009072106912927924,0.03895249229304243,-0.001101192694615477,-0.0035678111279933145,0.10536958677426646,-0.00785169143496467,-0.002665375522465485,-0.005315630839625968,-0.005610917118029607
10176,-0.004683359245894497,-0.009927257506195136,-0.007782390300968833,-0.002815205499850204,-0.009155861955023381,-0.007184658787632692,-0.0002099489827791512,-0.0077024582735160385,-0.007501538688652165,0.03895249195648873,-0.005050671519947342,-0.0035678111290047276,0.10536950230371508,-0.007998898696089746,-0.0026653752294454325,-0.005544652307332171,-0.00561817374710899
10177,-0.004683359033241102,-0.01135528244160211,-0.007728937048852469,-0.0028152056415348403,-0.01114712898022241,-0.006563542827282887,-0.00020994903090640338,-0.0080735576114839,-0.007290674085428744,0.03895249207027471,-0.007207948155110083,-0.0035678111165304283,0.10536942359879499,-0.008081207853042505,-0.0026653753661572133,-0.003918033501600415,-0.005687361481938963
10184,-0.011610220734676463,-0.004339084609464139,-0.007942398562767378,0.0003859489935934546,-0.007665904575236804,-0.007296084595679125,0.00010464330666998256,-0.00723879476820008,-0.008400943304916225,0.038952491837392716,-0.007169946302331892,-0.006455024565233725,0.10536919749926729,-0.008124971632867961,-0.0026653752428890676,-0.005884885226198178,-0.005627984698846511
10185,-0.004683358879672167,-0.008216116703204657,-0.008908595314154971,-0.002815205475491578,-0.006892652772888086,-0.006708227130564626,-0.00020994922556472062,-0.0041896582137290195,-0.008586119300267508,0.038952492410663425,-0.0026569936680533313,-0.003567811163393414,0.10536958716759726,-0.00727765389036239,-0.0026653754325745294,0.0003818881573688926,-0.005606078515455054
10187,-0.004700596739672963,-0.004449326752743815,-0.008450554933153887,-0.0028134606047061916,-0.007660602668493999,-0.0065410571283995855,-0.0002058552047501383,-0.00624974659570407,-0.007962225166912279,0.038952492186968585,-0.0027581892363680305,-0.0035671750110063127,0.10536957265576329,-0.007323380860436102,-0.002665375364429373,0.0007812017934754611,-0.005763244048395372
10188,-0.004977507478950038,-0.00993522580966083,-0.00846117991429049,-0.00278522184312624,-0.006179757284130144,-0.0065597725684637676,-0.00014451647475322016,-0.006549022543555272,-0.007968775897508967,0.03895249216754068,-0.0023772162641487737,-0.003556517429591788,0.10536918056640446,-0.007531700276373315,-0.0026653752848634638,-0.000441303024718509,-0.005535772814501738
10191,-0.0052290421313476165,-0.002266869894666651,-0.008560372587492149,-0.002678653912580653,-0.009482327467257995,-0.006606907660510197,-1.263132080461804e-05,-0.007674635168808425,-0.008081521686114118,0.02313982313858809,-0.00452332894497065,-0.0034052329862095665,0.10536934388220144,-0.007432411405919825,0.011754399033529928,0.0007232773618574273,-0.005820871458527721
10197,-0.004683359086762678,-0.010531593323145683,-0.007738030663706791,-0.002815205538537452,-0.009963784607672055,-0.007152447947835844,-0.00020994907224863857,-0.00810039531589507,-0.007119832002668497,0.03895249204954038,-0.00793644069686697,-0.003567811140804761,0.10536944129070525,-0.00806868114691417,-0.0026653753108235034,-0.004298689647670634,-0.005674620010558629
43465,0.02621204322225959,-0.006898839284161962,-0.006825776187399685,0.010238310844917303,-0.00633549851772125,-0.03642567583731304,0.011281041577390544,-0.006569666795915391,-0.004075195862524306,-0.0009240391892226807,-0.005914515505508311,-0.0028805738294978844,-0.0018823048297410272,-0.003421457444528875,-0.005581275405671132,0.12307060661609497,-0.014471969761734316
60712,-0.001255428233646494,-0.003376067024563778,-0.004773392501547402,-0.006608490218395713,-0.004709599939247633,0.24143413642712225,-0.006539209660237244,-0.001958451127103522,0.0010244606215085161,-0.0007816679143528016,0.0011709040309201835,0.0001115729672224175,-4.7640135278081974e-05,-0.004309916242845935,0.012889008368720978,0.0010741059192330704,-0.002768261097708946
62404,-0.0023248166502964074,-0.005751430133694654,0.014982378942623581,-0.01416583937038346,-0.004339706360336981,-0.01630334198169936,-0.01641745530009242,0.0024868157874032015,0.021939784331645062,-0.0015829552620131582,0.004219440278332237,-0.0004915592867406615,0.00018455590343610662,-0.00981424588379226,0.05853259367647738,0.002053599928350469,-0.003933586616094775
64473,0.0008088263599520529,0.24368761459168709,-0.004701520732238007,-0.0044884016832384965,0.0007067773092619412,-0.005546556038076078,-0.003692211807193868,-0.0004698299497129521,-0.004644839229389963,-0.012064049289313317,0.0006380266547631464,-0.003849095372030098,-0.00246749755911313,-0.00485677781770999,-0.008744366509015555,-0.003763481329561613,-0.003898954389861209
