,s0,s1,s2,s5,s6,s8,s9
11917,-0.004814428514796138,-0.03354669798129209,-0.021680762926341322,-0.03550697602144912,-0.031945083751480974,-0.025011568720240025,-0.03614499291706409
11918,-0.003218155865446004,-0.03291239919535768,-0.018325064842000163,-0.024373949725215005,-0.03313915644510505,-0.03848466399106193,-0.03819712076847793
11923,-0.005715191007671993,-0.03514041963502215,-0.03515755620055386,-0.016850478159544827,-0.031973284114120176,-0.0339750168314874,-0.029838564884263362
11935,-0.03262999690002772,-0.007841725416154266,-0.032397407044985074,-0.022098536441680548,-0.0314055807626569,-0.03182452328663478,-0.030452740980524473
18918,-0.005649417048418174,-0.03361133682914419,-0.03490952283098269,-0.01656318954732474,-0.03198856101865588,-0.03455227576882881,-0.031376207789309274
18919,-0.02571673521246132,-0.03293337347033246,-0.006217242180554836,-0.0300675791598653,-0.03142187604207208,-0.030241792527551575,-0.03205191223982619
18923,-0.006650455740982107,-0.02244108046298378,-0.0355445939623458,-0.027378837929464665,-0.029859492307591162,-0.03550192112277788,-0.03127412930651838
18958,-0.03798575042031932,-0.005887180299034814,-0.03253106336404327,-0.030225743371539077,-0.03009577999906149,-0.020457910452178363,-0.031467082926487436
20951,-0.0035729704847728655,-0.032445493877859694,-0.019285703043734243,-0.03417276639480387,-0.03312411212861663,-0.037974375438886585,-0.02807508946398988
20985,-0.030064650871414883,-0.022378682060933526,-0.03167777224198996,-0.009538670964401743,-0.03271623497331459,-0.032152114874621995,-0.03012238484598706
35867,-0.0034084065001543976,-0.03627429912091008,-0.01838567106264493,-0.024554699179376343,-0.03638490662240611,-0.03828638503253167,-0.031356143314640234
35906,-0.032827599828431295,-0.025988150914713855,-0.008633508107474977,-0.029948651769840837,-0.030295153103317207,-0.029708501517007296,-0.031248945591878297
35911,-0.037401558676499094,-0.03912173114857784,-0.004006674903723208,-0.029640007710856595,-0.03181220814406782,-0.014205197591626011,-0.032463132657313196
35919,-0.02779671547715063,-0.038218799586814,-0.0032802900085651594,-0.038174520783736704,-0.033225467751279325,-0.012483435010987332,-0.035471282214130616
45782,-0.03234034525385206,-0.02144530504043021,-0.030815441931159437,-0.034509248950643605,-0.030871604590796298,-0.008285159133691447,-0.030383405932090712
46809,-0.015786339266782922,-0.03500688503951804,-0.03262300097629618,-0.03765103544720069,-0.0036435052230010746,-0.033443778721258956,-0.03049596615860589
271817,-0.022001513626836507,-0.031498898833033084,-0.02977362012178225,-0.009887917083169445,-0.03274239921437021,-0.03243253314982558,-0.030313628803646686
272818,-0.028677751731683472,-0.032436303263845,-0.02985320028195046,-0.025158761525187142,-0.033371179503657936,-0.008962602470880831,-0.030190712055458924
307641,-0.03999533678090286,-0.017782727318592477,-0.003178420311374673,-0.03985418601332177,-0.03315962814728238,-0.0250554824676017,-0.029624729793587906
308756,-0.02129903765728005,-0.03357597996507147,-0.0302843481692521,-0.008920018323583584,-0.03188223027151836,-0.03284478254327951,-0.029844113902678687
309757,-0.009402891888769367,-0.03263433232521455,-0.029915260734927465,-0.02508119235157128,-0.029595833134880206,-0.032371548527812335,-0.029649451869488558
310719,-0.007172878405406471,-0.03374764286017153,-0.03296816446218633,-0.02028336386533843,-0.030478134616271746,-0.03210994831617217,-0.03189037830711708
316611,-0.012143680624396493,-0.03177821467852203,-0.03067236307528061,-0.02997111236701963,-0.03029870424913833,-0.022940418656251158,-0.030846017182055513
317394,-0.01071061411126108,-0.02687063821648567,-0.030486202145224822,-0.028260145670317087,-0.03141112732938754,-0.029543388681830013,-0.03136839467815755
317615,-0.011262089203611941,-0.02770502366423038,-0.029966833869656373,-0.027769050138647014,-0.030887914571358477,-0.031269470400403274,-0.029790128984756303
318513,-0.03116094963044233,-0.024204894261090286,-0.03170256544870831,-0.008838626964259652,-0.03186934402182294,-0.030661307457663933,-0.030212823048676313
318558,-0.011034917968072667,-0.03280706172066389,-0.02997494509584625,-0.031469224784730736,-0.03030552563741902,-0.023283390686559248,-0.029775444939371953
340538,-0.02892378180359568,-0.015952428222779504,-0.0027245445116519987,-0.03838922031808559,-0.03239938597269354,-0.03150192947006122,-0.03875922053379624
385204,-0.03892276683178035,-0.030494894628946473,-0.0040300886889786235,-0.028981584757787063,-0.03385478703427193,-0.03462398476607527,-0.017742404124824057
385205,-0.009164885403346696,-0.030458370520098227,-0.025950702565112338,-0.03255706265764613,-0.031008403396423218,-0.030626487549918494,-0.028884598740118665
385346,-0.039061836965929284,-0.032336628001234866,-0.04041275810150377,-0.001803643424598746,-0.010990831698576321,-0.03872139326809007,-0.025323419372730707
385508,-0.030354609900696078,-0.031001456828134363,-0.032142643684681976,-0.019381021880927843,-0.0045445393453592536,-0.038346410848671894,-0.032879828344192355
385527,-0.039376476704127306,-0.02426859774733006,-0.03341087065798641,-0.039096321624003394,-0.015256841317376466,-0.03481531419703536,-0.00242608858480477
385564,-0.03019739900012483,-0.03307502850251709,-0.031901084741115346,-0.004663476787562898,-0.03235181774632556,-0.020356660238505048,-0.036105043816512986
390947,-0.030764511611788836,-0.02776005702494224,-0.03275471016725937,-0.007396237075927961,-0.03350703977949809,-0.02395028471694127,-0.03251767045630599
392256,-0.031224007530847135,-0.009943868560080827,-0.030870980175221774,-0.025246099751914556,-0.031360731445518,-0.029751187442603855,-0.030253635926477618
429198,-0.03045452847567484,-0.02871999700909101,-0.03017038566006175,-0.01355898722212721,-0.02556167176813885,-0.03003213478735392,-0.030152805910216185
430125,-0.009910344492360343,-0.03278905632266167,-0.031234716397504844,-0.031051532083179748,-0.030100577299719017,-0.022991860523821163,-0.03057242371341698
432034,-0.006528988804809888,-0.033946134425835064,-0.03282997790583497,-0.01944102721408862,-0.03072060550181807,-0.03243989859623271,-0.03274387838404444
434986,-0.0328655056911247,-0.010027058451161265,-0.03053325889922913,-0.02982147429064791,-0.03080114263144429,-0.029938431485055816,-0.024663639384000652
435209,-0.022419824625059592,-0.03291140275364526,-0.03014255934389301,-0.009919516983715395,-0.031355834455386686,-0.031972770295893765,-0.029928602375070057
438222,-0.00556881722271802,-0.031778016008942964,-0.022725596947502175,-0.03277297067726974,-0.03377121020507648,-0.031114158394629915,-0.030919741376524472
438253,-0.019362210242635867,-0.036069638907319505,-0.03082510188403373,-0.007583935225619385,-0.03197560303770999,-0.03309005343233398,-0.029743968103011303
446138,-0.02440646603207714,-0.032325288175411505,-0.006439278466299948,-0.031932323699377346,-0.032959738796223895,-0.03159944965425371,-0.028987966009020222
446140,-0.035721589909752216,-0.0359002944108633,-0.016204347177431817,-0.034611832736389105,-0.003298838302231311,-0.0329166033200009,-0.029997004975995112
446257,-0.006956892953197293,-0.03373579383554018,-0.03584530037384884,-0.019921918156839274,-0.03077705848866419,-0.030147975389435144,-0.03126557163513885
446395,-0.03283284192606967,-0.03254165804162188,-0.03297741163732097,-0.00549493716547025,-0.030216552095002562,-0.021307024104791576,-0.03328008586238686
446396,-0.03885772291674876,-0.002647345141151567,-0.015616830334406058,-0.03526259726954123,-0.035681442206123126,-0.03549985626978466,-0.025084716694908363
447164,-0.031084189167832066,-0.022275737754777286,-0.03038500179308573,-0.01025884427704126,-0.032145036832502284,-0.03223887558471447,-0.030262825422710665
447197,-0.02322174602136475,-0.005632989702492537,-0.029894672268356334,-0.038721585797078996,-0.029929075354387075,-0.03158694093524465,-0.029663500753739414
447200,-0.0075648426702261806,-0.03096066369852589,-0.029726308239378357,-0.021408663581901632,-0.03200932870440125,-0.03734077477381652,-0.029639929164413936
513409,-0.0384916977322108,-0.033165541845134205,-0.03754518160070251,-0.03131038731980934,-0.01753856326791335,-0.027556671316945912,-0.0030424677499476475
513454,-0.028374396049617008,-0.016224761590580512,-0.002845100485683009,-0.03745042807324937,-0.033046515708466284,-0.034480639580571376,-0.0362286693444962
513579,-0.03309312018082525,-0.03500229403521124,-0.03311764274328875,-0.0033847779182665724,-0.030523936423391077,-0.017645333417204683,-0.03588340611447619
513775,-0.033844488531768635,-0.034110728458969626,-0.033275222965984674,-0.017111097832325516,-0.034853283793339795,-0.030764956112846742,-0.004690733137428775
513792,-0.034758765781790955,-0.03500525579274133,-0.027626416769293716,-0.004124905603390962,-0.03576815207772374,-0.0348864991226677,-0.01648051568505536
513839,-0.033098707053343085,-0.02994183825720939,-0.01757393874444373,-0.03548097476044998,-0.034244975156132285,-0.005763665988407992,-0.0325464108726773
590810,-0.028761996986716616,-0.029729251504294757,-0.03228025369930608,-0.03295531333614564,-0.025317878692387635,-0.009752142545727644,-0.029853674068085395
591850,-0.031097555438334243,-0.009443382583110987,-0.030657009337815316,-0.023086434715428036,-0.03197801025527798,-0.032156609365219684,-0.03023150913747752
593773,-0.032058890018253676,-0.010229354435196033,-0.03134156799855911,-0.0235668525132032,-0.03079125545447005,-0.030374047940063847,-0.030288542472917845
593815,-0.030069541185464926,-0.010588478656091447,-0.030816568724572682,-0.02316244767842054,-0.03148478389884145,-0.03232480656008074,-0.030203884129191977
593866,-0.02114264397758052,-0.03286470747011838,-0.030451065904822494,-0.008982894845414036,-0.03224605256576517,-0.03314277481541758,-0.029820371253545586
631799,-0.0051269397401854395,-0.029525492675457465,-0.022043724147157717,-0.03254268035084469,-0.034084465103276174,-0.03395857805449931,-0.031368630761242966
