,s0,s1,s2,s5,s6,s8,s9
11917,-0.010548462050473606,0.0615455484936433,-0.10582630915128424,-0.00809478255150231,0.23380856721834953,-0.05192690786455256,-0.0981944706414942
11918,0.008045782174326888,0.07451211112153622,-0.097408546438643,0.011348808980595898,0.1649041831637206,-0.053290467875891784,-0.07977659227596835
11923,0.05937288447758152,-0.08193845338163289,-0.10121266855786515,-0.009160628833218748,0.23196971783636364,0.010334745172661502,-0.003078119320671896
11935,0.039384952354804936,-0.028016970745660175,-0.12786065571729305,-0.055312293429524206,-0.0684788001742535,-0.0194214633001559,0.35250491816263896
18918,0.04595185344901523,-0.09098103147899067,-0.09136861146994618,-0.009995453116658143,0.2310168030923483,0.00500113793505691,-0.029612175648600234
18919,-0.014022843724237677,0.06524900850382909,-0.07144371972796021,0.01219834111535803,0.26909935322048795,-0.06979742459382149,-0.09673280401302614
18923,0.08811986638661079,-0.0968271776656855,-0.12731567934750138,0.008113436868249502,0.3739156647521152,-0.022490551200552433,-0.08797881385982914
18958,0.10434260885331731,-0.006657799161044475,-0.0993130494575647,0.048620972825858755,0.35891749047077587,0.003813319406143656,-0.06876955596808959
20951,0.008036051810123568,0.08040084399845063,-0.09941714829431736,0.026593272053664768,0.1657230155230307,-0.059283499450538596,-0.06080012339942599
20985,-0.16097135452145223,-0.05086816626995769,-0.1431996696546824,-0.03871651166687487,-0.05809652508117785,0.02547247441034567,0.5169612897329662
35867,0.14588053209556492,0.05323918612124262,-0.03862508952383198,-0.031068600715691813,-0.026242449386990205,-0.042843563176132526,-0.03069881936529817
35906,0.12267022153159268,0.05035235479579192,-0.08742195176888856,0.05697954643586989,0.34447911195342623,-0.007348933782115652,-0.021757513422214436
35911,0.12000422874200267,0.003786015387219843,-0.03510469712017461,-0.01431173243848366,0.24275756702228155,0.004885381121451204,0.005577143988844235
35919,0.17098685055783577,0.024773964906518064,-0.02876916227190185,-0.007799159829754043,0.12030391184078096,-0.013931915313172283,0.0013214855030562744
45782,0.02176831377847882,0.006028633892640467,-0.08505194938926641,-0.10821617930570213,-0.06426513336706502,-0.029544461594783994,0.3818324474993095
46809,0.14613670851403643,0.049183730720595564,-0.015345969189905384,-0.01673011950670439,-0.027543945851261242,-0.05133838996206894,-0.03659843432084392
271817,-0.26326387566633414,0.09451936509679643,0.09710279912111941,-0.10918358873309775,-0.01769988501946307,-0.02491434732156267,0.41193254125138745
272818,-0.28834941302293293,0.08297450402303946,0.04763833340451806,-0.11163658165354343,-0.0036327711576377153,-0.017620375008992883,0.4766121464003851
307641,0.1720663827584247,-0.01741094137944721,-0.029248221650502726,-0.11952678380636259,-0.02488596692692996,-0.03417663816784375,0.08966092654692548
308756,-0.3122504835322015,-0.1278147487711132,-0.05558573384771559,-0.10299807460487623,0.06183582189165193,0.02272547199085667,0.6935332050647379
309757,0.010221698812915125,0.06593430302638348,-0.09300308675571756,-0.02433851750206706,0.10595043656310066,0.002523967486513179,0.8152085515886289
310719,-0.01646444028139965,-0.07154159453736092,-0.11817647332854753,-0.013048789707065661,0.33665986159233446,0.020767996559536983,-0.14462592486596237
316611,-0.07965042452368162,-0.09338934534197009,-0.09183551497727607,0.0024730926703198652,0.34703062902352894,-0.0026520003696855754,-0.06803809258466731
317394,-0.01606023485134256,0.005852286618774405,0.36904280877411094,-0.19909397598832826,0.06002798134507353,-0.07390416455343951,-0.16054273495751392
317615,-0.2108584020692451,-0.11048327745962783,-0.061343597450855714,-0.13091779439126255,0.0789752981958104,-0.011983214562927724,0.7285088793496639
318513,-0.12256270644881778,-0.058644530879740364,-0.21717238937800154,-0.02738615082574783,-0.08740723897925548,0.1307529832389986,0.46658431547865314
318558,-0.1985888192464429,0.1663032406228787,-0.07449684004826018,-0.14950028127678827,0.09402682807797946,-0.0075047812911057665,0.7380688798586282
340538,0.09426626301680727,-0.034703412423175206,-0.0907290140054745,-0.024553313813644728,0.20597074987508318,0.014083406211580968,-0.012093609928250426
385204,-0.044521567786158345,0.1882239051311087,-0.10436557452513107,-0.0011754814485090137,-0.02717775453584559,0.05705265544565588,-0.04419147718793734
385205,-0.04714900260892971,0.0036796979541657837,-0.16568666323720743,0.023581462409238835,0.29992741874900825,0.022264720544544425,-0.10830294211295592
385346,0.15666832120104485,-0.04392773276404974,-0.05080322307024529,0.003810829710599123,-0.04398654481362914,0.002601492846503531,-0.04081663249066769
385508,0.04208843277420843,-0.1156653076744798,0.2791254031687077,-0.1521473570923172,-0.0400207220837453,-0.01969112848163626,-0.01844054648814117
385527,0.17772545442478638,-0.03303495273165705,0.018189228901594745,-0.07124354445314596,-0.04643751828635918,-0.013321644700060364,-0.05657938163862892
385564,0.24809001863017688,-0.10567443736029367,0.05409819951191264,-0.14516884575104433,-0.036001627527536106,-0.022784450650502996,-0.02388333383548591
390947,0.24716913956786637,-0.10174391095476043,0.05004695977817303,-0.11584750783737136,0.026481885216074752,0.008602395239245442,-0.03208193685419747
392256,0.002872287482090008,-0.04995906245521575,-0.23931598858289999,-0.06655447246468014,-0.10960366745628541,0.1196506625782085,0.37927585373092954
429198,-0.07251013047508437,0.033465475686319995,-0.14396801560051312,-0.039431812352823115,-0.0629192139480309,-0.0028427610531832903,0.4072721619069032
430125,0.016304194451730036,-0.02684195693536412,0.07215757760824376,-0.16465050775448456,0.3650230300915667,-0.13975185619680106,-0.06210592846037799
432034,-0.08202163456609807,-0.003881630107493428,0.028555585958530805,-0.10453951805092451,0.32674936290671797,-0.04736557012745507,-0.1296746206371091
434986,0.022107552920709095,-0.02622230964457703,0.3496012679489793,-0.2596573514683758,0.06999924511872524,-0.07114907196229003,-0.10029200051256015
