,signal__required_value__fan_exahust_air,signal__required_value__heater_valve,air_temperature__required_value__exahust_air_inlet,air_temperature__max__supply_air_outlet,water_temperature__real_value__heater_behind,air_temperature__real_value__exahust_air_inlet,air_temperature__min__supply_air_outlet,air_temperature__real_value__supply_air_outlet,water_temperature__real_value__chiller_behind,signal__required_value__heat_recovery_bypass,water_temperature__real_value__heater_before,logic__real_value__fan_exahust_air,logic__required_value__heater,logic__required_value__chiller_pump,logic__required_value__heater_pump,logic__required_value__chiller,signal__required_value__chiller_valve
10163,-0.0011117097802667132,0.05329754715423204,-0.022844212808025382,0.00781641954970028,-0.004256428368389609,-0.02364961052520407,0.008386499829486839,-0.0015520407425032663,-0.013765276078548688,-0.0040549717760748295,-0.010171703306130238,-0.016451231473022035,0.045989620868737494,-0.0040154766725997125,0.019836516998087368,-0.013521881931357919,-0.008601643385158644
10164,0.0043390375075654936,0.04983630792703479,-0.015312578975636922,0.022651992455745742,-0.009931841012504362,-0.014938438985393284,-0.0030337991674120233,-0.007794988187443878,-0.015158026634405047,-0.008193295157204074,-0.009884096396466093,-0.01561997396250566,0.05181184786475367,-0.0025230344457344957,0.010347847107590888,-0.011436642395953336,-0.008791765235364436
10165,0.004318498923546737,0.0570559979732045,-0.015553190533278709,0.010811296928053098,-0.007022853406249642,-0.008076915556254484,-0.0029254925121656727,-0.007796010830336145,-0.007906785831372767,0.0006472911282131997,-0.006945670273982813,-0.019524203153947983,0.03574975482291645,-0.002116216737777004,0.01692713033459666,-0.01302117595242129,-0.010807403508159856
10172,-0.0010014761161680039,0.0968860919820145,-0.026077730862630738,0.007244341365165181,-0.0018662879491845817,-0.01209853206657701,0.008865270071869937,-0.008557312271247302,-0.011545261827607954,-0.010501395537414483,-0.0023074914308057874,-0.007175399463934206,0.03179648056626319,-0.002166132686866662,0.00793660351799595,-0.013968045814997622,-0.010571880460613296
10173,0.0015019193607279087,0.06865041172131897,-0.0096019269588093,0.01920568719454524,-0.0049056831928384,-0.014931753121523395,0.007557823557096217,0.0012545226188376542,-0.00958958038853274,-0.014589137477903727,-0.00022151623956032096,-0.006001632013875571,0.025446419550830286,-0.005834812803400882,0.0029098735423758616,-0.011444471983446022,-0.010558436889615318
10174,-0.0048767595422557685,0.016471524190985486,-0.013576547071958581,0.023201946136541664,-0.0016740344671739493,-0.01875887397624967,0.009318596564440272,0.011136565505423475,-0.020473617826484963,-0.005545228110212414,-0.008046479679437156,-0.016452124115700524,0.07032739350468749,-0.006056472145848802,0.020415370566253033,-0.013299347331954372,-0.011149505347841312
10176,0.015295628332532932,0.03144927168006284,-0.01647703745661097,0.012931175898864037,-0.008926512250780227,-0.016343434123425843,0.013758698013714613,-0.010183808695421445,-0.0046936148560295515,0.0034557964761431034,-0.008762621672617064,-0.022280253942848913,0.07035113017592165,-0.0075575503572407705,-0.0010962124706970422,-0.014344825500415428,-0.01217034310516384
10177,-0.0028657728599177446,0.0213735167759781,-0.014698797960041303,0.014738361668876475,-0.008137711169612075,-0.02315862474342188,0.010853230210228097,-0.00975764901687701,-0.010244554270369308,-0.002904571649721919,-0.012127654481058327,-0.008387758261006743,0.07004318634306807,-0.005636035005251564,0.015221208907767304,-0.014010147986312714,-0.012798408998383415
10184,-0.004857581745729682,0.05546040531506557,-0.018420551161074803,0.0190988347808727,-0.006056075592835747,-0.015539916593374484,0.010231679582244,-0.007873462834912866,-0.009440529581366307,0.004481659787707033,-0.01002734953951505,-0.019597329349360523,0.04895078977259496,-0.006359925054841578,0.006450448847479283,-0.010884103365242481,-0.009907886439727405
10185,0.0032983231989459844,-0.0006494174142264654,-0.014284879801174,0.020412368642476704,0.009999625965331996,-0.01886531131859455,0.0007820983603596738,0.015727170827384625,-0.014405567041184342,0.009566355989211135,-0.013044795108338192,-0.017626038924790928,0.07371345242744107,-0.0036092255606005575,0.023149248336234853,-0.01423302210453485,-0.01380506462934944
10187,0.013848052782317,-0.0013275358215388347,-0.00805382359203779,0.00776600672604723,-0.008956578142113151,-0.020477836303826838,0.003554497941190171,-0.0024509364744234458,-0.004484047991120149,0.008181173269533455,-0.012189741577539184,-0.006846484287848897,0.08441346614259397,-0.004484510016110211,0.01755184571569164,-0.012890647182034122,-0.010946525157325797
10188,-0.004294490973568623,-0.00017309388404505507,-0.012150257302241197,0.027619836565831463,-0.005760584208700393,-0.015165611673146479,0.009769943412393334,-0.004801688833265663,-0.011314585119382372,-0.0009626757291456074,-0.006106850505909985,-0.012324980186401971,0.07646618931295557,-0.004116550957163176,0.02110381291040944,-0.012119571102990037,-0.010600673179659589
10191,0.003817832242800958,0.00013752956771188602,-0.009545759828761222,0.024956352012231946,-0.012363381226443586,-0.019482594305752877,-0.0005143205195458371,-0.010073189470503063,-0.009354917053133247,-0.006584651930671597,-0.012400758280936217,-0.005626003795510361,0.08040925418802848,-0.007153038650544151,0.03602278087339881,-0.011539919260475373,-0.010131601355969903
10197,0.014892634763899773,0.025974280066374283,-0.025072964965365825,0.014679076164029532,-0.008002937689113122,-0.01883364361245185,-0.0009765267558395907,-0.0015609559530599146,-0.010625582272186877,0.0017879692097711884,-0.010107152220896538,-0.022907324532667795,0.06338521476886752,-0.000479837154141729,0.008386293340267406,-0.012533051690293688,-0.010105760805308818
43465,0.01830376158985826,-0.007515061824685996,-0.009498896786632637,0.009364214365163609,-0.0036251931937618356,-0.027043867485804687,0.005885624771213363,-0.002665396837207178,0.007408418967905974,0.005784327180849181,-0.010210483347376183,-0.001441262437858512,-0.006230558038999641,-0.022034127469588483,-0.017491275200413336,0.14702415422691653,0.007436375709043609
60712,0.0022691900572843005,-0.005473092976543644,0.015290552545338867,-9.363925860574668e-05,0.024088682530240883,0.5234402538401386,0.006529196405058942,0.03916656020407874,0.023380823999436372,0.0006621662196185721,0.0005998013851543291,0.005808029468688702,0.006566263482802454,0.0018402355184985572,0.055475734757880375,-0.007934662749369947,-0.004994370606210487
