,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.05293511909215792,0.13561050787189974,-0.2556355071278571,0.02058714405539603,-0.016375170444954262,0.861619216132511,0.1751035730993889,0.0833897040037625,0.3117112513133583,0.30092928551105597,0.3749990173041815,-0.04265330174084769,0.4180468578065259
Complexity,0.05293511909215792,1.0,-0.2319508927118876,-0.0024543584967817245,-0.025048505521258882,0.4442700063621226,-0.019632347319500056,-0.06667624630855251,-0.3300139497079114,-0.042353641042740114,-0.45411699886002205,-0.6184286336854855,-0.9964159730352697,0.006676882038565338
Consistency,0.13561050787189974,-0.2319508927118876,1.0,-0.33804717524406486,0.0025085277690733328,-0.09268636601487339,0.1121886338073805,-0.4836435184040475,0.07950423460678381,-0.005132995578992009,-0.11613993360805899,0.09619107065640807,0.23288217665727468,0.4644015152942011
Faithfulness,-0.2556355071278571,-0.0024543584967817245,-0.33804717524406486,1.0,0.07011611006089456,-0.2717999276400011,-0.14383908464398942,0.11054846087223245,-0.06362168805603827,-0.2633569275622868,0.1419463250033141,-0.09585684524069496,0.006914905099752763,-0.38316609096960313
FaithfulnessEstimate,0.02058714405539603,-0.025048505521258882,0.0025085277690733328,0.07011611006089456,1.0,-0.03390825181360599,0.026904739296480216,0.05086934317771108,-0.09380503278197169,-0.13615375199085417,0.08287195386958007,0.06568666416261214,0.027121718748430133,0.018120712228608192
LocalLipschitzEstimate,-0.016375170444954262,0.4442700063621226,-0.09268636601487339,-0.2717999276400011,-0.03390825181360599,1.0,-0.2019361664952149,-0.0013902085331671003,-0.11291130971652263,0.11375902166108968,-0.2851018809031451,-0.25626141019033727,-0.4338496196101677,-0.010570362213139145
MaxSensitivity,0.861619216132511,-0.019632347319500056,0.1121886338073805,-0.14383908464398942,0.026904739296480216,-0.2019361664952149,1.0,0.1691676405690905,0.034702795997428496,0.23482628430965047,0.44321254264323007,0.49758748176553314,0.017166114412974817,0.32548966297451304
Monotonicity,0.1751035730993889,-0.06667624630855251,-0.4836435184040475,0.11054846087223245,0.05086934317771108,-0.0013902085331671003,0.1691676405690905,1.0,0.038787746152667,0.21153598355096698,0.2289272326683218,0.21836057290491648,0.06961027765170043,-0.17501914655885467
MonotonicityCorrelation,0.0833897040037625,-0.3300139497079114,0.07950423460678381,-0.06362168805603827,-0.09380503278197169,-0.11291130971652263,0.034702795997428496,0.038787746152667,1.0,0.08511197328084562,0.07683783234011853,0.1329874588208523,0.3452604712660536,0.1302744606162888
NonSensitivity,0.3117112513133583,-0.042353641042740114,-0.005132995578992009,-0.2633569275622868,-0.13615375199085417,0.11375902166108968,0.23482628430965047,0.21153598355096698,0.08511197328084562,1.0,-0.12375485670879442,0.0729787912059598,0.04439696735148846,0.08897097431993262
RelativeInputStability,0.30092928551105597,-0.45411699886002205,-0.11613993360805899,0.1419463250033141,0.08287195386958007,-0.2851018809031451,0.44321254264323007,0.2289272326683218,0.07683783234011853,-0.12375485670879442,1.0,0.8261232178985117,0.4606129281364587,0.13658632988555167
RelativeOutputStability,0.3749990173041815,-0.6184286336854855,0.09619107065640807,-0.09585684524069496,0.06568666416261214,-0.25626141019033727,0.49758748176553314,0.21836057290491648,0.1329874588208523,0.0729787912059598,0.8261232178985117,1.0,0.6301442256444668,0.2832796879145397
Sparseness,-0.04265330174084769,-0.9964159730352697,0.23288217665727468,0.006914905099752763,0.027121718748430133,-0.4338496196101677,0.017166114412974817,0.06961027765170043,0.3452604712660536,0.04439696735148846,0.4606129281364587,0.6301442256444668,1.0,-0.0013238901322669718
Sufficiency,0.4180468578065259,0.006676882038565338,0.4644015152942011,-0.38316609096960313,0.018120712228608192,-0.010570362213139145,0.32548966297451304,-0.17501914655885467,0.1302744606162888,0.08897097431993262,0.13658632988555167,0.2832796879145397,-0.0013238901322669718,1.0
