,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,700,700,700,700,700,700,700,700,700,700,478,479,700,700
Complexity,700,840,840,840,840,840,840,840,840,840,478,479,840,840
Consistency,700,840,840,840,840,840,840,840,840,840,478,479,840,840
Faithfulness,700,840,840,840,840,840,840,840,840,840,478,479,840,840
FaithfulnessEstimate,700,840,840,840,840,840,840,840,840,840,478,479,840,840
LocalLipschitzEstimate,700,840,840,840,840,840,840,840,840,840,478,479,840,840
MaxSensitivity,700,840,840,840,840,840,840,840,840,840,478,479,840,840
Monotonicity,700,840,840,840,840,840,840,840,840,840,478,479,840,840
MonotonicityCorrelation,700,840,840,840,840,840,840,840,840,840,478,479,840,840
NonSensitivity,700,840,840,840,840,840,840,840,840,840,478,479,840,840
RelativeInputStability,478,478,478,478,478,478,478,478,478,478,478,477,478,478
RelativeOutputStability,479,479,479,479,479,479,479,479,479,479,477,479,479,479
Sparseness,700,840,840,840,840,840,840,840,840,840,478,479,840,840
Sufficiency,700,840,840,840,840,840,840,840,840,840,478,479,840,840
