metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
Complexity,Sparseness,-0.9964159730352697,0.0,840,0.9964159730352697,True
AvgSensitivity,MaxSensitivity,0.861619216132511,9.368792297804327e-208,700,0.861619216132511,True
RelativeInputStability,RelativeOutputStability,0.8261232178985117,2.0733350713624473e-120,477,0.8261232178985117,True
RelativeOutputStability,Sparseness,0.6301442256444668,2.2557122441765546e-54,479,0.6301442256444668,True
Complexity,RelativeOutputStability,-0.6184286336854855,6.987906854436977e-52,479,0.6184286336854855,True
MaxSensitivity,RelativeOutputStability,0.49758748176553314,2.493609738277519e-31,479,0.49758748176553314,True
Consistency,Monotonicity,-0.4836435184040475,1.8491379517315354e-50,840,0.4836435184040475,True
Consistency,Sufficiency,0.4644015152942011,3.6874730471516356e-46,840,0.4644015152942011,True
RelativeInputStability,Sparseness,0.4606129281364587,1.7699119437711568e-26,478,0.4606129281364587,True
Complexity,RelativeInputStability,-0.45411699886002205,1.0731351182737982e-25,478,0.45411699886002205,True
Complexity,LocalLipschitzEstimate,0.4442700063621226,6.040708471682512e-42,840,0.4442700063621226,True
MaxSensitivity,RelativeInputStability,0.44321254264323007,2.0293335590218163e-24,478,0.44321254264323007,True
LocalLipschitzEstimate,Sparseness,-0.4338496196101677,7.146339770607679e-40,840,0.4338496196101677,True
AvgSensitivity,Sufficiency,0.4180468578065259,5.516721253118845e-31,700,0.4180468578065259,True
Faithfulness,Sufficiency,-0.38316609096960313,9.13451179703866e-31,840,0.38316609096960313,True
AvgSensitivity,RelativeOutputStability,0.3749990173041815,1.9306990430052794e-17,479,0.3749990173041815,True
MonotonicityCorrelation,Sparseness,0.3452604712660536,6.322702852116732e-25,840,0.3452604712660536,True
Consistency,Faithfulness,-0.33804717524406486,6.68881403982711e-24,840,0.33804717524406486,True
Complexity,MonotonicityCorrelation,-0.3300139497079114,8.606445904658021e-23,840,0.3300139497079114,True
MaxSensitivity,Sufficiency,0.32548966297451304,3.510011360326375e-22,840,0.32548966297451304,True
AvgSensitivity,NonSensitivity,0.3117112513133583,3.07630745153143e-17,700,0.3117112513133583,True
AvgSensitivity,RelativeInputStability,0.30092928551105597,1.837197848498966e-11,478,0.30092928551105597,True
LocalLipschitzEstimate,RelativeInputStability,-0.2851018809031451,2.1648653678305578e-10,478,0.2851018809031451,True
RelativeOutputStability,Sufficiency,0.2832796879145397,2.7286240042542805e-10,479,0.2832796879145397,True
Faithfulness,LocalLipschitzEstimate,-0.2717999276400011,1.0819545403790531e-15,840,0.2717999276400011,True
