metric,factor,H,p_value,significant_0.05
Consistency,model_name,820.1446757217169,5.070941828437575e-175,True
LocalLipschitzEstimate,xai_method,677.1322168026004,9.175027230320303e-148,True
Sparseness,model_name,659.9961380896095,2.1865683157694972e-140,True
Complexity,model_name,643.7942583361205,6.947278325672502e-137,True
Monotonicity,model_name,459.778103616813,3.818785024859605e-97,True
RelativeOutputStability,model_name,350.93132293438657,1.1038032531181401e-74,True
MonotonicityCorrelation,model_name,277.31769036504,7.502456230179843e-58,True
Sufficiency,model_name,271.4210375766956,1.3859448343124728e-56,True
LocalLipschitzEstimate,model_name,230.76720402701676,7.324058836673946e-48,True
Sufficiency,xai_method,188.15738709040102,1.3872110151208966e-41,True
RelativeInputStability,model_name,170.32297616766755,8.915564484501259e-36,True
Complexity,xai_method,161.38645767996064,9.023520053723377e-36,True
Faithfulness,xai_method,158.0059002679047,4.891642422615092e-35,True
Sparseness,xai_method,152.3563174043249,8.246051334399208e-34,True
MaxSensitivity,model_name,151.6507649986729,9.014871146472252e-32,True
NonSensitivity,model_name,113.38298588684727,7.893644529909409e-23,True
AvgSensitivity,model_name,92.38161321671532,4.1062461140608365e-19,True
AvgSensitivity,xai_method,83.5400988311444,7.235991199449134e-19,True
MaxSensitivity,xai_method,83.26311864696436,8.310813044776517e-19,True
MonotonicityCorrelation,xai_method,79.1120058145756,6.622869707679392e-18,True
Faithfulness,model_name,86.87413070289499,3.044990448584534e-17,True
RelativeInputStability,xai_method,54.60420796234166,1.3894627126526764e-12,True
MonotonicityMetric,model_name,30.496855345917012,1.177274560097075e-05,True
RelativeOutputStability,xai_method,21.694328995622072,1.9459707779068147e-05,True
MonotonicityMetric,xai_method,15.483018867934609,0.0004344153586473783,True
NonSensitivity,xai_method,14.623796235198462,0.00066754876271654,True
Consistency,xai_method,5.171136594193839,0.07535324440068421,False
Monotonicity,xai_method,0.6202194878629587,0.7333664692883388,False
FaithfulnessEstimate,model_name,2.4837996322526124,0.7789328779203862,False
FaithfulnessEstimate,xai_method,0.2605403338857286,0.8778582306057312,False
