component,explained_variance_ratio,cumulative_variance
PC1,0.20788178285594344,0.20788178285594344
PC2,0.14417005629495078,0.3520518391508942
PC3,0.12456754130746069,0.4766193804583549
PC4,0.0980309070648947,0.5746502875232495
PC5,0.08413579442127672,0.6587860819445263
PC6,0.07276541094717115,0.7315514928916974
PC7,0.06615549166734479,0.7977069845590422
PC8,0.05051224447878079,0.848219229037823
PC9,0.04601531256033955,0.8942345415981625
PC10,0.03487876182194615,0.9291133034201087
PC11,0.028066605567031402,0.9571799089871401
PC12,0.02065934186560249,0.9778392508527426
PC13,0.019505632846188465,0.997344883698931
PC14,0.0016350275360616578,0.9989799112349927
PC15,0.001020088765007254,1.0
