,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,0.06575990843602579,0.6262509870823716,-0.2072252533174168,-0.08770756162819708,0.06318401724808909,-0.03083648206003614,-0.17911883995164357,0.10483324677623854,0.061071691249988604,0.04287397575733484,-0.018546993819997592,0.012453886011234403,-0.030968509414314775,-0.07827354368051868,-0.7011996297655385
Complexity,-0.4873257110150395,0.027670176754397535,-0.23232442414750673,-0.06786080957542898,-0.21046436636981544,0.033317966895794186,-0.032484494653582954,-0.27709885325769484,0.1376214760704679,-0.16679873118429628,-0.10438915801021717,0.2058668879282674,-0.01690827828614988,0.689434337637659,-0.06541083111290358
Consistency,0.41488932943541385,-0.03603299993014342,-0.2442362976501873,-0.014589553740196855,-0.27444654905408233,-0.010770162310077842,0.027199949209416787,-0.10611421577515136,-0.2277924062887055,-0.08750405564727336,0.04403573779230501,0.6227251983934569,0.47621115732114333,-0.056609979474360674,0.0036550225956206482
Faithfulness,-0.23565447277133061,0.1859673164790801,0.5012250273915558,0.034588255513558,0.023553597344823776,-0.0916652468655413,-0.12786927046842259,-0.18067055304671434,0.16728567760491314,0.18359487948767078,0.5961626482480653,0.07421201826142225,0.4200715633089072,0.0201051464569568,-0.006109248800908338
FaithfulnessEstimate,0.020291390970977197,0.026387339026103785,0.18640484109637132,-0.11980046876740333,-0.12784173455566578,0.8314732576605468,-0.32107396051046505,-0.011957109963033322,-0.24682084201972807,-0.056509357742282974,0.14034483551822072,0.08613385383389034,-0.21808125062858588,-0.008961317015824597,0.0010082242168195732
LocalLipschitzEstimate,-0.1949536792556874,-0.18116025758784499,-0.3788281417819367,-0.023394605844216498,0.11303656575606673,0.2705953882405205,0.19810758847757326,0.5546148045923148,0.2629657517491568,0.4265403550140934,0.2440158778919027,0.17047359158050096,0.10722566983181854,0.03280368558323451,0.002558673385736704
MaxSensitivity,0.07003401323674967,0.6290190899183719,-0.20217891411697494,-0.08596773510481587,0.06086964644788595,-0.029128086165349024,-0.1713366419916251,0.09758368289824748,0.05761033827877506,0.03742235821658322,-0.014049114349353402,0.0055373074170475736,-0.023709116968036514,0.05899855080334486,0.7062157622239342
Monotonicity,-0.038820895860435,0.10563534131860383,0.14343836203483717,0.3144023244155703,0.6039376070124175,0.338714563031972,0.15237677641991884,-0.09963028121964113,0.17052836880652392,-0.16493623251528966,-0.40580154537828644,0.16072444384573426,0.32931631201751144,0.007211664205955853,-0.002301347339405137
MonotonicityCorrelation,0.3566059219476649,-0.17471539447745257,0.06463895136507107,0.05811790531139416,0.09790011892217836,-0.07741387642866045,-0.32849923036275586,-0.15563948797307245,0.6317324431610507,0.07258625864067124,0.03892484269959282,0.35205191689369714,-0.3957166619768899,0.025008437688663537,0.003269177847265916
MonotonicityMetric,-0.06888449853867369,0.05935087939253449,0.01933592784728037,0.6191519681109489,-0.283171124617253,0.002833765467758743,-0.18940332858833014,-0.1080526058993682,-0.1564149431268297,0.6104411883991933,-0.2870092174457466,0.005688465733904164,-0.025286005695705674,0.01070902213387421,0.0012903415829295655
NonSensitivity,-0.035654475545329314,-0.03656250876064248,-0.35046148619840173,0.4005743012213562,0.4354727730269585,-0.0910257075272404,-0.034631027882244016,-0.20246294116866065,-0.3704274209141638,-0.11692782202899073,0.49041063871406737,0.077370555436677,-0.2736214270256658,0.041614248121348354,-0.00428170357774438
RelativeInputStability,0.07771117366660316,0.29718193656488506,0.2077788649719163,0.039288036481136816,-0.1589824444601202,0.09492133622718872,0.7670009428732057,-0.15416224263641126,0.030530747285198147,0.10535769855759866,0.09614833613246276,0.22649104418258773,-0.37679252546982955,-0.005284213364917681,-0.003278019931876479
RelativeOutputStability,0.002550178826202587,0.0837757301838973,0.05530247461606895,0.557537765671611,-0.36532936932333027,0.028381160610407442,-0.0006093783557798718,0.416465016700084,0.223076719147413,-0.5436307127281709,0.1472680054232503,-0.06490515385862998,0.00964412405509233,-0.007833366508043657,-0.0011791103809943662
Sparseness,0.49769755296171464,0.00045926277660583205,0.24202033351116323,0.02545450765162714,0.1475991063180382,-0.04300629463412463,0.031656969260719835,0.28862250492301333,-0.18239025115907062,0.11953999396072817,0.04919272090211718,-0.147200670370883,0.045723045253871546,0.7115584990063621,-0.07130876558507455
Sufficiency,0.31426121866865153,-0.010107962078592676,-0.3468676529217337,0.07019897029078725,-0.1354142231463086,0.2886575098166198,0.1434682015932674,-0.42864029484844146,0.30042764195531213,0.0523245512689358,0.1719094220268826,-0.542852015612247,0.22626044270606596,0.0371319654790589,-0.010416174157203906
