,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.24622866750391278,0.2904285349169056,-0.26908696457907727,-0.22535218909835691,0.1660748205608715,0.9290572445440898,-0.13166391068707195,0.003907784800122293,-0.16478067409775715,-0.15560894329822209,0.5200237619819975,0.3807188655647131,-0.2457684697304793,0.3728399465802967
Complexity,0.24622866750391278,1.0,0.04539113703554989,-0.13075196039743622,-0.08892028627272194,0.387655855503838,0.14230609232094096,0.00428575163498206,-0.04866033962768046,0.009402122908067538,-0.16505554153323043,-0.1621589630651506,-0.21941751379753163,-0.9941881809431012,0.15772525334366605
Consistency,0.2904285349169056,0.04539113703554989,1.0,-0.1547746045483638,-0.09164540280006221,-0.05752214932491334,0.28885286452875314,-0.5660329793506663,-0.11380437961058726,-0.2876964045697452,-0.52320118827023,0.3000669914181052,0.37376831929788884,-0.04507464560313169,0.5928929692511798
Faithfulness,-0.26908696457907727,-0.13075196039743622,-0.1547746045483638,1.0,0.10606984301172442,-0.03681468808711515,-0.2628481245411769,-0.09870694919967563,-0.04726959681676623,0.23009789981770692,0.05389691097384408,-0.0891937993962377,-0.19541253043570225,0.1287491216633213,-0.22219466653959624
FaithfulnessEstimate,-0.22535218909835691,-0.08892028627272194,-0.09164540280006221,0.10606984301172442,1.0,-0.11259193781749904,-0.19878164658105257,0.0016744876606623897,0.001382044836442648,0.09533413813540553,0.03789746638808858,-0.08814901374273584,-0.09273151078159672,0.09234589042754826,-0.09137650033682299
LocalLipschitzEstimate,0.1660748205608715,0.387655855503838,-0.05752214932491334,-0.03681468808711515,-0.11259193781749904,1.0,0.08240880906144615,0.12921072771936104,0.025402159875417607,-0.030387491785681616,0.03489550617773839,0.0025766999983274723,0.012645216883592898,-0.38975369243527896,-0.06852240529503968
MaxSensitivity,0.9290572445440898,0.14230609232094096,0.28885286452875314,-0.2628481245411769,-0.19878164658105257,0.08240880906144615,1.0,-0.13720260063326414,0.011147688906942519,-0.16828529423053087,-0.12177271845511682,0.49264734715969555,0.40061509387677224,-0.14332924261480512,0.3215945711392663
Monotonicity,-0.13166391068707195,0.00428575163498206,-0.5660329793506663,-0.09870694919967563,0.0016744876606623897,0.12921072771936104,-0.13720260063326414,1.0,0.11851426094788528,0.05511346539090424,0.699771291052828,-0.2071244805671276,0.15058738260655516,-0.013114868391201934,-0.3061132099795824
MonotonicityCorrelation,0.003907784800122293,-0.04866033962768046,-0.11380437961058726,-0.04726959681676623,0.001382044836442648,0.025402159875417607,0.011147688906942519,0.11851426094788528,1.0,0.024131927657975203,0.12609746019917786,0.1177626536375872,0.15348870852394614,0.04733321294395528,-0.02603989554336196
MonotonicityMetric,-0.16478067409775715,0.009402122908067538,-0.2876964045697452,0.23009789981770692,0.09533413813540553,-0.030387491785681616,-0.16828529423053087,0.05511346539090424,0.024131927657975203,1.0,0.021397985321519312,-0.1859018211718574,-0.19089104522401612,-0.006204554081224749,-0.21925514405018126
NonSensitivity,-0.15560894329822209,-0.16505554153323043,-0.52320118827023,0.05389691097384408,0.03789746638808858,0.03489550617773839,-0.12177271845511682,0.699771291052828,0.12609746019917786,0.021397985321519312,1.0,-0.18541484770103675,0.0663133495279281,0.15822517526814706,-0.3569824635049653
RelativeInputStability,0.5200237619819975,-0.1621589630651506,0.3000669914181052,-0.0891937993962377,-0.08814901374273584,0.0025766999983274723,0.49264734715969555,-0.2071244805671276,0.1177626536375872,-0.1859018211718574,-0.18541484770103675,1.0,0.492678581724986,0.14876358903458686,0.3151381693078088
RelativeOutputStability,0.3807188655647131,-0.21941751379753163,0.37376831929788884,-0.19541253043570225,-0.09273151078159672,0.012645216883592898,0.40061509387677224,0.15058738260655516,0.15348870852394614,-0.19089104522401612,0.0663133495279281,0.492678581724986,1.0,0.20264377673920547,0.4547444770251281
Sparseness,-0.2457684697304793,-0.9941881809431012,-0.04507464560313169,0.1287491216633213,0.09234589042754826,-0.38975369243527896,-0.14332924261480512,-0.013114868391201934,0.04733321294395528,-0.006204554081224749,0.15822517526814706,0.14876358903458686,0.20264377673920547,1.0,-0.14340781707961248
Sufficiency,0.3728399465802967,0.15772525334366605,0.5928929692511798,-0.22219466653959624,-0.09137650033682299,-0.06852240529503968,0.3215945711392663,-0.3061132099795824,-0.02603989554336196,-0.21925514405018126,-0.3569824635049653,0.3151381693078088,0.4547444770251281,-0.14340781707961248,1.0
