,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
Complexity,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
Consistency,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
Faithfulness,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
FaithfulnessEstimate,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
LocalLipschitzEstimate,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
MaxSensitivity,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
Monotonicity,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
MonotonicityCorrelation,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
MonotonicityMetric,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
NonSensitivity,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
RelativeInputStability,530,530,530,530,530,530,530,530,530,530,530,530,514,530,530
RelativeOutputStability,532,532,532,532,532,532,532,532,532,532,532,514,532,532,532
Sparseness,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
Sufficiency,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,530,532,1260,1260
