,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,7.416253378246454e-19,6.509427119867744e-26,2.428969245067399e-22,5.697191655861611e-16,3.0210796033632117e-09,0.0,2.7401431381698142e-06,0.8897856406616497,4.014597519516962e-09,2.8251835145546536e-08,4.706750370096319e-38,8.560069011926132e-20,8.645920193946516e-19,7.803869226393347e-43
Complexity,7.416253378246536e-19,0.0,0.10729824704892456,3.2142470856146296e-06,0.001580484764943337,1.892725162115587e-46,3.932719103420946e-07,0.8792036574229861,0.08424326420985918,0.7388184908875294,3.780045018652893e-09,0.00017739394614605845,3.1976995567977253e-07,0.0,1.8189011744766026e-08
Consistency,6.509427119867744e-26,0.10729824704892456,0.0,3.355331445781311e-08,0.0011270921299836474,0.041201385765771446,1.2247134549500876e-25,1.2260072545086675e-107,5.147970121666244e-05,1.9426362110247112e-25,1.8179257094332686e-89,1.726399113716633e-12,4.405201081703512e-19,0.10977261489697171,1.821726550052189e-120
Faithfulness,2.428969245067399e-22,3.2142470856146296e-06,3.355331445781323e-08,0.0,0.00016193498592107164,0.19157382135850473,2.349503512437505e-21,0.00045005999725413273,0.09350798486365408,1.3308494640868904e-16,0.05579390066721347,0.04010751392857383,5.613213846539683e-06,4.5464344002342085e-06,1.4722692072103602e-15
FaithfulnessEstimate,5.697191655861611e-16,0.001580484764943337,0.0011270921299836474,0.00016193498592107164,0.0,6.19145215074287e-05,1.0775844338920612e-12,0.9526498698732498,0.960912077459012,0.0007030487724146694,0.17882735209446,0.0425091018436015,0.03248085164073139,0.0010317787722360701,0.0011657928744713717
LocalLipschitzEstimate,3.0210796033632117e-09,1.892725162115587e-46,0.041201385765771405,0.19157382135850473,6.19145215074287e-05,0.0,0.00341919561442195,4.199139501443205e-06,0.3676214655595614,0.28111084389088237,0.21578460099968033,0.9528086366381638,0.7710596532340099,5.622956827170833e-47,0.014984653714710968
MaxSensitivity,0.0,3.932719103420908e-07,1.224713454950055e-25,2.349503512437505e-21,1.0775844338920612e-12,0.00341919561442195,0.0,1.0160174313839466e-06,0.6926043485050241,1.8492839545882479e-09,1.4619025992225018e-05,9.373207693486684e-34,6.2982484966302205e-22,3.238107981196599e-07,1.0455432056168244e-31
Monotonicity,2.7401431381698142e-06,0.8792036574229861,1.2260072545086675e-107,0.0004500599972541317,0.9526498698732498,4.199139501443205e-06,1.0160174313839466e-06,0.0,2.4698729384174657e-05,0.05047941965910229,5.492403986524892e-186,1.5141794894991322e-06,0.0004920642219783386,0.6418672935181231,9.668030449440814e-29
MonotonicityCorrelation,0.8897856406616497,0.08424326420985918,5.147970121666244e-05,0.09350798486365414,0.960912077459012,0.3676214655595614,0.6926043485050241,2.4698729384174657e-05,0.0,0.39206808535454607,7.1389081404401715e-06,0.006644634296746043,0.0003808876518840032,0.09306707489693092,0.3557134722786366
MonotonicityMetric,4.0145975195170244e-09,0.7388184908875294,1.9426362110247112e-25,1.3308494640868904e-16,0.0007030487724146677,0.28111084389088237,1.8492839545882479e-09,0.05047941965910229,0.3920680853545461,0.0,0.44792066650617357,1.652750771430657e-05,9.275798620018959e-06,0.8258529713102517,3.5174857896500324e-15
NonSensitivity,2.8251835145546536e-08,3.780045018652893e-09,1.8179257094332686e-89,0.05579390066721347,0.17882735209446,0.21578460099968028,1.4619025992225018e-05,5.492403986524892e-186,7.1389081404402156e-06,0.44792066650617357,0.0,1.7406757901171532e-05,0.12660943944886674,1.637793515096578e-08,3.617293240868763e-39
RelativeInputStability,4.706750370096319e-38,0.00017739394614605845,1.726399113716633e-12,0.04010751392857383,0.0425091018436015,0.9528086366381638,9.373207693486684e-34,1.5141794894991367e-06,0.006644634296746043,1.652750771430657e-05,1.7406757901171532e-05,0.0,8.705702206963196e-33,0.0005907079162200177,1.1025663040225481e-13
RelativeOutputStability,8.560069011926132e-20,3.1976995567977253e-07,4.405201081703411e-19,5.613213846539683e-06,0.03248085164073139,0.7710596532340099,6.2982484966302205e-22,0.0004920642219783386,0.0003808876518840032,9.275798620018959e-06,0.12660943944886674,8.705702206963196e-33,0.0,2.4531661608158318e-06,1.6453272345173273e-28
Sparseness,8.645920193946516e-19,0.0,0.10977261489697171,4.5464344002342085e-06,0.0010317787722360701,5.622956827170833e-47,3.238107981196631e-07,0.6418672935181231,0.093067074896931,0.8258529713102518,1.6377935150965725e-08,0.0005907079162200177,2.4531661608158318e-06,0.0,3.189959550114431e-07
Sufficiency,7.803869226393347e-43,1.8189011744766026e-08,1.821726550052189e-120,1.4722692072103602e-15,0.0011657928744713717,0.014984653714710968,1.0455432056168244e-31,9.668030449440814e-29,0.3557134722786366,3.5174857896500324e-15,3.617293240868763e-39,1.1025663040225481e-13,1.6453272345173273e-28,3.189959550114411e-07,0.0
