metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
Complexity,Sparseness,-0.9941881809431012,0.0,1260,0.9941881809431012,True
AvgSensitivity,MaxSensitivity,0.9290572445440898,0.0,1260,0.9290572445440898,True
Monotonicity,NonSensitivity,0.699771291052828,5.4924039865248894e-186,1260,0.699771291052828,True
Consistency,Sufficiency,0.5928929692511798,1.821726550052188e-120,1260,0.5928929692511798,True
Consistency,Monotonicity,-0.5660329793506663,1.2260072545086671e-107,1260,0.5660329793506663,True
Consistency,NonSensitivity,-0.52320118827023,1.817925709433268e-89,1260,0.52320118827023,True
AvgSensitivity,RelativeInputStability,0.5200237619819975,4.706750370096319e-38,530,0.5200237619819975,True
RelativeInputStability,RelativeOutputStability,0.492678581724986,8.705702206963196e-33,514,0.492678581724986,True
MaxSensitivity,RelativeInputStability,0.49264734715969555,9.373207693486683e-34,530,0.49264734715969555,True
RelativeOutputStability,Sufficiency,0.4547444770251281,1.6453272345173264e-28,532,0.4547444770251281,True
MaxSensitivity,RelativeOutputStability,0.40061509387677224,6.298248496630217e-22,532,0.40061509387677224,True
LocalLipschitzEstimate,Sparseness,-0.38975369243527896,5.622956827170832e-47,1260,0.38975369243527896,True
Complexity,LocalLipschitzEstimate,0.387655855503838,1.8927251621155867e-46,1260,0.387655855503838,True
AvgSensitivity,RelativeOutputStability,0.3807188655647131,8.560069011926128e-20,532,0.3807188655647131,True
Consistency,RelativeOutputStability,0.37376831929788884,4.405201081703509e-19,532,0.37376831929788884,True
AvgSensitivity,Sufficiency,0.3728399465802967,7.803869226393347e-43,1260,0.3728399465802967,True
NonSensitivity,Sufficiency,-0.3569824635049653,3.6172932408687624e-39,1260,0.3569824635049653,True
MaxSensitivity,Sufficiency,0.3215945711392663,1.0455432056168242e-31,1260,0.3215945711392663,True
RelativeInputStability,Sufficiency,0.3151381693078088,1.1025663040225481e-13,530,0.3151381693078088,True
Monotonicity,Sufficiency,-0.3061132099795824,9.668030449440813e-29,1260,0.3061132099795824,True
Consistency,RelativeInputStability,0.3000669914181052,1.7263991137166327e-12,530,0.3000669914181052,True
AvgSensitivity,Consistency,0.2904285349169056,6.509427119867742e-26,1260,0.2904285349169056,True
Consistency,MaxSensitivity,0.28885286452875314,1.2247134549500873e-25,1260,0.28885286452875314,True
Consistency,MonotonicityMetric,-0.2876964045697452,1.9426362110247107e-25,1260,0.2876964045697452,True
AvgSensitivity,Faithfulness,-0.26908696457907727,2.428969245067398e-22,1260,0.26908696457907727,True
Faithfulness,MaxSensitivity,-0.2628481245411769,2.3495035124375047e-21,1260,0.2628481245411769,True
AvgSensitivity,Complexity,0.24622866750391278,7.416253378246452e-19,1260,0.24622866750391278,True
AvgSensitivity,Sparseness,-0.2457684697304793,8.645920193946515e-19,1260,0.2457684697304793,True
Faithfulness,MonotonicityMetric,0.23009789981770692,1.3308494640868902e-16,1260,0.23009789981770692,True
AvgSensitivity,FaithfulnessEstimate,-0.22535218909835691,5.697191655861611e-16,1260,0.22535218909835691,True
Faithfulness,Sufficiency,-0.22219466653959624,1.4722692072103598e-15,1260,0.22219466653959624,True
Complexity,RelativeOutputStability,-0.21941751379753163,3.197699556797724e-07,532,0.21941751379753163,True
MonotonicityMetric,Sufficiency,-0.21925514405018126,3.517485789650032e-15,1260,0.21925514405018126,True
Monotonicity,RelativeInputStability,-0.2071244805671276,1.514179489499132e-06,530,0.2071244805671276,True
RelativeOutputStability,Sparseness,0.20264377673920547,2.453166160815831e-06,532,0.20264377673920547,True
FaithfulnessEstimate,MaxSensitivity,-0.19878164658105257,1.0775844338920608e-12,1260,0.19878164658105257,True
Faithfulness,RelativeOutputStability,-0.19541253043570225,5.613213846539679e-06,532,0.19541253043570225,True
MonotonicityMetric,RelativeOutputStability,-0.19089104522401612,9.275798620018954e-06,532,0.19089104522401612,True
MonotonicityMetric,RelativeInputStability,-0.1859018211718574,1.6527507714306567e-05,530,0.1859018211718574,True
NonSensitivity,RelativeInputStability,-0.18541484770103675,1.740675790117153e-05,530,0.18541484770103675,True
MaxSensitivity,MonotonicityMetric,-0.16828529423053087,1.8492839545882475e-09,1260,0.16828529423053087,True
AvgSensitivity,LocalLipschitzEstimate,0.1660748205608715,3.0210796033632113e-09,1260,0.1660748205608715,True
Complexity,NonSensitivity,-0.16505554153323043,3.780045018652892e-09,1260,0.16505554153323043,True
AvgSensitivity,MonotonicityMetric,-0.16478067409775715,4.0145975195169616e-09,1260,0.16478067409775715,True
Complexity,RelativeInputStability,-0.1621589630651506,0.00017739394614605842,530,0.1621589630651506,True
NonSensitivity,Sparseness,0.15822517526814706,1.637793515096578e-08,1260,0.15822517526814706,True
Complexity,Sufficiency,0.15772525334366605,1.8189011744766023e-08,1260,0.15772525334366605,True
AvgSensitivity,NonSensitivity,-0.15560894329822209,2.8251835145546532e-08,1260,0.15560894329822209,True
Consistency,Faithfulness,-0.1547746045483638,3.3553314457813106e-08,1260,0.1547746045483638,True
MonotonicityCorrelation,RelativeOutputStability,0.15348870852394614,0.000380887651884003,532,0.15348870852394614,True
Monotonicity,RelativeOutputStability,0.15058738260655516,0.0004920642219783383,532,0.15058738260655516,True
RelativeInputStability,Sparseness,0.14876358903458686,0.0005907079162200176,530,0.14876358903458686,True
Sparseness,Sufficiency,-0.14340781707961248,3.189959550114431e-07,1260,0.14340781707961248,True
MaxSensitivity,Sparseness,-0.14332924261480512,3.238107981196599e-07,1260,0.14332924261480512,True
Complexity,MaxSensitivity,0.14230609232094096,3.932719103420946e-07,1260,0.14230609232094096,True
MaxSensitivity,Monotonicity,-0.13720260063326414,1.0160174313839464e-06,1260,0.13720260063326414,True
AvgSensitivity,Monotonicity,-0.13166391068707195,2.740143138169814e-06,1260,0.13166391068707195,True
Complexity,Faithfulness,-0.13075196039743622,3.2142470856146292e-06,1260,0.13075196039743622,True
LocalLipschitzEstimate,Monotonicity,0.12921072771936104,4.199139501443204e-06,1260,0.12921072771936104,True
