component,explained_variance_ratio,cumulative_variance
PC1,0.20583033347686636,0.20583033347686636
PC2,0.14241757127023955,0.3482479047471059
PC3,0.11638389868274591,0.4646318034298518
PC4,0.10150913260246267,0.5661409360323144
PC5,0.07179728829044807,0.6379382243227625
PC6,0.064918367255044,0.7028565915778064
PC7,0.06422530281185705,0.7670818943896635
PC8,0.058540744970256756,0.8256226393599202
PC9,0.05342514656157686,0.879047785921497
PC10,0.04709380582589891,0.926141591747396
PC11,0.04244960794666417,0.9685911996940602
PC12,0.015410176198105675,0.9840013758921659
PC13,0.012916711143875477,0.9969180870360413
PC14,0.0018294772862349387,0.9987475643222763
PC15,0.0012524356777237216,1.0
