,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,0.3366745330937959,0.1466417308869972,0.545101027205418,-0.16559415865540283,-0.0365829345103104,0.09036950794691,0.005511941141097887,-0.12959549265654405,0.09232518748537312,-0.04149690046828754,-0.045639019427180884,-0.05516855327752933,-0.0017286285873152093,3.110818848430234e-05,0.7063173242453792
Complexity,0.29840001187942455,-0.48522671058944555,0.0741862809556254,0.26526436567689815,-0.07782647655073256,-0.1034602302257605,0.2109725421684482,0.008418241350726606,-0.13294017697005336,0.012079738087245792,0.16020379021609799,0.0794162937878855,0.005246913364269013,0.6988793047471109,0.0071692877216539275
Consistency,0.40080788198753836,0.2536052634085709,-0.26907640933717303,0.11522255723792013,0.09802867619949675,0.009497127128670612,0.017541822814196535,0.02911288342494644,0.27015586678729087,0.21957024283912396,0.07397183435224929,0.38780691863198163,-0.6333767463712863,-0.012341167519746381,0.011146230927909551
Faithfulness,-0.27920909462525534,-0.21227798469177842,0.14168209955569633,-0.24248312767207994,0.05392383651879427,0.17561452844792283,-0.07832851079139297,-0.012174266040777496,0.3551662860131093,0.005537967802598661,0.7889018819651497,0.03622174715085754,-0.08982515422842975,-0.012166915331631917,-0.002845478322528136
FaithfulnessEstimate,-0.17276784234578016,-0.043530128784032764,0.004338452730034361,-0.23805068599582754,0.08618012668701973,-0.20572099826448623,0.760174824109689,0.11878437456558745,0.39232710234281154,-0.25458668213705365,-0.21324359731794298,0.012414706276058007,-0.07353653104152616,0.008728082028304876,-0.0003515016363141798
LocalLipschitzEstimate,0.10588049565154584,-0.2974075749932817,0.008986408803774775,0.2064764413617335,0.3057072940295736,0.27923455800480823,-0.36760824449406676,0.17274386725777685,0.5773380153409746,-0.2207311645507195,-0.3379751592184247,-0.031037871546154484,0.14046975587707947,0.04729459092068975,-0.04493446524961417
MaxSensitivity,0.328812224521627,0.16914891804846563,0.5453660792967281,-0.16440260858519382,-0.06292545150984044,0.07817779309795846,0.03265001977792607,-0.15078184767640138,0.05941921284651953,-0.02573437787150207,-0.02850860636607342,-0.03131863987751994,-0.019034800588459085,0.007308790055214173,-0.7060764663005824
Monotonicity,-0.2101190749467913,0.18935759886680048,0.2000088841332315,0.5856619103779322,-0.003311456333872209,-0.17264066031613304,0.0713960379312872,-0.04174250069389718,0.208881922438598,0.20055291343732823,0.07102634122334014,-0.5957526274335648,-0.23687372952854113,0.02015246989381753,-0.0005518389719570483
MonotonicityCorrelation,-0.017675103183410024,0.16056787247383286,0.05321613888811264,0.16846928047906887,-0.5184874084744661,0.47335440384088096,0.1276516817971782,0.6266287104703021,-0.059394829242365464,-0.17818329365604446,0.053125013705676995,0.02183935348425608,-0.047016496856646335,-0.006860700683240357,0.0023957480506065975
MonotonicityMetric,-0.2383063310689821,-0.25377541864394954,0.24142910190667463,-0.1365296108958481,-0.07846422346867203,0.07662045218643472,0.03220895608233321,0.195757278111905,0.06997451380171213,0.7943100428409096,-0.28891851647067157,0.17619643916575758,-0.001302496738122197,-0.011954240664904607,0.0023569642669634804
NonSensitivity,-0.2833302140382386,0.2482556250155272,0.26718008073445604,0.46995449824765945,0.05652157211480623,-0.08095470949700556,0.06170051056551757,-0.1495179967207075,0.0647700500856306,-0.08805929657134429,0.05628367773408441,0.6524032452221772,0.2980746339036279,-0.011496604490643051,0.014548742117070954
RelativeInputStability,-0.01399832034706485,0.06332714726126154,0.033657277639576426,0.09160888926601182,0.6613678365158249,0.5539760975216982,0.32480653088696476,0.006717023501102644,-0.3459597937687747,0.0859934807190409,0.054430032330269565,-0.07733935672718754,-0.019900344300773476,-0.0016932422944499778,-0.0011970297005261584
RelativeOutputStability,0.07104066704948646,0.10101988096277843,0.2270610562378431,-0.07429919647334474,0.3955978025725955,-0.49093791473522663,-0.178285788563675,0.6718506965730011,-0.16126950811800353,-0.04230931058316823,0.13563287825037218,0.02584351016940036,0.0033230734578796293,-0.0028874724700118605,-0.01013893482029214
Sparseness,-0.2825391579395686,0.5043066501143033,-0.09080840429782172,-0.28034866659462365,0.056032632649773435,0.09556963084264487,-0.1827529953568086,-0.0037540724507996687,0.10514207317498019,0.03171062544434424,-0.10999036523190676,-0.044295749424708576,0.017638351208992556,0.7119525804298883,0.0033051025969842297
Sufficiency,0.37845299777967206,0.24187698065079632,-0.27187713484279885,0.02056568771741526,-0.0027526666245432873,-0.021381883040322177,0.19501037717854247,0.09448778481150946,0.26627696115176275,0.3388912528679315,0.23650682206710777,-0.12712286875019124,0.6460224815548248,-0.03584764478782076,-0.00552066066272256
