,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
Complexity,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
Consistency,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
Faithfulness,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
FaithfulnessEstimate,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
LocalLipschitzEstimate,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
MaxSensitivity,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
Monotonicity,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
MonotonicityCorrelation,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
MonotonicityMetric,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
NonSensitivity,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
RelativeInputStability,441,441,441,441,441,441,441,441,441,441,441,441,438,441,441
RelativeOutputStability,440,440,440,440,440,440,440,440,440,440,440,438,440,440,440
Sparseness,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
Sufficiency,756,756,756,756,756,756,756,756,756,756,756,441,440,756,756
