,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,0.3447745467373036,0.012692505459017137,0.8101363317187781,0.5192984303125053,3.2194919145644658e-74,1.8908817087554627e-269,0.0003383728675663907,2.5133777036813495e-10,2.2507465953560174e-13,1.433764062529944e-19,3.751128464461013e-13,1.865089406686662e-26,0.12895100934061057,0.00939445440295428
Complexity,0.3447745467373038,0.0,7.922714656779133e-58,0.00016343861107987148,5.776707309902223e-14,0.02013111671514483,0.14478239641071855,0.46314231704906533,1.1272615936880103e-29,2.4123871966151675e-09,3.0999451746820547e-46,6.0773230859211345e-09,0.0005670742115274468,0.0,2.8860864486445415e-50
Consistency,0.012692505459017159,7.922714656779772e-58,0.0,2.182368521354791e-09,0.00020594384535225515,0.004121982418501114,6.531714012810818e-07,4.872785422209752e-22,1.0439823122278949e-30,1.3627796478910014e-12,1.4501988336522737e-11,1.635127771028549e-06,2.1330235125165478e-08,1.2994952827252909e-61,0.006606121014925906
Faithfulness,0.8101363317187781,0.00016343861107987148,2.1823685213548083e-09,0.0,6.506435369040804e-05,0.4485318311617661,0.8543010484416488,0.00014583830144423838,0.023355687926735116,0.1500919874249296,0.034570114676801295,0.12988989092333125,0.00022005856986423363,8.53245713302095e-05,0.008992945132322766
FaithfulnessEstimate,0.5192984303125053,5.776707309902279e-14,0.00020594384535225515,6.506435369040804e-05,0.0,0.5543998517650853,0.7796847021690172,0.7505831518605404,0.0007543445864329334,0.003020419282902282,2.291780490225716e-09,4.1313984708706843e-05,0.7000021379570832,1.3598665201840288e-13,8.061593364004046e-14
LocalLipschitzEstimate,3.2194919145644658e-74,0.02013111671514483,0.004121982418501114,0.4485318311617661,0.5543998517650853,0.0,2.6384070061498995e-34,3.751503203387688e-05,1.2883949961805802e-11,1.0113333346684768e-08,1.8002413512635204e-37,1.1326546040224282e-18,1.3425691416085346e-26,0.04215221578129092,2.3461871628961154e-05
MaxSensitivity,1.8908817087547546e-269,0.14478239641071863,6.531714012810776e-07,0.8543010484416488,0.7796847021690172,2.6384070061498995e-34,0.0,2.2996779996215393e-07,0.012830592855803683,5.394352664603333e-12,2.02132291194918e-20,0.024717923914546813,4.340257483682002e-10,0.2874800786963951,0.06907695652036523
Monotonicity,0.0003383728675663907,0.4631423170490652,4.872785422209752e-22,0.00014583830144423838,0.7505831518605404,3.751503203387688e-05,2.2996779996215393e-07,0.0,4.850222595087855e-06,6.673503460203246e-07,6.389515229922672e-16,2.1363040616269058e-05,2.9459118902590896e-14,0.31952948701449974,0.0035510379666570035
MonotonicityCorrelation,2.5133777036813495e-10,1.1272615936880265e-29,1.0439823122278949e-30,0.0233556879267351,0.0007543445864329352,1.2883949961805802e-11,0.012830592855803707,4.850222595087855e-06,0.0,2.470083140527695e-10,0.01919357516783618,1.9901123221773274e-06,0.04636052826977971,2.0418540616795125e-31,0.004342796339632709
MonotonicityMetric,2.2507465953560174e-13,2.4123871966151675e-09,1.3627796478910014e-12,0.1500919874249297,0.003020419282902282,1.0113333346684768e-08,5.394352664603285e-12,6.673503460203246e-07,2.470083140527695e-10,0.0,0.33266133301826506,0.7199628876709738,0.5680750345159045,2.8556956530755284e-10,0.23505568560733284
NonSensitivity,1.433764062529944e-19,3.0999451746820547e-46,1.4501988336522737e-11,0.034570114676801295,2.291780490225733e-09,1.8002413512635204e-37,2.02132291194918e-20,6.389515229922672e-16,0.019193575167836145,0.33266133301826506,0.0,0.1307651360082986,0.2452407992108519,3.895644005480503e-46,1.94125468049682e-53
RelativeInputStability,3.751128464461013e-13,6.077323085921088e-09,1.635127771028549e-06,0.12988989092333125,4.1313984708706843e-05,1.1326546040224282e-18,0.024717923914546813,2.1363040616269058e-05,1.990112322177315e-06,0.7199628876709738,0.13076513600829873,0.0,3.72724019169596e-33,1.4857833109020567e-10,0.003210457469853819
RelativeOutputStability,1.865089406686662e-26,0.0005670742115274455,2.1330235125165478e-08,0.00022005856986423363,0.7000021379570832,1.3425691416085346e-26,4.340257483682002e-10,2.945911890259089e-14,0.046360528269779724,0.5680750345159045,0.2452407992108519,3.72724019169596e-33,0.0,0.0042461648202068375,0.27154101142141934
Sparseness,0.12895100934061057,0.0,1.2994952827252909e-61,8.53245713302095e-05,1.3598665201840288e-13,0.04215221578129092,0.2874800786963951,0.31952948701449974,2.0418540616795125e-31,2.8556956530755284e-10,3.895644005480503e-46,1.4857833109020567e-10,0.0042461648202068375,0.0,2.5360085270394457e-44
Sufficiency,0.00939445440295428,2.8860864486445415e-50,0.006606121014925906,0.008992945132322766,8.061593364004046e-14,2.3461871628961154e-05,0.06907695652036523,0.0035510379666570035,0.004342796339632709,0.23505568560733284,1.94125468049682e-53,0.003210457469853819,0.27154101142141923,2.5360085270394457e-44,0.0
