metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
Complexity,Sparseness,-0.9944989898616532,0.0,756,0.9944989898616532,True
AvgSensitivity,MaxSensitivity,0.8969364934734829,1.8908817087554627e-269,756,0.8969364934734829,True
AvgSensitivity,LocalLipschitzEstimate,0.5970797105705729,3.2194919145644658e-74,756,0.5970797105705729,True
Consistency,Sparseness,0.5523989006795774,1.2994952827252909e-61,756,0.5523989006795774,True
Complexity,Consistency,-0.5375357665681303,7.922714656779133e-58,756,0.5375357665681303,True
RelativeInputStability,RelativeOutputStability,0.5304545190669968,3.72724019169596e-33,438,0.5304545190669968,True
NonSensitivity,Sufficiency,-0.5193180817630525,1.94125468049682e-53,756,0.5193180817630525,True
Complexity,Sufficiency,0.5054272394259716,2.8860864486445415e-50,756,0.5054272394259716,True
Complexity,NonSensitivity,-0.48679930310580766,3.0999451746820547e-46,756,0.48679930310580766,True
NonSensitivity,Sparseness,0.486325971346285,3.895644005480503e-46,756,0.486325971346285,True
LocalLipschitzEstimate,RelativeOutputStability,0.4788314083139986,1.3425691416085346e-26,440,0.4788314083139986,True
AvgSensitivity,RelativeOutputStability,0.47763004974199247,1.865089406686662e-26,440,0.47763004974199247,True
Sparseness,Sufficiency,-0.47754157770845124,2.5360085270394457e-44,756,0.47754157770845124,True
LocalLipschitzEstimate,NonSensitivity,0.4418397055047477,1.8002413512635204e-37,756,0.4418397055047477,True
LocalLipschitzEstimate,MaxSensitivity,0.4237906413804779,2.6384070061498995e-34,756,0.4237906413804779,True
MonotonicityCorrelation,Sparseness,0.4063096942463186,2.0418540616795125e-31,756,0.4063096942463186,True
LocalLipschitzEstimate,RelativeInputStability,0.40323318138444186,1.1326546040224282e-18,441,0.40323318138444186,True
Consistency,MonotonicityCorrelation,0.4018583099375586,1.0439823122278949e-30,756,0.4018583099375586,True
Complexity,MonotonicityCorrelation,-0.395244082041311,1.1272615936880103e-29,756,0.395244082041311,True
Monotonicity,RelativeOutputStability,-0.3517073241759446,2.9459118902590896e-14,440,0.3517073241759446,True
Consistency,Monotonicity,-0.34099034300607256,4.872785422209752e-22,756,0.34099034300607256,True
AvgSensitivity,RelativeInputStability,0.33671986277028293,3.751128464461013e-13,441,0.33671986277028293,True
MaxSensitivity,NonSensitivity,0.3280069844321768,2.02132291194918e-20,756,0.3280069844321768,True
AvgSensitivity,NonSensitivity,0.32092008014452117,1.433764062529944e-19,756,0.32092008014452117,True
RelativeInputStability,Sparseness,-0.29893180102536265,1.4857833109020567e-10,441,0.29893180102536265,True
MaxSensitivity,RelativeOutputStability,0.2918682900785081,4.340257483682002e-10,440,0.2918682900785081,True
Monotonicity,NonSensitivity,0.288147155154807,6.389515229922672e-16,756,0.288147155154807,True
Complexity,RelativeInputStability,0.2724061979539193,6.0773230859211345e-09,441,0.2724061979539193,True
Complexity,FaithfulnessEstimate,0.2686524947729341,5.776707309902223e-14,756,0.2686524947729341,True
FaithfulnessEstimate,Sufficiency,0.26714595173275707,8.061593364004046e-14,756,0.26714595173275707,True
FaithfulnessEstimate,Sparseness,-0.2647630721790011,1.3598665201840288e-13,756,0.2647630721790011,True
Consistency,RelativeOutputStability,0.26304193780118723,2.1330235125165478e-08,440,0.26304193780118723,True
AvgSensitivity,MonotonicityMetric,0.2624438461697781,2.2507465953560174e-13,756,0.2624438461697781,True
Consistency,MonotonicityMetric,-0.25396240211092835,1.3627796478910014e-12,756,0.25396240211092835,True
MaxSensitivity,MonotonicityMetric,0.24726628798254666,5.394352664603333e-12,756,0.24726628798254666,True
LocalLipschitzEstimate,MonotonicityCorrelation,-0.2429246565598777,1.2883949961805802e-11,756,0.2429246565598777,True
Consistency,NonSensitivity,0.2423281783336621,1.4501988336522737e-11,756,0.2423281783336621,True
MonotonicityCorrelation,MonotonicityMetric,-0.22752859933632383,2.470083140527695e-10,756,0.22752859933632383,True
AvgSensitivity,MonotonicityCorrelation,-0.22743471490740857,2.5133777036813495e-10,756,0.22743471490740857,True
MonotonicityMetric,Sparseness,-0.22674352491785552,2.8556956530755284e-10,756,0.22674352491785552,True
Consistency,RelativeInputStability,-0.22596633270723632,1.635127771028549e-06,441,0.22596633270723632,True
MonotonicityCorrelation,RelativeInputStability,-0.22415023549489202,1.9901123221773274e-06,441,0.22415023549489202,True
Consistency,Faithfulness,-0.21541845594697423,2.182368521354791e-09,756,0.21541845594697423,True
FaithfulnessEstimate,NonSensitivity,-0.21513831209568546,2.291780490225716e-09,756,0.21513831209568546,True
Complexity,MonotonicityMetric,0.21484418806909777,2.4123871966151675e-09,756,0.21484418806909777,True
LocalLipschitzEstimate,MonotonicityMetric,0.2064481141912519,1.0113333346684768e-08,756,0.2064481141912519,True
Monotonicity,RelativeInputStability,-0.20089119131865293,2.1363040616269058e-05,441,0.20089119131865293,True
FaithfulnessEstimate,RelativeInputStability,0.19393216408072636,4.1313984708706843e-05,441,0.19393216408072636,True
MaxSensitivity,Monotonicity,0.18680241009738335,2.2996779996215393e-07,756,0.18680241009738335,True
Consistency,MaxSensitivity,0.17975322783282444,6.531714012810818e-07,756,0.17975322783282444,True
Monotonicity,MonotonicityMetric,0.17960530202677488,6.673503460203246e-07,756,0.17960530202677488,True
Faithfulness,RelativeOutputStability,-0.1752759146803113,0.00022005856986423363,440,0.1752759146803113,True
Monotonicity,MonotonicityCorrelation,-0.16537919667267986,4.850222595087855e-06,756,0.16537919667267986,True
Complexity,RelativeOutputStability,-0.1636802134885651,0.0005670742115274468,440,0.1636802134885651,True
LocalLipschitzEstimate,Sufficiency,-0.15315630099207247,2.3461871628961154e-05,756,0.15315630099207247,True
LocalLipschitzEstimate,Monotonicity,0.14933133533041476,3.751503203387688e-05,756,0.14933133533041476,True
Faithfulness,FaithfulnessEstimate,0.14472174145440375,6.506435369040804e-05,756,0.14472174145440375,True
Faithfulness,Sparseness,-0.14240063269457726,8.53245713302095e-05,756,0.14240063269457726,True
RelativeInputStability,Sufficiency,0.14003084370965235,0.003210457469853819,441,0.14003084370965235,True
Faithfulness,Monotonicity,0.1377030780701103,0.00014583830144423838,756,0.1377030780701103,True
Complexity,Faithfulness,0.1366851654607713,0.00016343861107987148,756,0.1366851654607713,True
RelativeOutputStability,Sparseness,0.13606297905958806,0.0042461648202068375,440,0.13606297905958806,True
Consistency,FaithfulnessEstimate,-0.13459800623922336,0.00020594384535225515,756,0.13459800623922336,True
AvgSensitivity,Monotonicity,0.13001031307246086,0.0003383728675663907,756,0.13001031307246086,True
FaithfulnessEstimate,MonotonicityCorrelation,-0.122272557174532,0.0007543445864329334,756,0.122272557174532,True
FaithfulnessEstimate,MonotonicityMetric,0.10772396186138802,0.003020419282902282,756,0.10772396186138802,True
MaxSensitivity,RelativeInputStability,0.10693871954376157,0.024717923914546813,441,0.10693871954376157,True
Monotonicity,Sufficiency,-0.10591307416605239,0.0035510379666570035,756,0.10591307416605239,True
Consistency,LocalLipschitzEstimate,-0.1042208185398596,0.004121982418501114,756,0.1042208185398596,True
MonotonicityCorrelation,Sufficiency,0.10362289724491788,0.004342796339632709,756,0.10362289724491788,True
Consistency,Sufficiency,-0.09870465777281355,0.006606121014925906,756,0.09870465777281355,True
MonotonicityCorrelation,RelativeOutputStability,0.09502476490703107,0.04636052826977971,440,0.09502476490703107,True
Faithfulness,Sufficiency,0.09495162088075078,0.008992945132322766,756,0.09495162088075078,True
