metric,factor,H,p_value,significant_0.05
Monotonicity,model_name,755.0,6.270423060694034e-161,True
Consistency,model_name,595.3083434099156,2.0871526587523343e-126,True
Sufficiency,xai_method,547.0348140882445,1.6326737725492515e-119,True
MonotonicityCorrelation,model_name,408.07386394110785,5.3951329434622765e-86,True
Sparseness,model_name,331.4175328544812,1.7494617162174982e-69,True
Complexity,model_name,320.0325053442802,4.92605312675745e-67,True
LocalLipschitzEstimate,xai_method,269.79610408672534,2.5972896091891983e-59,True
NonSensitivity,xai_method,265.54144185068816,2.179759322777511e-58,True
NonSensitivity,model_name,269.01963381129514,4.544201088604447e-56,True
MonotonicityMetric,model_name,113.02633311389167,9.390901490039397e-23,True
Complexity,xai_method,94.78749481051986,2.6131059882425205e-21,True
RelativeOutputStability,model_name,99.33984377131833,7.280801407037775e-20,True
RelativeOutputStability,xai_method,84.02761842463724,5.670671576587007e-19,True
Sparseness,xai_method,83.8198429018713,6.291473575134734e-19,True
MaxSensitivity,model_name,86.13625098934362,4.348952469907122e-17,True
LocalLipschitzEstimate,model_name,79.99092205011584,8.428602538704445e-16,True
RelativeInputStability,model_name,79.9193370536509,8.724312522265425e-16,True
FaithfulnessEstimate,xai_method,68.81354815058396,1.1411109662065087e-15,True
Sufficiency,model_name,59.48640149115764,1.5518508194390187e-11,True
Faithfulness,model_name,55.176772861197726,1.2004976122286492e-10,True
AvgSensitivity,xai_method,43.91512491292315,2.910394018252769e-10,True
MonotonicityCorrelation,xai_method,42.87432812823846,4.897313873974288e-10,True
RelativeInputStability,xai_method,41.80056784618614,8.377646324519649e-10,True
Faithfulness,xai_method,26.055247475864057,2.198745169269355e-06,True
AvgSensitivity,model_name,33.31063629522487,3.2649572233869026e-06,True
FaithfulnessEstimate,model_name,29.974074030813867,1.4922891814131876e-05,True
MaxSensitivity,xai_method,11.52464508821506,0.0031438014950740793,True
MonotonicityMetric,xai_method,0.2650866798339285,0.8758649733683839,False
Consistency,xai_method,0.0,1.0,False
Monotonicity,xai_method,0.0,1.0,False
