component,explained_variance_ratio,cumulative_variance
PC1,0.23436207959249086,0.23436207959249086
PC2,0.14551631980290194,0.3798783993953928
PC3,0.13314468471127217,0.513023084106665
PC4,0.07591249660889297,0.588935580715558
PC5,0.07083312757625959,0.6597687082918176
PC6,0.06811947634594856,0.7278881846377661
PC7,0.060303443416230236,0.7881916280539963
PC8,0.055661068534338026,0.8438526965883344
PC9,0.05097580203625455,0.8948284986245889
PC10,0.04399255003895838,0.9388210486635473
PC11,0.031260756039385496,0.9700818047029328
PC12,0.016745975041683334,0.9868277797446161
PC13,0.011402026557244373,0.9982298063018605
PC14,0.001736864906098595,0.9999666712079591
PC15,3.332879204095171e-05,1.0
