,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,-0.15636027392574497,-0.36139826199362174,0.5458878585805385,0.06290675660146719,-0.03663881055249704,0.06494456932226507,-0.13706024630200841,-0.014534729709961211,0.014569959192743604,0.045553492985246975,0.0756406937196849,-0.0518712955622385,-0.0849122356458455,0.038965600501883114,-0.7064042905576418
Complexity,0.5044146047539665,-0.017254768644611784,-0.01656622480342107,0.033602177271216026,-0.053393907412503015,0.07749750942441946,-0.09928725354967885,-0.06440528158779289,0.05864424405582493,0.07858924267207715,0.09855575523390209,-0.48052639809822034,-0.0014520660512356703,0.6860770410358499,0.007985843898086098
Consistency,-0.34138234868707157,-0.2968946539922572,-0.28906256348063747,0.09422427443483782,0.020123012413737748,-0.011668086729889796,0.03445078529650456,0.06513069492371257,0.024316831309754594,-0.10739189283514403,0.543356246757877,-0.19055256970260787,0.5925625196983272,0.04588016321003187,-0.0006198882720352681
Faithfulness,0.09056621686091085,0.23300347725639386,0.27961097368498894,-0.1534756675479691,0.452185699649073,-0.14283362759112497,0.050660646881594565,0.01206829218596234,0.5748494490255109,-0.5031852357779715,0.13232577621539604,0.024649700768111422,0.07751993815028393,0.02025418922435981,5.9313310841157426e-05
FaithfulnessEstimate,0.13511330539197222,-0.14774835001831704,0.13019723174142958,0.35902727657136113,-0.044148428390348916,-0.2070376191756032,0.7731930862316477,-0.17026430180586097,-0.2391154959837479,-0.27882201252876637,-0.02239319558932722,-0.05843648833965754,-0.05855260127745072,0.01288952152781791,0.0017362023362776922
LocalLipschitzEstimate,-0.07786965701041589,0.19348056369994748,-0.003148138404040088,0.7106155638742082,-0.016226227384546855,0.2388950581892654,-0.10990201485647488,-0.33821327064625567,0.38056698945688133,0.15587583454205392,-0.22092851929120702,-0.046185512234418614,0.19441192171218252,-0.09923876750660583,-0.0010194525748551304
MaxSensitivity,-0.15735942108149106,-0.3612142463376591,0.5455854720856929,0.06163798705492044,-0.03635598131591886,0.06494607702792345,-0.13807175284427897,-0.013918287403033913,0.014914206283239206,0.04644365222496996,0.07506364606787938,-0.0487068480261225,-0.08113697430260228,0.025408469218952408,0.7077337781894055
Monotonicity,-0.06253831883972086,0.3384224235412342,0.33653527840504605,-0.3274680812668535,0.03401593159174729,-0.10828910215145197,0.29688402376034245,-0.28296925822469077,-0.049108674694933414,0.543425194581226,0.054084936163599016,0.03316557662539784,0.41661506262244763,0.06823504428663665,-0.0008213701230623337
MonotonicityCorrelation,-0.3066348650095778,-0.25650190355930175,-0.1827532163917734,-0.19667643227140355,0.13618098247799518,-0.07680714974284511,0.2949293738842888,0.14863873007092898,0.38557129897980025,0.2471160490948773,-0.3963220589814503,-0.48862700848125173,-0.16380158230231995,-0.046795966632651516,0.0003911439677114755
MonotonicityMetric,0.028837004965607923,0.09853955156160019,0.07229626545453677,0.04714013400463437,0.40005753271636213,0.7541388820089829,0.26516354145922066,0.37850330459067383,-0.172254758408555,0.07815705696091184,0.06203933711049543,0.004304314087516797,0.0036969295770741912,0.00044977216971607033,1.202201453340057e-05
NonSensitivity,-0.3423617333948046,0.39437538752668233,-0.03161139586773654,0.10405262066191373,-0.003050787900192159,-0.03872059790915495,0.035437934467188986,-0.13731980390937204,-0.018622349794283302,0.10016083114291574,0.5407081844455608,-0.246456086043241,-0.5746599869134489,-0.009269280110604535,0.002038150165928512
RelativeInputStability,0.08928074171962543,0.21436842141764717,0.1711636794905592,0.31851891017590467,-0.20254687147140057,-0.354194838139943,0.034656631446230185,0.7569161264597876,0.11909813320311803,0.2206991272611586,0.06899655104222213,0.01225780887450715,0.0827888675163078,-0.00800761245727043,-0.00037168838600375604
RelativeOutputStability,0.03543042956040394,-0.07724837004416153,-0.0382259491813382,0.23708374606693416,0.739473684309848,-0.38615575803941443,-0.24414626798306532,-0.0366027324605277,-0.3598404297919667,0.19125576577587822,-0.07119820676122353,-0.08250000798151443,0.0003506248892883315,-0.01682901356508395,-0.00010604524517765976
Sparseness,-0.5012936925591825,0.0724609376450068,-0.056161713795020135,0.07898736424143722,0.051048694239023605,-0.045961996125145614,0.04972935582220409,0.06223371910552718,-0.020532194328313685,-0.08618484257847873,-0.21801032651824045,0.4005298706586323,-0.045911787812369556,0.7106714352604723,0.005703210178246774
Sufficiency,0.266065976677811,-0.36630561957247243,-0.19640437376877404,0.044025299374171864,0.1310934764246402,-0.02349400244611371,0.16929518850400108,-0.07252455433951595,0.3713341227017664,0.39697796599318885,0.32141083338180826,0.5035568063901332,-0.2196170844030677,0.04765982662087006,6.693130141923053e-05
