,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,1746698157.4262702,35451194894.93284,3.268403156785186,743656001187.0403,743656001183.7719,316,41.7989417989418,440
MaxSensitivity,923.6957355565396,8432.331354313696,0.0619647877722219,125284.2782195404,125284.21625475262,0,0.0,755
AvgSensitivity,652.659773531515,6016.957420896974,0.0327538347060871,90978.39479263408,90978.36203879937,0,0.0,756
RelativeInputStability,763.5218167102897,3752.6508463604464,1.346755203581286e-06,34613.72709023079,34613.72708888403,315,41.66666666666667,441
LocalLipschitzEstimate,6.383029003697863,4.441848413189676,0.5458513233638083,31.374282895856595,30.828431572492786,0,0.0,756
NonSensitivity,3.5105820105820107,1.9397942622918347,0.0,8.0,8.0,0,0.0,9
Complexity,1.3586933030380248,0.6092752254976657,-1.000088900581841e-12,2.2013830815755204,2.2013830815765205,0,0.0,652
FaithfulnessEstimate,-0.07590586233575758,0.5640328448657514,-0.9999985998895956,0.9999970281204388,1.9999956280100344,0,0.0,704
Faithfulness,-0.09528312355211321,0.451211460470101,-0.9999954780707486,0.9937259275849762,1.9937214056557249,0,0.0,693
MonotonicityCorrelation,0.13472377981487746,0.4145441841283045,-0.8997002046464956,0.9393939393939392,1.839094144040435,0,0.0,412
Monotonicity,0.8333333333333334,0.3729247212000288,0.0,1.0,1.0,0,0.0,2
MonotonicityMetric,0.1388888888888889,0.34605949545264036,0.0,1.0,1.0,0,0.0,2
Sufficiency,0.1858979641780145,0.33157254452449536,0.0,1.0,1.0,0,0.0,76
Consistency,0.7295780100480204,0.2558659190235807,0.0243902439018441,0.9999999999756098,0.9756097560737658,0,0.0,11
Sparseness,0.6301555268819252,0.1632797794385268,0.2541058490902648,0.8999991000008999,0.6458932509106351,0,0.0,687
