,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.3698556845384722,0.09444127471524315,0.048877097742257916,0.09989884052733361,0.30282881836476927,0.9182477320085699,-0.09908657612278013,0.0020127925588446934,0.2603587411371656,-0.038780231522443094,0.11312464428002277,-0.1825163518824734,0.24001252727559677
Complexity,0.3698556845384722,1.0,-0.25088386542195307,0.12364010556671003,0.1586483070653587,-0.011646260015985031,0.3027398062646829,0.07260326832875424,-0.01860309199833878,0.31821551284663274,-0.524367148116509,-0.4396524591213473,-0.30658211873459135,0.30965426542881375
Consistency,0.09444127471524315,-0.25088386542195307,1.0,-0.17757711868938958,0.05394038497499281,0.13587483726468078,0.09837389643305963,-0.14803442213532492,-0.12098793088516879,-0.427314975622063,0.467069648331893,0.10120560476978213,-0.34306306855764473,0.2591781245638649
Faithfulness,0.048877097742257916,0.12364010556671003,-0.17757711868938958,1.0,0.1453696932075712,0.10134264203502344,0.0940106367663584,-0.0384248600964546,0.07715708506284315,-0.11097873860772896,0.12536194054701516,0.1407765314153205,-0.10995041236892424,0.054505546313635064
FaithfulnessEstimate,0.09989884052733361,0.1586483070653587,0.05394038497499281,0.1453696932075712,1.0,0.030643877850317573,0.07644722823759248,-0.056041133476476754,0.023482590240474843,-0.04421869758329927,-0.07205316946046733,-0.05629505568085934,-0.14212830045016064,0.12686489845192153
LocalLipschitzEstimate,0.30282881836476927,-0.011646260015985031,0.13587483726468078,0.10134264203502344,0.030643877850317573,1.0,0.21610032517690048,0.26173620040196555,0.04763609055932441,-0.03939910631526613,0.2281382317328911,0.13885031303357998,-0.16841289301015083,0.07632827399902901
MaxSensitivity,0.9182477320085699,0.3027398062646829,0.09837389643305963,0.0940106367663584,0.07644722823759248,0.21610032517690048,1.0,-0.16563358716664614,0.025922328887133392,0.19847636750887884,0.023668731131928668,0.13538379814077026,-0.1745706748977501,0.18559108163738156
MonotonicityCorrelation,-0.09908657612278013,0.07260326832875424,-0.14803442213532492,-0.0384248600964546,-0.056041133476476754,0.26173620040196555,-0.16563358716664614,1.0,-0.04739343296014083,0.03193053576129123,-0.11508310724469452,-0.18648122513967064,0.020590450044943934,0.002670962515957119
MonotonicityMetric,0.0020127925588446934,-0.01860309199833878,-0.12098793088516879,0.07715708506284315,0.023482590240474843,0.04763609055932441,0.025922328887133392,-0.04739343296014083,1.0,-0.0002521450509403751,-0.005999625035152589,0.04199639123305837,-0.06105473800110531,-0.09218183081331639
NonSensitivity,0.2603587411371656,0.31821551284663274,-0.427314975622063,-0.11097873860772896,-0.04421869758329927,-0.03939910631526613,0.19847636750887884,0.03193053576129123,-0.0002521450509403751,1.0,-0.5936198386239487,-0.0978391302453069,0.5586900926584767,-0.25768659328685245
RelativeInputStability,-0.038780231522443094,-0.524367148116509,0.467069648331893,0.12536194054701516,-0.07205316946046733,0.2281382317328911,0.023668731131928668,-0.11508310724469452,-0.005999625035152589,-0.5936198386239487,1.0,0.654674456747913,-0.2916514217831822,0.11493105706902279
RelativeOutputStability,0.11312464428002277,-0.4396524591213473,0.10120560476978213,0.1407765314153205,-0.05629505568085934,0.13885031303357998,0.13538379814077026,-0.18648122513967064,0.04199639123305837,-0.0978391302453069,0.654674456747913,1.0,0.1756877330348465,-0.2826580394852206
Sparseness,-0.1825163518824734,-0.30658211873459135,-0.34306306855764473,-0.10995041236892424,-0.14212830045016064,-0.16841289301015083,-0.1745706748977501,0.020590450044943934,-0.06105473800110531,0.5586900926584767,-0.2916514217831822,0.1756877330348465,1.0,-0.49474344415350113
Sufficiency,0.24001252727559677,0.30965426542881375,0.2591781245638649,0.054505546313635064,0.12686489845192153,0.07632827399902901,0.18559108163738156,0.002670962515957119,-0.09218183081331639,-0.25768659328685245,0.11493105706902279,-0.2826580394852206,-0.49474344415350113,1.0
