,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,3.839392475610092e-19,0.027338377361357778,0.25422057476535403,0.019554188850017414,4.818128245234342e-13,5.25845573088297e-221,0.020573799254008,0.9625734297958065,6.549486880662417e-10,0.5392062038844346,0.07360957879874142,1.7777731539267628e-05,1.357652136522405e-08
Complexity,3.839392475610092e-19,0.0,2.7779879383853813e-09,0.003809223685697241,0.00019750892512348958,0.7859914788047072,4.89791748119089e-13,0.09010503786798593,0.6644822532897194,2.58670173724833e-14,2.8377806057848227e-19,2.7503225317943224e-13,2.3981329912593813e-13,1.3446264478505675e-13
Consistency,0.027338377361357778,2.7779879383853813e-09,0.0,3.005059492235772e-05,0.2082350531799031,0.0014604322846937206,0.02150617040683526,0.0005199199538597225,0.004640141542770322,1.2083665432021953e-25,4.102496518075916e-15,0.1097085839550774,1.59022425711625e-16,7.866567710871577e-10
Faithfulness,0.25422057476535426,0.003809223685697241,3.0050594922357802e-05,0.0,0.0006564934251648146,0.01785017642880995,0.028052947335466073,0.3701816023665881,0.07163097789848315,0.00945142604451352,0.046371650260271374,0.025727179379785022,0.01013809382153599,0.20350169407389265
FaithfulnessEstimate,0.019554188850017414,0.00019750892512348958,0.20823505317990304,0.0006564934251648146,0.0,0.47487395294591417,0.07428827918378579,0.19103624583477427,0.5840165359670321,0.30236309425100766,0.25350170716401393,0.3744686229159922,0.000867301589343397,0.0029816815779041975
LocalLipschitzEstimate,4.818128245234342e-13,0.7859914788047072,0.0014604322846937172,0.01785017642880995,0.4748739529459143,0.0,3.426636287562669e-07,5.282744371750598e-10,0.2664928509653589,0.3581626466983173,0.0002530403644839735,0.027843292278362502,7.66931514773134e-05,0.07474133834915407
MaxSensitivity,5.258455730886761e-221,4.897917481190799e-13,0.02150617040683526,0.028052947335466007,0.07428827918378579,3.4266362875626363e-07,0.0,0.00010094041522381436,0.5455569996025756,2.9586105062699178e-06,0.7079115453215159,0.03202829425110727,4.108069019638505e-05,1.2731093353674413e-05
MonotonicityCorrelation,0.020573799254008,0.09010503786798593,0.0005199199538597225,0.3701816023665881,0.19103624583477435,5.282744371750639e-10,0.00010094041522381436,0.0,0.26893921923806696,0.4565199948188419,0.06762150739435917,0.0030196558922479643,0.6311719722804144,0.9503490097165712
MonotonicityMetric,0.9625734297958065,0.6644822532897194,0.004640141542770323,0.07163097789848315,0.5840165359670321,0.2664928509653589,0.5455569996025756,0.26893921923806696,0.0,0.9953098375893115,0.9243480558094099,0.507766713490145,0.15424276868501513,0.03126914836426431
NonSensitivity,6.549486880662417e-10,2.58670173724833e-14,1.2083665432021953e-25,0.00945142604451352,0.30236309425100766,0.3581626466983173,2.9586105062699178e-06,0.4565199948188419,0.9953098375893115,0.0,1.7594389319391618e-25,0.12209548083680506,3.8545482491182004e-46,9.902707640980562e-10
RelativeInputStability,0.5392062038844346,2.8377806057848227e-19,4.102496518075835e-15,0.046371650260271256,0.25350170716401393,0.0002530403644839735,0.7079115453215159,0.06762150739435917,0.9243480558094099,1.7594389319391237e-25,0.0,2.284001472461493e-31,2.369809637935253e-06,0.06798743945684793
RelativeOutputStability,0.07360957879874142,2.750322531794348e-13,0.1097085839550774,0.025727179379784994,0.3744686229159922,0.027843292278362502,0.03202829425110727,0.0030196558922479643,0.5077667134901451,0.12209548083680506,2.284001472461493e-31,0.0,0.005250213851726425,5.392810786569464e-06
Sparseness,1.777773153926768e-05,2.3981329912593813e-13,1.59022425711625e-16,0.01013809382153599,0.000867301589343397,7.66931514773134e-05,4.108069019638505e-05,0.6311719722804144,0.15424276868501513,3.8545482491182004e-46,2.369809637935253e-06,0.005250213851726425,0.0,4.726324744244348e-35
Sufficiency,1.357652136522405e-08,1.3446264478505675e-13,7.866567710871638e-10,0.20350169407389274,0.0029816815779042096,0.07474133834915413,1.2731093353674377e-05,0.9503490097165712,0.03126914836426431,9.902707640980486e-10,0.06798743945684789,5.392810786569479e-06,4.726324744244348e-35,0.0
