metric,factor,H,p_value,significant_0.05
NonSensitivity,dataset_name,329.987214690061,2.2089545527286193e-72,True
LocalLipschitzEstimate,xai_method,293.559271272954,1.7964460834794547e-64,True
Sparseness,dataset_name,230.19043207230223,1.0346245564850664e-50,True
Complexity,dataset_name,220.9248409585236,1.0636048968955195e-48,True
RelativeInputStability,dataset_name,147.88544284341378,7.710527840977488e-33,True
Consistency,dataset_name,139.76362581459114,4.474188415077117e-31,True
RelativeOutputStability,dataset_name,112.5896559545971,3.5601381402516815e-25,True
Sufficiency,dataset_name,90.16492310751427,2.635941190134589e-20,True
MonotonicityCorrelation,xai_method,39.21580994644432,3.0506688562984615e-09,True
Sufficiency,xai_method,29.400018279540753,4.129211675654248e-07,True
Faithfulness,dataset_name,24.6304866456906,4.482886895093274e-06,True
LocalLipschitzEstimate,dataset_name,23.746211340674336,6.975506123801681e-06,True
NonSensitivity,xai_method,15.900733636355765,0.00035253282545904803,True
MaxSensitivity,dataset_name,15.003426818321113,0.0005521375217224886,True
AvgSensitivity,dataset_name,9.695494604348141,0.007846032396363337,True
RelativeInputStability,xai_method,8.120215517827319,0.017247160479928775,True
RelativeOutputStability,xai_method,7.5556060053423835,0.022872887937801595,True
AvgSensitivity,xai_method,5.6715681610310185,0.05867250382670386,False
MaxSensitivity,xai_method,3.5275717809136733,0.1713947522171196,False
FaithfulnessEstimate,xai_method,3.337896110296348,0.18844519536281779,False
MonotonicityMetric,dataset_name,3.1699322242728014,0.20495473847733658,False
MonotonicityCorrelation,dataset_name,2.5127223020725618,0.28468808090303893,False
FaithfulnessEstimate,dataset_name,2.302195533988958,0.3162893667028739,False
Faithfulness,xai_method,2.2905892023697874,0.3181301824551248,False
Complexity,xai_method,2.180882744066653,0.33606812989349555,False
MonotonicityMetric,xai_method,0.40295748613502813,0.8175209553631527,False
Sparseness,xai_method,0.39488156302978056,0.820828747423457,False
Consistency,xai_method,0.039879917106707345,0.9802575276199328,False
