component,explained_variance_ratio,cumulative_variance
PC1,0.20622556099465467,0.20622556099465467
PC2,0.15633722247269344,0.3625627834673481
PC3,0.11130824721188189,0.47387103067923
PC4,0.09796308283241227,0.5718341135116423
PC5,0.07685564157554459,0.6486897550871868
PC6,0.07149046517618805,0.7201802202633749
PC7,0.06836746495454958,0.7885476852179245
PC8,0.06373357453545933,0.8522812597533839
PC9,0.04750357949352585,0.8997848392469097
PC10,0.0377689314694415,0.9375537707163512
PC11,0.030630962573285538,0.9681847332896367
PC12,0.023162360815961156,0.9913470941055978
PC13,0.005932788595242096,0.9972798827008399
PC14,0.0027201172991602298,1.0000000000000002
