,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AvgSensitivity,0.4864681648550945,0.26694735382841744,-0.13218456893302194,0.0433431125210996,0.17539181560117975,0.051125632142774206,-0.09254315808769832,0.0942372651360712,0.26755686214682745,0.10849947911804074,-0.10664676040277048,0.006008688442116248,0.08716010776070823,0.7207982380886127
Complexity,0.4251221748075099,-0.03454382904351613,-0.050335970861257,-0.28573885399417415,-0.26219344828138413,-0.002617333726886713,0.32987688591315734,0.026182519292153376,-0.39127344014988064,0.2690421562526816,-0.0020087671677067598,-0.24127697164871423,0.5079056383605403,-0.11821836703312338
Consistency,0.25742089004450364,-0.261510614635017,0.2356379963617596,0.3925483305759662,0.16330637004050824,-0.05154228321033645,-0.33072573332860994,-0.1452084655757754,-0.06033585788884139,0.11851375160587686,0.6599667513347373,-0.15951677872667575,0.12813971046814038,-0.028796075968541175
Faithfulness,-0.2852652181965795,0.05308695366610861,-0.45175497558193733,-0.27041950594895836,0.044104905546955064,0.15206268307769152,-0.1255358892343741,0.12891261660758496,0.07920178601003798,0.6287774909742024,0.37012981058536,0.20284997422617612,-0.03382567501615114,-0.015093638117351644
FaithfulnessEstimate,-0.006966700834562196,-0.009167139467391424,0.010271278702136242,0.527635416590336,-0.4086039477173827,0.11643583307266159,0.4764525573536513,-0.27619993036495094,0.3549808654893502,0.3089416190545945,-0.017421388114126572,0.11915525009367661,-0.038565264275591205,-0.010477095296028766
LocalLipschitzEstimate,-0.12130782489364991,0.13305289008805857,0.5730962224593331,-0.04686533620215047,0.3757489413234563,-0.06983400013506033,-0.08412405895834445,-0.13742551873908598,0.03127357788972667,0.5537073445454432,-0.3724075221712727,-0.027147856738868905,0.08961624393350798,-0.0994671563773234
MaxSensitivity,0.4685542469717888,0.2202377039423448,-0.1995112892807292,0.04750320142024754,0.18318661587444732,0.05990509389316381,-0.11940921678946942,0.13233385773255188,0.3924166967190023,-0.0424474465880029,-0.09169743675208816,0.07290705563966778,-0.0019761773938316483,-0.671903104407921
MonotonicityCorrelation,-0.008123932531119985,0.05633914945190656,0.4516481191337034,-0.48352313090420057,-0.10908793337560449,0.025671570309583613,0.2667851261058171,0.15635306704688384,0.5042527097468849,-0.12112847569452898,0.3950871452097116,-0.1447200931586278,-0.060992123056656716,0.03314768236772546
MonotonicityMetric,-0.04019936810315651,0.09284794106143324,-0.18978703262849078,0.018069509051789327,0.618572124857216,-0.32969613656645036,0.5850828127187457,-0.20635590345085733,-0.07397863089933017,-0.10990335849807328,0.21220618581233125,0.11509063711827293,0.036739085681954844,0.001818373833298761
NonSensitivity,0.29937872217689465,0.4443243172268369,0.2052724512601199,-0.07840139642566607,-0.16358242949344548,0.017397070323779528,0.023720059311853343,-0.13821567175155497,-0.41870715657002844,0.0704265528768811,0.18434798751383555,0.2955258529400131,-0.5617940718643777,-0.026995730090573072
RelativeInputStability,-0.02624350321846738,-0.035625650416893515,0.10187787717489781,0.11379776631017155,0.3061727297222185,0.872009195302421,0.22120473552585443,0.1713631970863378,-0.17913355533446873,-0.0896929482174949,0.024300407900588666,-0.03882456811865224,-0.005825755578519915,-0.002991437045167253
RelativeOutputStability,-0.0848190478626572,0.12533445769112453,0.13287126973214625,0.35727836411843067,-0.02645732502970335,-0.2702978530753878,0.15495506134578188,0.8385614416264233,-0.12911984407738827,0.10061424790241381,0.04970176353743949,0.038213797861399945,-0.002059578032578434,-0.01035155449602284
Sparseness,-0.2393020086672598,0.5414060857201739,0.11574105518687187,0.08241173700729165,-0.11872813145175504,0.0797460287889248,-0.14628780104132638,-0.10858554024813355,-0.013248151871732367,-0.22876446233278896,0.1619551129151537,0.3530963514800865,0.609966476889833,-0.017472447991049408
Sufficiency,0.21026850835903063,-0.5203178374719523,0.168713911744958,-0.13691009618467842,0.018637127167266402,-0.009763015144394219,0.02709625154644389,0.0978333229532691,0.020716469450324616,-0.01967280748513641,-0.06535460755524415,0.778289933525222,0.120702516511792,0.041325352233020245
