,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.10124341465010286,0.12982839743878433,-0.30044811839960345,-0.2379132545548114,0.45618107421717446,0.7166692536001491,0.13153653953611844,-0.041151845632130146,0.26608406547520164,0.14227127859017621,0.2908521790880791,-0.07858720172428807,0.22945612191960021
Complexity,0.10124341465010286,1.0,-0.26261204405660715,-0.07663260683742253,-0.0421421209623554,0.21582473633219737,0.01667809869874079,-0.1414559424111039,-0.14165556265463033,0.3950638238190065,-0.6233789820605289,-0.3861483306310745,-0.5413744963357456,0.30905790440750297
Consistency,0.12982839743878433,-0.26261204405660715,1.0,-0.5005337608489938,0.004858224369077587,0.2578563678978811,0.2152703807570787,0.18586159747396216,-0.2421825900763038,-0.2790976280751818,-0.03663678485719398,0.01556606246963995,-0.1815573738885028,0.4144458273744137
Faithfulness,-0.30044811839960345,-0.07663260683742253,-0.5005337608489938,1.0,0.025424904638821858,-0.31117754157151944,-0.24019125750340448,-0.14303909992728064,0.16585380676138325,0.025188842609079245,-0.2537385573061052,-0.2173886919434483,0.26380718035416634,-0.4877526378050567
FaithfulnessEstimate,-0.2379132545548114,-0.0421421209623554,0.004858224369077587,0.025424904638821858,1.0,-0.15312572375580746,-0.10833411695094768,-0.12337517906067366,0.039471886828044714,-0.03244376746408266,-0.056407011623547054,-0.07338399560520051,0.07242333138212154,-0.010084702771611307
LocalLipschitzEstimate,0.45618107421717446,0.21582473633219737,0.2578563678978811,-0.31117754157151944,-0.15312572375580746,1.0,0.23541166077771078,0.1325786146871876,-0.004612039364704338,0.03873123201085629,0.2111396231721035,0.12560085149240066,-0.5423374323017652,0.5014673952604269
MaxSensitivity,0.7166692536001491,0.01667809869874079,0.2152703807570787,-0.24019125750340448,-0.10833411695094768,0.23541166077771078,1.0,0.07380375418427093,-0.04534173765040499,0.19666867468278668,0.035315898012748405,0.10711751510712324,0.10338101857047803,0.1444408904882905
MonotonicityCorrelation,0.13153653953611844,-0.1414559424111039,0.18586159747396216,-0.14303909992728064,-0.12337517906067366,0.1325786146871876,0.07380375418427093,1.0,-0.11258727701918053,-0.16653845677653112,-0.1658020008770232,-0.17965478525001596,-0.14164128552350347,0.1297168408299985
MonotonicityMetric,-0.041151845632130146,-0.14165556265463033,-0.2421825900763038,0.16585380676138325,0.039471886828044714,-0.004612039364704338,-0.04534173765040499,-0.11258727701918053,1.0,-0.11047397257245974,0.04993093919355877,-0.2879816372936019,0.03424091472201424,-0.18274704623675486
NonSensitivity,0.26608406547520164,0.3950638238190065,-0.2790976280751818,0.025188842609079245,-0.03244376746408266,0.03873123201085629,0.19666867468278668,-0.16653845677653112,-0.11047397257245974,1.0,-0.3427500283046245,0.0075103770047256135,0.3173345741642602,-0.26639485925153134
RelativeInputStability,0.14227127859017621,-0.6233789820605289,-0.03663678485719398,-0.2537385573061052,-0.056407011623547054,0.2111396231721035,0.035315898012748405,-0.1658020008770232,0.04993093919355877,-0.3427500283046245,1.0,0.6903707349081365,0.1316147931166394,-0.11146003213056886
RelativeOutputStability,0.2908521790880791,-0.3861483306310745,0.01556606246963995,-0.2173886919434483,-0.07338399560520051,0.12560085149240066,0.10711751510712324,-0.17965478525001596,-0.2879816372936019,0.0075103770047256135,0.6903707349081365,1.0,0.2520836731025503,-0.13778121194485848
Sparseness,-0.07858720172428807,-0.5413744963357456,-0.1815573738885028,0.26380718035416634,0.07242333138212154,-0.5423374323017652,0.10338101857047803,-0.14164128552350347,0.03424091472201424,0.3173345741642602,0.1316147931166394,0.2520836731025503,1.0,-0.6586390946158107
Sufficiency,0.22945612191960021,0.30905790440750297,0.4144458273744137,-0.4877526378050567,-0.010084702771611307,0.5014673952604269,0.1444408904882905,0.1297168408299985,-0.18274704623675486,-0.26639485925153134,-0.11146003213056886,-0.13778121194485848,-0.6586390946158107,1.0
