,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,476,476,476,476,476,476,476,476,476,476,127,128,476,476
Complexity,476,546,546,546,546,546,546,546,546,546,127,128,546,546
Consistency,476,546,546,546,546,546,546,546,546,546,127,128,546,546
Faithfulness,476,546,546,546,546,546,546,546,546,546,127,128,546,546
FaithfulnessEstimate,476,546,546,546,546,546,546,546,546,546,127,128,546,546
LocalLipschitzEstimate,476,546,546,546,546,546,546,546,546,546,127,128,546,546
MaxSensitivity,476,546,546,546,546,546,546,546,546,546,127,128,546,546
MonotonicityCorrelation,476,546,546,546,546,546,546,546,546,546,127,128,546,546
MonotonicityMetric,476,546,546,546,546,546,546,546,546,546,127,128,546,546
NonSensitivity,476,546,546,546,546,546,546,546,546,546,127,128,546,546
RelativeInputStability,127,127,127,127,127,127,127,127,127,127,127,127,127,127
RelativeOutputStability,128,128,128,128,128,128,128,128,128,128,127,128,128,128
Sparseness,476,546,546,546,546,546,546,546,546,546,127,128,546,546
Sufficiency,476,546,546,546,546,546,546,546,546,546,127,128,546,546
