,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,0.027192665147523415,0.004552672254150352,2.186096112971362e-11,1.4995554889471624e-07,7.69126902518159e-26,3.326461928291818e-76,0.004043561110715507,0.37033490727704893,3.7098508761705994e-09,0.1105801517281471,0.0008664518925613686,0.08676554179723445,4.178187751200615e-07
Complexity,0.027192665147523398,0.0,4.6049384239432497e-10,0.07358669443736517,0.3256567524946177,3.5492308859924784e-07,0.6973907467176218,0.0009182160604642205,0.0009028186542245629,7.720802370356412e-22,4.9879051146061276e-15,6.738351382583856e-06,6.701903597656581e-43,1.5052492005721147e-13
Consistency,0.004552672254150343,4.6049384239432487e-10,0.0,5.816732349441741e-36,0.9098237172947675,9.647322168073415e-10,3.808745610721723e-07,1.235929138941473e-05,9.950810815008876e-09,3.1581332677779434e-11,0.6825905341001561,0.861556730622982,1.9706854051598733e-05,4.471397154951868e-24
Faithfulness,2.1860961129713434e-11,0.07358669443736517,5.816732349441741e-36,0.0,0.5532956224306661,1.0067446636985624e-13,1.3235014619252859e-08,0.0008024885623613542,9.878267077753347e-05,0.5569868089619645,0.003995970662262566,0.013705220968509282,3.814992702781827e-10,5.624379099370515e-34
FaithfulnessEstimate,1.4995554889471624e-07,0.3256567524946177,0.9098237172947675,0.5532956224306661,0.0,0.0003293696591293395,0.011307092048877865,0.0038856986198555457,0.3572747139928468,0.4493112976756589,0.5287656546600579,0.41038782808518964,0.09090703545880184,0.8141221340035761
LocalLipschitzEstimate,7.69126902518159e-26,3.5492308859924784e-07,9.647322168073415e-10,1.0067446636985624e-13,0.0003293696591293395,0.0,2.5976690416810582e-08,0.0019058016551680153,0.9143752958004883,0.3663753412236995,0.017180377446602935,0.15775203839528404,4.476374366550332e-43,4.133696726071899e-36
MaxSensitivity,3.326461928291818e-76,0.6973907467176218,3.808745610721723e-07,1.3235014619252763e-08,0.011307092048877865,2.5976690416810582e-08,0.0,0.08489865586964948,0.2902378169677892,3.6522377142136016e-06,0.6934497109974715,0.228792963860996,0.01566582084401947,0.000711442405095348
MonotonicityCorrelation,0.004043561110715507,0.0009182160604642205,1.235929138941473e-05,0.0008024885623613503,0.003885698619855546,0.0019058016551680153,0.08489865586964948,0.0,0.00846009233066558,9.234842830345285e-05,0.06247141049364763,0.04244160917716744,0.00090391192534945,0.0023899219674627416
MonotonicityMetric,0.37033490727704893,0.0009028186542245629,9.950810815008876e-09,9.878267077753347e-05,0.3572747139928468,0.9143752958004883,0.29023781696778916,0.00846009233066558,0.0,0.009783138294075084,0.5772012575694413,0.000979676975472879,0.4245828659232106,1.7341189085644947e-05
NonSensitivity,3.7098508761705994e-09,7.720802370356412e-22,3.1581332677779434e-11,0.5569868089619645,0.44931129767565875,0.3663753412236995,3.652237714213591e-06,9.234842830345262e-05,0.009783138294075084,0.0,7.994143953869456e-05,0.9329468248077047,3.072389566175668e-14,2.5300572927085905e-10
RelativeInputStability,0.1105801517281471,4.9879051146061276e-15,0.6825905341001561,0.003995970662262566,0.5287656546600579,0.017180377446602935,0.6934497109974715,0.062471410493647676,0.5772012575694413,7.994143953869435e-05,0.0,2.731199084024811e-19,0.14021723597821004,0.2121912462880125
RelativeOutputStability,0.0008664518925613686,6.738351382583816e-06,0.861556730622982,0.013705220968509301,0.41038782808518964,0.15775203839528404,0.228792963860996,0.0424416091771674,0.000979676975472879,0.9329468248077047,2.731199084024811e-19,0.0,0.004097812628539028,0.12091812793493865
Sparseness,0.0867655417972345,6.701903597656581e-43,1.9706854051598733e-05,3.814992702781827e-10,0.09090703545880177,4.476374366550332e-43,0.01566582084401947,0.00090391192534945,0.4245828659232106,3.072389566175668e-14,0.14021723597820998,0.004097812628539028,0.0,3.318381040468004e-69
Sufficiency,4.178187751200615e-07,1.5052492005721288e-13,4.471397154951868e-24,5.624379099370343e-34,0.8141221340035761,4.133696726071899e-36,0.000711442405095348,0.0023899219674627416,1.734118908564505e-05,2.5300572927085905e-10,0.2121912462880125,0.12091812793493859,3.318381040467827e-69,0.0
