metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.7166692536001491,3.326461928291819e-76,476,0.7166692536001491,True
RelativeInputStability,RelativeOutputStability,0.6903707349081365,2.731199084024809e-19,127,0.6903707349081365,True
Sparseness,Sufficiency,-0.6586390946158107,3.3183810404680027e-69,546,0.6586390946158107,True
Complexity,RelativeInputStability,-0.6233789820605289,4.987905114606125e-15,127,0.6233789820605289,True
LocalLipschitzEstimate,Sparseness,-0.5423374323017652,4.476374366550331e-43,546,0.5423374323017652,True
Complexity,Sparseness,-0.5413744963357456,6.70190359765658e-43,546,0.5413744963357456,True
LocalLipschitzEstimate,Sufficiency,0.5014673952604269,4.133696726071897e-36,546,0.5014673952604269,True
Consistency,Faithfulness,-0.5005337608489938,5.816732349441924e-36,546,0.5005337608489938,True
Faithfulness,Sufficiency,-0.4877526378050567,5.624379099370511e-34,546,0.4877526378050567,True
AvgSensitivity,LocalLipschitzEstimate,0.45618107421717446,7.69126902518159e-26,476,0.45618107421717446,True
Consistency,Sufficiency,0.4144458273744137,4.471397154951867e-24,546,0.4144458273744137,True
Complexity,NonSensitivity,0.3950638238190065,7.720802370356408e-22,546,0.3950638238190065,True
Complexity,RelativeOutputStability,-0.3861483306310745,6.738351382583855e-06,128,0.3861483306310745,True
NonSensitivity,RelativeInputStability,-0.3427500283046245,7.994143953869456e-05,127,0.3427500283046245,True
NonSensitivity,Sparseness,0.3173345741642602,3.0723895661756664e-14,546,0.3173345741642602,True
Faithfulness,LocalLipschitzEstimate,-0.31117754157151944,1.006744663698562e-13,546,0.31117754157151944,True
Complexity,Sufficiency,0.30905790440750297,1.505249200572114e-13,546,0.30905790440750297,True
AvgSensitivity,Faithfulness,-0.30044811839960345,2.186096112971362e-11,476,0.30044811839960345,True
AvgSensitivity,RelativeOutputStability,0.2908521790880791,0.0008664518925613685,128,0.2908521790880791,True
MonotonicityMetric,RelativeOutputStability,-0.2879816372936019,0.000979676975472879,128,0.2879816372936019,True
Consistency,NonSensitivity,-0.2790976280751818,3.158133267777942e-11,546,0.2790976280751818,True
NonSensitivity,Sufficiency,-0.26639485925153134,2.5300572927085894e-10,546,0.26639485925153134,True
AvgSensitivity,NonSensitivity,0.26608406547520164,3.7098508761705994e-09,476,0.26608406547520164,True
Faithfulness,Sparseness,0.26380718035416634,3.814992702781824e-10,546,0.26380718035416634,True
Complexity,Consistency,-0.26261204405660715,4.604938423943247e-10,546,0.26261204405660715,True
Consistency,LocalLipschitzEstimate,0.2578563678978811,9.64732216807341e-10,546,0.2578563678978811,True
Faithfulness,RelativeInputStability,-0.2537385573061052,0.003995970662262566,127,0.2537385573061052,True
RelativeOutputStability,Sparseness,0.2520836731025503,0.004097812628539027,128,0.2520836731025503,True
Consistency,MonotonicityMetric,-0.2421825900763038,9.950810815008873e-09,546,0.2421825900763038,True
Faithfulness,MaxSensitivity,-0.24019125750340448,1.3235014619252853e-08,546,0.24019125750340448,True
AvgSensitivity,FaithfulnessEstimate,-0.2379132545548114,1.4995554889471624e-07,476,0.2379132545548114,True
LocalLipschitzEstimate,MaxSensitivity,0.23541166077771078,2.597669041681057e-08,546,0.23541166077771078,True
AvgSensitivity,Sufficiency,0.22945612191960021,4.178187751200615e-07,476,0.22945612191960021,True
Faithfulness,RelativeOutputStability,-0.2173886919434483,0.01370522096850928,128,0.2173886919434483,True
Complexity,LocalLipschitzEstimate,0.21582473633219737,3.5492308859924774e-07,546,0.21582473633219737,True
Consistency,MaxSensitivity,0.2152703807570787,3.8087456107217215e-07,546,0.2152703807570787,True
LocalLipschitzEstimate,RelativeInputStability,0.2111396231721035,0.017180377446602935,127,0.2111396231721035,True
MaxSensitivity,NonSensitivity,0.19666867468278668,3.6522377142136003e-06,546,0.19666867468278668,True
Consistency,MonotonicityCorrelation,0.18586159747396216,1.2359291389414721e-05,546,0.18586159747396216,True
MonotonicityMetric,Sufficiency,-0.18274704623675486,1.734118908564494e-05,546,0.18274704623675486,True
Consistency,Sparseness,-0.1815573738885028,1.9706854051598727e-05,546,0.1815573738885028,True
MonotonicityCorrelation,RelativeOutputStability,-0.17965478525001596,0.04244160917716743,128,0.17965478525001596,True
MonotonicityCorrelation,NonSensitivity,-0.16653845677653112,9.234842830345281e-05,546,0.16653845677653112,True
Faithfulness,MonotonicityMetric,0.16585380676138325,9.878267077753343e-05,546,0.16585380676138325,True
MonotonicityCorrelation,RelativeInputStability,-0.1658020008770232,0.06247141049364763,127,0.1658020008770232,False
FaithfulnessEstimate,LocalLipschitzEstimate,-0.15312572375580746,0.0003293696591293394,546,0.15312572375580746,True
MaxSensitivity,Sufficiency,0.1444408904882905,0.0007114424050953477,546,0.1444408904882905,True
Faithfulness,MonotonicityCorrelation,-0.14303909992728064,0.0008024885623613537,546,0.14303909992728064,True
AvgSensitivity,RelativeInputStability,0.14227127859017621,0.1105801517281471,127,0.14227127859017621,False
Complexity,MonotonicityMetric,-0.14165556265463033,0.0009028186542245624,546,0.14165556265463033,True
MonotonicityCorrelation,Sparseness,-0.14164128552350347,0.0009039119253494496,546,0.14164128552350347,True
Complexity,MonotonicityCorrelation,-0.1414559424111039,0.00091821606046422,546,0.1414559424111039,True
RelativeOutputStability,Sufficiency,-0.13778121194485848,0.12091812793493861,128,0.13778121194485848,False
LocalLipschitzEstimate,MonotonicityCorrelation,0.1325786146871876,0.0019058016551680146,546,0.1325786146871876,True
RelativeInputStability,Sparseness,0.1316147931166394,0.14021723597821004,127,0.1316147931166394,False
AvgSensitivity,MonotonicityCorrelation,0.13153653953611844,0.004043561110715507,476,0.13153653953611844,True
AvgSensitivity,Consistency,0.12982839743878433,0.004552672254150352,476,0.12982839743878433,True
MonotonicityCorrelation,Sufficiency,0.1297168408299985,0.0023899219674627403,546,0.1297168408299985,True
LocalLipschitzEstimate,RelativeOutputStability,0.12560085149240066,0.157752038395284,128,0.12560085149240066,False
FaithfulnessEstimate,MonotonicityCorrelation,-0.12337517906067366,0.003885698619855544,546,0.12337517906067366,True
MonotonicityCorrelation,MonotonicityMetric,-0.11258727701918053,0.008460092330665577,546,0.11258727701918053,True
RelativeInputStability,Sufficiency,-0.11146003213056886,0.2121912462880125,127,0.11146003213056886,False
MonotonicityMetric,NonSensitivity,-0.11047397257245974,0.009783138294075079,546,0.11047397257245974,True
FaithfulnessEstimate,MaxSensitivity,-0.10833411695094768,0.01130709204887786,546,0.10833411695094768,True
MaxSensitivity,RelativeOutputStability,0.10711751510712324,0.22879296386099598,128,0.10711751510712324,False
MaxSensitivity,Sparseness,0.10338101857047803,0.015665820844019462,546,0.10338101857047803,True
AvgSensitivity,Complexity,0.10124341465010286,0.027192665147523415,476,0.10124341465010286,True
AvgSensitivity,Sparseness,-0.07858720172428807,0.08676554179723445,476,0.07858720172428807,False
Complexity,Faithfulness,-0.07663260683742253,0.07358669443736514,546,0.07663260683742253,False
MaxSensitivity,MonotonicityCorrelation,0.07380375418427093,0.08489865586964944,546,0.07380375418427093,False
FaithfulnessEstimate,RelativeOutputStability,-0.07338399560520051,0.41038782808518975,128,0.07338399560520051,False
FaithfulnessEstimate,Sparseness,0.07242333138212154,0.0909070354588018,546,0.07242333138212154,False
FaithfulnessEstimate,RelativeInputStability,-0.056407011623547054,0.528765654660058,127,0.056407011623547054,False
MonotonicityMetric,RelativeInputStability,0.04993093919355877,0.5772012575694415,127,0.04993093919355877,False
MaxSensitivity,MonotonicityMetric,-0.04534173765040499,0.2902378169677891,546,0.04534173765040499,False
Complexity,FaithfulnessEstimate,-0.0421421209623554,0.32565675249461806,546,0.0421421209623554,False
AvgSensitivity,MonotonicityMetric,-0.041151845632130146,0.37033490727704876,476,0.041151845632130146,False
FaithfulnessEstimate,MonotonicityMetric,0.039471886828044714,0.3572747139928471,546,0.039471886828044714,False
LocalLipschitzEstimate,NonSensitivity,0.03873123201085629,0.3663753412236998,546,0.03873123201085629,False
Consistency,RelativeInputStability,-0.03663678485719398,0.6825905341001561,127,0.03663678485719398,False
MaxSensitivity,RelativeInputStability,0.035315898012748405,0.6934497109974718,127,0.035315898012748405,False
MonotonicityMetric,Sparseness,0.03424091472201424,0.4245828659232108,546,0.03424091472201424,False
FaithfulnessEstimate,NonSensitivity,-0.03244376746408266,0.44931129767565925,546,0.03244376746408266,False
Faithfulness,FaithfulnessEstimate,0.025424904638821858,0.5532956224306663,546,0.025424904638821858,False
Faithfulness,NonSensitivity,0.025188842609079245,0.5569868089619647,546,0.025188842609079245,False
Complexity,MaxSensitivity,0.01667809869874079,0.6973907467176219,546,0.01667809869874079,False
Consistency,RelativeOutputStability,0.01556606246963995,0.861556730622982,128,0.01556606246963995,False
FaithfulnessEstimate,Sufficiency,-0.010084702771611307,0.8141221340035762,546,0.010084702771611307,False
NonSensitivity,RelativeOutputStability,0.0075103770047256135,0.9329468248077047,128,0.0075103770047256135,False
Consistency,FaithfulnessEstimate,0.004858224369077587,0.9098237172947675,546,0.004858224369077587,False
LocalLipschitzEstimate,MonotonicityMetric,-0.004612039364704338,0.9143752958004883,546,0.004612039364704338,False
