component,explained_variance_ratio,cumulative_variance
PC1,0.21698205144427932,0.21698205144427932
PC2,0.1558240704818552,0.3728061219261345
PC3,0.1314348408976319,0.5042409628237664
PC4,0.11157346898537789,0.6158144318091443
PC5,0.08826017804191155,0.7040746098510559
PC6,0.07541188132893953,0.7794864911799954
PC7,0.05770269853379259,0.837189189713788
PC8,0.047828768838132044,0.88501795855192
PC9,0.04650150511628806,0.931519463668208
PC10,0.021985219556270773,0.9535046832244788
PC11,0.01819719063887405,0.9717018738633528
PC12,0.013528659035748236,0.9852305328991011
PC13,0.010094794961882134,0.9953253278609833
PC14,0.004674672139016843,1.0
