,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AvgSensitivity,0.2586443252731828,0.45054584880058085,0.20503970934000362,-0.029006233345915292,0.12229018827396212,-0.3443361455167805,-0.11979081944717905,-0.054943877567014104,-0.1599768520662019,0.24126534468441851,-0.0660823103538471,0.628589953686367,-0.2297555769352675,-0.01601809281222117
Complexity,0.11614972172318178,-0.38907298941672414,0.3425216688610675,-0.41781877762061437,-0.032184542387067305,-0.08260788107047093,-0.0806349885305416,-0.3233726378912012,0.1372235283576942,0.08792407355240252,-0.2884779481661912,-0.004692468535654663,-0.019897027947747135,0.5604531009614295
Consistency,0.457868102182435,0.2911650207511348,-0.1265278790312243,-0.07463868083691261,0.0048677842355155255,0.15292313699304508,0.07114632358101079,0.06909644302504739,-0.06788013756720356,-0.008664647262470996,0.4358085294668569,-0.35453501540658033,-0.3842640465515775,0.42753759803172864
Faithfulness,-0.20315841570943136,-0.04648876934852786,0.6027390906407847,0.04514475504366024,0.10343415641344211,-0.15983334743881378,-0.0134671862435379,-0.0347185674112144,0.19963800065771684,-0.1912963104730536,0.6797293947704645,0.04456649020009551,0.1108284297772455,-0.02915736174137703
FaithfulnessEstimate,-0.05441870513506074,-0.041934105717384804,-0.34753268489268463,-0.3883969594538156,0.0020669074732063007,-0.4545807873057761,0.017309161479320802,0.4436667382490194,0.49647792757039594,-0.2126848127672297,0.0380919743010645,0.1099460593920917,-0.1182572661807273,0.024741594547799846
LocalLipschitzEstimate,0.32325783102927197,-0.09327896394964764,0.17451508739248295,0.2582735493355462,0.47747218520284096,-0.08404371326894908,-0.023777173897096174,0.36788690058873613,-0.1942870592932486,-0.48567629582419497,-0.26069947143512173,-0.03041210619549697,0.21349459845235857,0.17491577581954676
MaxSensitivity,0.20774629058082061,0.46011193744995704,0.15938888234683002,-0.04587130206074236,-0.24952458710284495,-0.3941651815369268,0.014750417161565109,-0.19449622786447912,0.14577677185812568,-0.05567151965419338,-0.20342471071933305,-0.4821162698410551,0.37161268184160273,-0.1602826972458731
MonotonicityCorrelation,0.17446393979303737,0.15312705880500407,0.3305061019967393,0.08883324499726031,-0.2955906217476683,0.4590482894205511,0.3889638465954877,0.1961562745548376,0.4549316477864689,-0.13139114455370482,-0.23330866762559144,0.21167016463447733,-0.1190055448411909,-0.05910628812309984
MonotonicityMetric,-0.10764883635090997,-0.1631092442382568,0.06637352325685598,0.6203137444112262,-0.07012228216595649,-0.3661862854236388,0.17726084043124257,0.20253928495980414,0.16864615671791103,0.455726171528491,-0.07756701426476277,-0.1617190615549658,-0.16630410265815282,0.25535230186064767
NonSensitivity,-0.236835837684301,0.09967836050647687,0.3730134353649877,-0.39423012435798765,0.22690779466196967,0.08973532179556139,0.01928575653739717,0.45776875988191223,-0.202772098514458,0.3283193924434112,-0.16053640742242367,-0.3374685781765986,-0.19860494135136714,-0.20479695762309444
RelativeInputStability,-0.14585131318026662,0.12080882325187889,-0.13058829232416358,-0.09876232755998861,0.5214081412222527,-0.06574415732681226,0.7364011689000498,-0.3365479840592074,0.056101101682256696,0.02405821997593442,-0.02339623527198442,-0.0018947632138517656,0.02732735208737108,0.023695199107158685
RelativeOutputStability,-0.17246607541098347,0.2597764560895361,-0.042741294093639894,0.17348095277216427,0.45418509181391237,0.2163757638767141,-0.495627194196067,-0.20528301055572118,0.5069538145109913,0.009719042357980767,-0.1534021947055543,-0.13053485529217504,-0.177541227612111,0.0277504686335317
Sparseness,-0.40106644135356917,0.40786861099177885,-0.07465968686561135,-0.04302763477884517,-0.08783180845705216,0.16096588193795072,-0.015731565398851732,0.2304520642109578,-0.06806322175716496,0.08425903429043709,0.01953738448254933,0.15814391388643254,0.47604485305055855,0.5609289489703764
Sufficiency,0.45617066638041337,-0.16764922527332923,-0.08638095634148821,-0.08669850984632772,0.23107876231670488,0.16334689356347187,-0.039443106019396296,0.1373185482491369,0.25361869886888677,0.5221675802782493,0.19741532515994584,0.06948007660271013,0.4990634269964197,-0.1359632035043603
