,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.26642197884921026,0.4498182039462475,-0.5311699583224883,-0.2148147674407705,0.5077293905128801,0.8649658946792603,-0.20659206361949053,0.09503319747270264,0.4943977813389551,-0.3279675376048948,0.4887492115440034,0.0003648200188987075,-0.2619920508406143
Complexity,0.26642197884921026,1.0,-0.041287176646499314,-0.1367904697747842,-0.03307179775579822,-0.017764785265065173,0.15871462592128557,-0.13373645746634663,-0.12516484720104865,0.6567954478333081,-0.6841888591555835,0.1595093656499964,-0.5653718827139452,-0.10899006953424355
Consistency,0.4498182039462475,-0.041287176646499314,1.0,-0.2066320607005236,-0.04850634435932938,0.2068627765041503,0.44782086883838834,-0.12536096957840162,0.31598732253266515,0.4110884323892126,-0.07674641681361939,0.08944805027296955,0.20880065106000562,0.12074324083203086
Faithfulness,-0.5311699583224883,-0.1367904697747842,-0.2066320607005236,1.0,0.2236990369310579,-0.3949418774280248,-0.5005002313993187,0.00820928178302812,0.17381282939127243,-0.22587674340054437,0.305047494317241,-0.21762997684508778,0.10319297741772741,0.12585433112628516
FaithfulnessEstimate,-0.2148147674407705,-0.03307179775579822,-0.04850634435932938,0.2236990369310579,1.0,-0.1345446495536412,-0.2151780023272144,-0.03201979279793034,0.10498910850154006,-0.06701672062179806,0.17638798985048365,-0.06105601715357813,0.08640923294055687,0.030574584825461916
LocalLipschitzEstimate,0.5077293905128801,-0.017764785265065173,0.2068627765041503,-0.3949418774280248,-0.1345446495536412,1.0,0.366932261003341,-0.09133898875210847,0.05306020192225897,0.16630283610065313,-0.11100322650248134,0.24516356557434862,0.00952185041343658,-0.2584127440508513
MaxSensitivity,0.8649658946792603,0.15871462592128557,0.44782086883838834,-0.5005002313993187,-0.2151780023272144,0.366932261003341,1.0,-0.03226145058056018,0.10774200205536168,0.3455196188028127,-0.3970697202192483,0.3062876972651409,-0.08129979286872777,-0.12272155792743009
MonotonicityCorrelation,-0.20659206361949053,-0.13373645746634663,-0.12536096957840162,0.00820928178302812,-0.03201979279793034,-0.09133898875210847,-0.03226145058056018,1.0,-0.14445945258760182,-0.38770344002941665,0.006703827454905805,-0.30752968668849456,-0.40457705896539403,0.46442177977882715
MonotonicityMetric,0.09503319747270264,-0.12516484720104865,0.31598732253266515,0.17381282939127243,0.10498910850154006,0.05306020192225897,0.10774200205536168,-0.14445945258760182,1.0,0.11932957631654413,0.08581114840553579,0.0806126010757906,0.1556735401395201,0.05089504898437105
NonSensitivity,0.4943977813389551,0.6567954478333081,0.4110884323892126,-0.22587674340054437,-0.06701672062179806,0.16630283610065313,0.3455196188028127,-0.38770344002941665,0.11932957631654413,1.0,-0.5467177303620896,0.4175302496871945,0.0030538774444055393,-0.24901974158594384
RelativeInputStability,-0.3279675376048948,-0.6841888591555835,-0.07674641681361939,0.305047494317241,0.17638798985048365,-0.11100322650248134,-0.3970697202192483,0.006703827454905805,0.08581114840553579,-0.5467177303620896,1.0,0.2669085761000762,0.4926069772070766,-0.12877606914203946
RelativeOutputStability,0.4887492115440034,0.1595093656499964,0.08944805027296955,-0.21762997684508778,-0.06105601715357813,0.24516356557434862,0.3062876972651409,-0.30752968668849456,0.0806126010757906,0.4175302496871945,0.2669085761000762,1.0,0.2922391747258793,-0.326539261503332
Sparseness,0.0003648200188987075,-0.5653718827139452,0.20880065106000562,0.10319297741772741,0.08640923294055687,0.00952185041343658,-0.08129979286872777,-0.40457705896539403,0.1556735401395201,0.0030538774444055393,0.4926069772070766,0.2922391747258793,1.0,-0.27942109834492274
Sufficiency,-0.2619920508406143,-0.10899006953424355,0.12074324083203086,0.12585433112628516,0.030574584825461916,-0.2584127440508513,-0.12272155792743009,0.46442177977882715,0.05089504898437105,-0.24901974158594384,-0.12877606914203946,-0.326539261503332,-0.27942109834492274,1.0
