,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,2.5191316737146286e-10,1.4886714822642283e-28,4.459324384580282e-41,4.0356166783668586e-07,4.068888158681279e-37,5.009358529259774e-165,1.1220903914669237e-06,0.02638177651670234,5.349212496982546e-35,1.680815942341746e-07,3.5549562358188196e-16,0.9932140076193126,5.07529766207528e-10
Complexity,2.5191316737145873e-10,0.0,0.33557645271158393,0.0013549385040202656,0.44057842518543316,0.6787388106239881,0.00019627944505816564,0.0017368494808133,0.003394993463540721,1.0642268618575009e-68,6.82959341051172e-35,0.012240834294389538,1.9228455944440557e-47,0.010818999100227425
Consistency,1.4886714822642494e-28,0.33557645271158393,0.0,1.1166328006268103e-06,0.25784513901579564,1.0856455294920342e-06,2.7536763437162507e-28,0.003344791701934338,3.992885504256056e-14,1.1182852716214962e-23,0.23328152175092054,0.1619337430559395,8.560113040600152e-07,0.004724504075195526
Faithfulness,4.459324384580433e-41,0.0013549385040202656,1.1166328006268105e-06,0.0,1.2764204977355294e-07,7.96668548508788e-22,5.888408020942171e-36,0.8482224344868606,4.441308479053765e-05,9.555238813579764e-08,1.2552258593168424e-06,0.0005875472480613786,0.01585701190992467,0.003221472352181052
FaithfulnessEstimate,4.0356166783668433e-07,0.4405784251854333,0.25784513901579564,1.2764204977355294e-07,0.0,0.0016271809007012503,3.8537296413089986e-07,0.45526167990287864,0.014111710189133334,0.11778804589194736,0.005831839424316637,0.34026649487043625,0.043566012928284666,0.4758737398911814
LocalLipschitzEstimate,4.068888158681279e-37,0.6787388106239881,1.0856455294920342e-06,7.966685485087976e-22,0.0016271809007012503,0.0,7.621079516148628e-19,0.032854542004912314,0.21576446929718307,9.45168482462476e-05,0.08420589471809706,0.00010228253455003372,0.8243226010034317,8.85448184788129e-10
MaxSensitivity,5.009358529259774e-165,0.00019627944505816564,2.753676343716289e-28,5.888408020942171e-36,3.8537296413089986e-07,7.621079516148628e-19,0.0,0.4518646637062915,0.011764323490204192,9.370438419866394e-17,1.3289264093759022e-10,9.697258408618176e-07,0.05763114945403299,0.0040803594761215185
MonotonicityCorrelation,1.1220903914669307e-06,0.0017368494808133,0.003344791701934338,0.8482224344868606,0.45526167990287864,0.032854542004912314,0.4518646637062915,0.0,0.0007103037230326412,5.004529467701488e-21,0.9171973973923266,8.718205649629166e-07,6.425617107586745e-23,1.4628985311145373e-30
MonotonicityMetric,0.02638177651670234,0.0033949934635407134,3.992885504256056e-14,4.4413084790537537e-05,0.014111710189133334,0.21576446929718307,0.011764323490204192,0.0007103037230326378,0.0,0.00523957622749216,0.18245746939604046,0.20767978238031834,0.00026069659385459336,0.23511305829716894
NonSensitivity,5.349212496982546e-35,1.0642268618574444e-68,1.1182852716214962e-23,9.555238813579764e-08,0.11778804589194736,9.45168482462476e-05,9.370438419866394e-17,5.004529467701488e-21,0.00523957622749216,0.0,2.427095873775315e-20,8.499888912038987e-12,0.9432421707963492,3.6662200741120772e-09
RelativeInputStability,1.680815942341746e-07,6.829593410511893e-35,0.23328152175092054,1.2552258593168424e-06,0.005831839424316637,0.08420589471809706,1.3289264093759022e-10,0.9171973973923266,0.18245746939604046,2.427095873775315e-20,0.0,2.5855292607283532e-05,2.930959320135992e-16,0.04491740891076518
RelativeOutputStability,3.5549562358188196e-16,0.012240834294389538,0.1619337430559395,0.0005875472480613786,0.34026649487043625,0.00010228253455003372,9.697258408618176e-07,8.718205649629166e-07,0.20767978238031848,8.499888912038987e-12,2.5855292607283532e-05,0.0,3.1249890698533986e-06,1.6073270012592318e-07
Sparseness,0.9932140076193126,1.9228455944440557e-47,8.560113040600152e-07,0.01585701190992467,0.043566012928284666,0.8243226010034317,0.05763114945403299,6.425617107586503e-23,0.00026069659385459336,0.9432421707963492,2.930959320135992e-16,3.1249890698533986e-06,0.0,2.990902078418241e-11
Sufficiency,5.07529766207528e-10,0.010818999100227418,0.004724504075195526,0.0032214723521810577,0.4758737398911814,8.854481847881428e-10,0.0040803594761215185,1.4628985311145373e-30,0.23511305829716894,3.6662200741120487e-09,0.04491740891076518,1.6073270012592318e-07,2.990902078418292e-11,0.0
