metric_1,metric_2,spearman_corr,abs_corr
AvgSensitivity,MaxSensitivity,0.8802952174270656,0.8802952174270656
AvgSensitivity,LocalLipschitzEstimate,0.6408043504394095,0.6408043504394095
Complexity,Sparseness,-0.6018140229459256,0.6018140229459256
MonotonicityCorrelation,NonSensitivity,-0.5826685696356031,0.5826685696356031
AvgSensitivity,Faithfulness,-0.5586252543781611,0.5586252543781611
Faithfulness,MaxSensitivity,-0.5568590692313016,0.5568590692313016
RelativeInputStability,RelativeOutputStability,0.551345962113659,0.551345962113659
LocalLipschitzEstimate,MaxSensitivity,0.5250795619191031,0.5250795619191031
Consistency,NonSensitivity,0.5087895749946434,0.5087895749946434
AvgSensitivity,NonSensitivity,0.4871213242776305,0.4871213242776305
RelativeOutputStability,Sparseness,0.48666984818975634,0.48666984818975634
AvgSensitivity,Consistency,0.4698903611843846,0.4698903611843846
LocalLipschitzEstimate,RelativeOutputStability,0.4694767254388567,0.4694767254388567
NonSensitivity,Sparseness,0.46891961406810023,0.46891961406810023
NonSensitivity,Sufficiency,-0.46828108523861406,0.46828108523861406
MonotonicityCorrelation,Sparseness,-0.4661444149354663,0.4661444149354663
MonotonicityCorrelation,Sufficiency,0.4562538353579073,0.4562538353579073
RelativeInputStability,Sparseness,0.45040627821376483,0.45040627821376483
AvgSensitivity,RelativeOutputStability,0.431543511627607,0.431543511627607
Consistency,MaxSensitivity,0.42233948971783924,0.42233948971783924
LocalLipschitzEstimate,Sufficiency,-0.4178182396810251,0.4178182396810251
LocalLipschitzEstimate,NonSensitivity,0.41186469698961603,0.41186469698961603
Faithfulness,LocalLipschitzEstimate,-0.4035369257436094,0.4035369257436094
Consistency,RelativeOutputStability,-0.3997057531090123,0.3997057531090123
Consistency,Sparseness,0.3867238105942246,0.3867238105942246
NonSensitivity,RelativeOutputStability,0.3798643167003683,0.3798643167003683
Consistency,MonotonicityMetric,0.37655187014545183,0.37655187014545183
RelativeOutputStability,Sufficiency,-0.3634109724185418,0.3634109724185418
Sparseness,Sufficiency,-0.35436634697840447,0.35436634697840447
Complexity,RelativeInputStability,-0.33541912632821724,0.33541912632821724
MaxSensitivity,NonSensitivity,0.32667260973317536,0.32667260973317536
AvgSensitivity,Sufficiency,-0.3112669090300577,0.3112669090300577
MonotonicityMetric,NonSensitivity,0.30685215667187266,0.30685215667187266
Consistency,LocalLipschitzEstimate,0.3057561208313501,0.3057561208313501
FaithfulnessEstimate,RelativeInputStability,0.2881311202166817,0.2881311202166817
AvgSensitivity,RelativeInputStability,0.28783248836724773,0.28783248836724773
Consistency,MonotonicityCorrelation,-0.2856749047903399,0.2856749047903399
Complexity,NonSensitivity,0.26378408492917244,0.26378408492917244
Complexity,LocalLipschitzEstimate,0.2618055502293697,0.2618055502293697
LocalLipschitzEstimate,MonotonicityCorrelation,-0.242290658560243,0.242290658560243
MonotonicityCorrelation,MonotonicityMetric,-0.23862436030705253,0.23862436030705253
AvgSensitivity,Complexity,0.23477086452628526,0.23477086452628526
AvgSensitivity,MonotonicityCorrelation,-0.23166621218572644,0.23166621218572644
AvgSensitivity,FaithfulnessEstimate,-0.23149815650896371,0.23149815650896371
FaithfulnessEstimate,RelativeOutputStability,0.22968232062013905,0.22968232062013905
FaithfulnessEstimate,MaxSensitivity,-0.2189437966606788,0.2189437966606788
MaxSensitivity,Sufficiency,-0.2154000407133127,0.2154000407133127
Faithfulness,FaithfulnessEstimate,0.21330566947285087,0.21330566947285087
LocalLipschitzEstimate,RelativeInputStability,0.20950065976803944,0.20950065976803944
MonotonicityCorrelation,RelativeOutputStability,-0.1896277101211673,0.1896277101211673
FaithfulnessEstimate,LocalLipschitzEstimate,-0.18025368601471647,0.18025368601471647
Complexity,MaxSensitivity,0.16863398486073913,0.16863398486073913
MonotonicityMetric,Sparseness,0.15901689653245663,0.15901689653245663
FaithfulnessEstimate,MonotonicityMetric,0.1521754766471485,0.1521754766471485
Faithfulness,MonotonicityMetric,0.15149149352366062,0.15149149352366062
Faithfulness,NonSensitivity,-0.14657652613699895,0.14657652613699895
AvgSensitivity,Sparseness,0.13964488543075196,0.13964488543075196
Complexity,Faithfulness,-0.13480418868407412,0.13480418868407412
Consistency,Faithfulness,-0.12278895788693583,0.12278895788693583
Complexity,MonotonicityCorrelation,-0.12112402969581268,0.12112402969581268
Faithfulness,RelativeOutputStability,-0.114592872528408,0.114592872528408
RelativeInputStability,Sufficiency,-0.11217589884887331,0.11217589884887331
Faithfulness,Sufficiency,0.11207623539712001,0.11207623539712001
AvgSensitivity,MonotonicityMetric,0.10856215514463875,0.10856215514463875
LocalLipschitzEstimate,MonotonicityMetric,0.10189193214244747,0.10189193214244747
Complexity,Sufficiency,-0.0968780908731323,0.0968780908731323
MaxSensitivity,MonotonicityMetric,0.09137350356206893,0.09137350356206893
NonSensitivity,RelativeInputStability,0.07090682427111802,0.07090682427111802
MaxSensitivity,MonotonicityCorrelation,-0.0706313144354374,0.0706313144354374
Complexity,FaithfulnessEstimate,-0.06784262854974839,0.06784262854974839
Complexity,MonotonicityMetric,0.06768586910752322,0.06768586910752322
MaxSensitivity,RelativeOutputStability,0.06335530304007429,0.06335530304007429
MonotonicityMetric,RelativeInputStability,-0.05928458537573133,0.05928458537573133
LocalLipschitzEstimate,Sparseness,0.05610556175146018,0.05610556175146018
FaithfulnessEstimate,Sparseness,0.05172421701886533,0.05172421701886533
Complexity,Consistency,-0.04698496634073996,0.04698496634073996
Consistency,Sufficiency,-0.04311333645930484,0.04311333645930484
MaxSensitivity,Sparseness,0.033840177010950344,0.033840177010950344
Faithfulness,Sparseness,0.03278208551899288,0.03278208551899288
MaxSensitivity,RelativeInputStability,-0.03165497604000278,0.03165497604000278
MonotonicityMetric,Sufficiency,-0.02166980443011186,0.02166980443011186
FaithfulnessEstimate,Sufficiency,0.01874581118937855,0.01874581118937855
MonotonicityMetric,RelativeOutputStability,0.018193476988518247,0.018193476988518247
MonotonicityCorrelation,RelativeInputStability,0.014203885145000263,0.014203885145000263
Complexity,RelativeOutputStability,-0.010402290696624576,0.010402290696624576
Consistency,RelativeInputStability,0.009997684615086355,0.009997684615086355
Faithfulness,MonotonicityCorrelation,0.009064163508695012,0.009064163508695012
FaithfulnessEstimate,NonSensitivity,-0.007991752800253347,0.007991752800253347
FaithfulnessEstimate,MonotonicityCorrelation,-0.006843519217616439,0.006843519217616439
Consistency,FaithfulnessEstimate,0.003648122983638984,0.003648122983638984
Faithfulness,RelativeInputStability,-0.0003958608236683103,0.0003958608236683103
