metric,factor,H,p_value,significant_0.05
NonSensitivity,dataset_name,264.51650908190805,1.7785125325279275e-59,True
MonotonicityCorrelation,dataset_name,139.5862495414984,3.278629407447759e-32,True
LocalLipschitzEstimate,xai_method,94.37092745109908,3.2182033156568792e-21,True
Sparseness,dataset_name,79.3135274829374,5.2995601759149975e-19,True
Sufficiency,dataset_name,72.9237974957922,1.3475351492395778e-17,True
Consistency,dataset_name,67.51565078285392,2.0902125532811966e-16,True
AvgSensitivity,dataset_name,56.47332943068409,5.696582391573214e-14,True
Complexity,dataset_name,38.1595644128661,6.518941821970832e-10,True
LocalLipschitzEstimate,dataset_name,33.69737782353286,6.43874215142679e-09,True
AvgSensitivity,xai_method,31.778265608914126,1.2572953252217704e-07,True
Complexity,xai_method,29.1062493900348,4.782536029619081e-07,True
MonotonicityMetric,dataset_name,24.78254787295048,6.417590333750866e-07,True
RelativeOutputStability,dataset_name,19.3692082111437,1.0773014995559934e-05,True
MaxSensitivity,dataset_name,16.551335311572757,4.735063152572939e-05,True
Sparseness,xai_method,18.469087241323745,9.760873011343719e-05,True
RelativeOutputStability,xai_method,10.380582314674427,0.005570384720406646,True
Sufficiency,xai_method,9.899209423234925,0.007086209471785074,True
RelativeInputStability,xai_method,7.976779443763917,0.0185295278023745,True
Faithfulness,xai_method,6.790466478860813,0.033532732104640764,True
Faithfulness,dataset_name,4.230402163916679,0.03970603132059142,True
MaxSensitivity,xai_method,5.612858051232365,0.060420367198072644,False
MonotonicityCorrelation,xai_method,4.989686100180191,0.0825094002184904,False
NonSensitivity,xai_method,3.7032895870704663,0.15697875621286558,False
FaithfulnessEstimate,xai_method,2.6633807653347112,0.26403057116640677,False
MonotonicityMetric,xai_method,0.5531475748192757,0.7583776583441586,False
RelativeInputStability,dataset_name,0.017487499676178686,0.8947942180458769,False
FaithfulnessEstimate,dataset_name,0.00568578028605773,0.939893186676152,False
Consistency,xai_method,0.0,1.0,False
