component,explained_variance_ratio,cumulative_variance
PC1,0.36780795512634407,0.36780795512634407
PC2,0.1305454043360707,0.49835335946241477
PC3,0.11698544087419774,0.6153388003366125
PC4,0.0775757775038332,0.6929145778404456
PC5,0.0722378547363396,0.7651524325767852
PC6,0.059496112727214806,0.824648545304
PC7,0.04239868792548357,0.8670472332294836
PC8,0.03544740308150944,0.902494636310993
PC9,0.034533533852597206,0.9370281701635902
PC10,0.02753335238864502,0.9645615225522353
PC11,0.013464959759448588,0.9780264823116839
PC12,0.012673141447294591,0.9906996237589785
PC13,0.007670091973084466,0.9983697157320629
PC14,0.0016302842679368796,0.9999999999999998
