,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AvgSensitivity,0.4336883714106746,0.04746887206433992,0.052481476172991454,-0.06971123701382956,0.34427871637276014,0.044575201985973104,-0.04250083016804131,0.08472537824811507,-0.1845536554480716,0.23325088877684108,-0.09359190893727293,0.2322767789358216,-0.16483667794391085,0.7029925608538384
Complexity,0.37405525927015665,-0.03454690740091895,-0.001053198903587729,0.11156113627508464,-0.27448507349151574,0.2819190303353132,0.094792964753568,-0.17790690398473405,0.5168054414044745,-0.0248103412789479,0.3214581593186417,-0.17197037819115682,-0.49752568237170125,0.05329942656897197
Consistency,0.14983255578755084,0.46650917539689934,0.20349409965939458,-0.04853558598446217,-0.16008180193721044,-0.11141931898925599,-0.06077072048899125,0.5063439061101183,0.07402931665509076,0.17425946448663762,0.09684383921984906,-0.5565784811134077,0.2343075853177447,0.09017251829779702
Faithfulness,-0.34608519965128626,0.14825618387087125,0.11196054651592709,-0.029915074980295615,0.18976471774610779,-0.03346714079936496,0.35383328496509225,-0.020513609908406616,0.37581192950438985,0.6743952891686873,0.13299986346701706,0.2532966184816765,0.022285784801434456,-0.060639543637000394
FaithfulnessEstimate,-0.19856080997035427,-0.014156332089643798,0.13464811416071182,0.4717445890832913,-0.005228809660607675,0.6993760391665356,-0.3853747563895408,0.16379322417702086,-0.055303381727437234,0.1769506301765169,-0.12064607542298039,0.04638538367619518,0.0625616836806022,-0.014594181062372388
LocalLipschitzEstimate,0.15587823269828396,-0.27883006705514335,0.09791069826184921,0.5245374950062397,-0.2974047133467548,-0.3700480893818462,0.08351970465513692,-0.1183195565534233,-0.40520793539443156,0.41401728573962165,0.08993567407309976,-0.11242803420119614,-0.08428260161130245,-0.058597288274465364
MaxSensitivity,0.4199691375318482,0.14324235361479273,0.042197404240640314,-0.11137966523528808,0.3419759457445292,0.04814482484311947,-0.06765704740512299,0.16100083139571564,-0.15353222879256434,0.15769189672629252,-0.1489005117246482,0.0655970296873528,-0.31060897014685557,-0.6839343103660201
MonotonicityCorrelation,-0.06757927374468953,0.45443933169577927,-0.2765022615441141,0.2076990317758041,0.2485493941240894,-0.10241018651122075,-0.30721443439637885,-0.2331905012638038,-0.16774353245956292,-0.06561599538040173,0.639350734148922,0.08235666879817022,0.006399250553761285,-0.01631247482239829
MonotonicityMetric,-0.08607668133065968,0.2919723321879373,0.4646675508911016,0.1621160944584004,0.10991926744388987,0.22122234005613237,0.6019724211403976,-0.11682706739362501,-0.326896928155047,-0.32585331322049405,0.05885654760364998,-0.0434428310342835,-0.09665375913827869,0.019213728318179475
NonSensitivity,0.4192102816012921,-0.011084924225255805,0.1449274448164033,0.09068242982962736,-0.24996368236336333,0.03318540967396859,0.09424888760515272,0.1786883477422924,0.11409033754939132,-0.12829405646986058,0.23265651192417688,0.5763219654515762,0.5096278697978402,-0.12265605749128532
RelativeInputStability,-0.03449093433359325,-0.2707796312199248,0.2953957823306146,0.4163218462107454,0.5065815789012922,-0.3407440378819911,-0.09849917475807132,0.22879499121196456,0.37806967323580687,-0.2831370907283617,0.04486048007417252,-0.06365222579220006,-0.02839691917851112,0.012322521732038235
RelativeOutputStability,0.018961980335701043,0.16620164963787107,0.6450653831920711,-0.1841772402986491,-0.12029070092399477,-0.15424242697278048,-0.44555941231190743,-0.5016280194715682,0.09471744980474156,0.04924493741504915,-0.13141864972068126,0.06571805251247499,0.020407095604239957,-0.013029929651893533
Sparseness,-0.2768688338736881,-0.2568451521892804,0.28863982316289105,-0.3362895639457216,-0.1651945221603121,-0.012793230859014855,-0.1566377447114416,0.42815869606048806,-0.22498955175766533,-0.02730129067527351,0.4485519883250523,0.18743513177455456,-0.37114884869074827,0.014646081150579686
Sufficiency,-0.15412611144935062,0.4468530820724852,-0.11725173932408578,0.26716333095386047,-0.32302315535108167,-0.27573666228486793,-0.043071586142037765,0.2244174520404828,0.10377180126853768,-0.1480955371996324,-0.3594127609636155,0.37298922531199613,-0.3928449350776138,0.05936089673686924
