,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,1090292187.0732646,17005224243.55344,3.1980611352951915,266721666872.1745,266721666868.97644,300,54.94505494505495,246
RelativeInputStability,566.1917580364886,3558.5784584016924,2.3464039760465497e-05,34613.72709023079,34613.72706676675,303,55.494505494505496,243
LocalLipschitzEstimate,6.983250435818147,4.135931110507384,1.0921163590470946,31.374282895856595,30.282166536809502,0,0.0,546
NonSensitivity,4.347985347985348,3.3760850199854633,1.0,14.0,13.0,0,0.0,14
MaxSensitivity,2.0171331212949015,1.4177417063735371,0.2095963947857095,8.833292483891581,8.623696089105872,0,0.0,546
AvgSensitivity,1.2182112672076073,1.0594165198338665,0.0957026960939979,5.970253484235573,5.874550788141575,0,0.0,546
FaithfulnessEstimate,-0.01732039843012807,0.4533017865584526,-0.8561107938107336,0.9402389015765537,1.7963496953872873,0,0.0,533
Complexity,1.9168600541660887,0.4522852349159952,1.037681775555646,2.706899999173133,1.669218223617487,0,0.0,529
Faithfulness,-0.03056398016346258,0.4469604633250293,-0.8996075978717003,0.8567058875193109,1.7563134853910112,0,0.0,529
MonotonicityCorrelation,-0.04831730761625249,0.4327077092201953,-1.0,0.9642857142857144,1.9642857142857144,0,0.0,321
MonotonicityMetric,0.10622710622710622,0.30841062773614264,0.0,1.0,1.0,0,0.0,2
Sufficiency,0.39479798068464034,0.3033431514724322,0.0,1.0,1.0,0,0.0,175
Consistency,0.5301830702318098,0.14639920886985255,0.2439024390184414,0.9999999998571428,0.7560975608387014,0,0.0,10
Sparseness,0.4852984663219128,0.09306943764041037,0.2485629286196475,0.7144038756560138,0.46584094703636636,0,0.0,530
Monotonicity,1.0,0.0,1.0,1.0,0.0,0,0.0,1
