,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.27196827419305963,0.07808018320307088,-0.4010750779292991,-0.06428066502723803,0.36402070666364644,0.8305948382999185,-0.07440015073248354,0.3239791876152693,0.13587762629667519,-0.12828145921125048,-0.04276596269006136,-0.1809997187086227,0.10697250264262409
Complexity,0.27196827419305963,1.0,-0.2509571126965361,-0.12739144804429958,0.11180293123389844,0.030323589061539473,0.14049364631989153,-0.25114947722259245,-0.016942308715384605,0.3931120814262727,-0.5616249535950663,-0.28945984931727897,-0.47550734308799286,0.005839734721531717
Consistency,0.07808018320307088,-0.2509571126965361,1.0,-0.041576196781489126,-0.07628217234687334,0.13766836662537998,0.0951435560592283,-0.1316683413701655,-0.23150627372637025,-0.4857189432906135,0.3217592175098181,0.6242847614063698,-0.3427130629424918,0.7440392838142843
Faithfulness,-0.4010750779292991,-0.12739144804429958,-0.041576196781489126,1.0,0.09090699649519109,-0.12021452606290894,-0.381714997966017,0.06220117560024612,-0.03043298750276106,-0.1035039469064753,-0.02847623475617615,0.06722218297573758,0.10705927853273388,-0.11515811695779954
FaithfulnessEstimate,-0.06428066502723803,0.11180293123389844,-0.07628217234687334,0.09090699649519109,1.0,-0.12377333126958358,-0.02355858625628459,-0.058717174175253635,0.046044273686818925,-0.08262338426975037,-0.08233664758736493,0.11513856122404166,0.022288971363225198,-0.024202229155180104
LocalLipschitzEstimate,0.36402070666364644,0.030323589061539473,0.13766836662537998,-0.12021452606290894,-0.12377333126958358,1.0,0.2552657881675207,0.2387445548744573,0.18586898731022936,-0.13849956938800065,0.3244748925963347,0.26034648463490967,-0.3445951263491323,0.14592825985702243
MaxSensitivity,0.8305948382999185,0.14049364631989153,0.0951435560592283,-0.381714997966017,-0.02355858625628459,0.2552657881675207,1.0,-0.0020289405304180696,0.33471758280396563,0.0594598701755629,-0.16675784683374817,-0.15074956668884562,-0.07634999137990871,0.04807376588881976
MonotonicityCorrelation,-0.07440015073248354,-0.25114947722259245,-0.1316683413701655,0.06220117560024612,-0.058717174175253635,0.2387445548744573,-0.0020289405304180696,1.0,0.10713977078894059,0.008784024094435832,0.18935541189687793,-0.018283947455159353,0.19974006411206544,-0.24677905617905285
MonotonicityMetric,0.3239791876152693,-0.016942308715384605,-0.23150627372637025,-0.03043298750276106,0.046044273686818925,0.18586898731022936,0.33471758280396563,0.10713977078894059,1.0,-0.07799671906119571,,,0.00408329943739629,-0.18712733689264208
NonSensitivity,0.13587762629667519,0.3931120814262727,-0.4857189432906135,-0.1035039469064753,-0.08262338426975037,-0.13849956938800065,0.0594598701755629,0.008784024094435832,-0.07799671906119571,1.0,-0.5209657576442767,-0.03841289442225551,0.43237831618471173,-0.5789724477131597
RelativeInputStability,-0.12828145921125048,-0.5616249535950663,0.3217592175098181,-0.02847623475617615,-0.08233664758736493,0.3244748925963347,-0.16675784683374817,0.18935541189687793,,-0.5209657576442767,1.0,0.560096765979119,-0.029830026188092527,0.07885752731000882
RelativeOutputStability,-0.04276596269006136,-0.28945984931727897,0.6242847614063698,0.06722218297573758,0.11513856122404166,0.26034648463490967,-0.15074956668884562,-0.018283947455159353,,-0.03841289442225551,0.560096765979119,1.0,0.12763150545102958,0.058204740732360295
Sparseness,-0.1809997187086227,-0.47550734308799286,-0.3427130629424918,0.10705927853273388,0.022288971363225198,-0.3445951263491323,-0.07634999137990871,0.19974006411206544,0.00408329943739629,0.43237831618471173,-0.029830026188092527,0.12763150545102958,1.0,-0.5713465306914218
Sufficiency,0.10697250264262409,0.005839734721531717,0.7440392838142843,-0.11515811695779954,-0.024202229155180104,0.14592825985702243,0.04807376588881976,-0.24677905617905285,-0.18712733689264208,-0.5789724477131597,0.07885752731000882,0.058204740732360295,-0.5713465306914218,1.0
