,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,1.0289841426339414e-10,0.06829211869448527,1.6197653632330785e-22,0.13358001480935805,1.4981184390841025e-18,2.0292160062552833e-140,0.08240387307381651,8.273702436357143e-15,0.0014600997933410936,0.11284845871833973,0.598451405080271,2.091840158339781e-05,0.012382926840631095
Complexity,1.0289841426339414e-10,0.0,2.7477432197651706e-09,0.0028632831948992047,0.00893126589346135,0.4795048209934024,0.0009959035933675736,2.6698281951184055e-09,0.6928385013425283,1.2731931639243509e-21,3.524123663688827e-14,0.0002714751315655759,3.760770073557686e-32,0.891707894851205
Consistency,0.06829211869448533,2.7477432197651706e-09,0.0,0.33220153655718665,0.07491752907220726,0.0012604191476282204,0.026206653760696617,0.002049054576221884,4.459108246247868e-08,1.1437526506292188e-33,4.718647601142411e-05,5.131038672359816e-18,1.7140372856097799e-16,2.444284635205409e-97
Faithfulness,1.6197653632330785e-22,0.0028632831948992047,0.33220153655718665,0.0,0.033693391007155876,0.004911536284272381,2.2121301618290288e-20,0.14663860652783595,0.47792033553376845,0.01554192925984368,0.7259088857961964,0.40747441372635174,0.012311758781767245,0.007067258022644268
FaithfulnessEstimate,0.13358001480935805,0.00893126589346135,0.07491752907220726,0.033693391007155876,0.0,0.003771283821769396,0.5827997831625776,0.17066782620658943,0.28282086981166726,0.05366800170517161,0.310024292890774,0.15504824630934502,0.6032800825731638,0.5725421951907383
LocalLipschitzEstimate,1.4981184390841025e-18,0.4795048209934024,0.0012604191476282204,0.004911536284272381,0.003771283821769396,0.0,1.4343828572945446e-09,1.6256565141035057e-08,1.2349281115355435e-05,0.0011765594766480565,4.03508782668105e-05,0.001110539418264887,1.1440437714529266e-16,0.0006253709957753903
MaxSensitivity,2.0292160062552833e-140,0.0009959035933675695,0.026206653760696617,2.2121301618290288e-20,0.5827997831625776,1.4343828572945446e-09,0.0,0.9622733911129017,9.26248630005219e-16,0.16531338218904,0.038729759733784896,0.062014693948998424,0.07465845616311273,0.26211910600084615
MonotonicityCorrelation,0.08240387307381651,2.669828195118385e-09,0.002049054576221884,0.14663860652783595,0.17066782620658943,1.6256565141035057e-08,0.9622733911129017,0.0,0.01224606744936179,0.8377387728514093,0.018672099113191225,0.8219263612225283,2.550609941917645e-06,5.102255724476577e-09
MonotonicityMetric,8.273702436357143e-15,0.6928385013425283,4.4591082462478995e-08,0.47792033553376845,0.28282086981166726,1.2349281115355435e-05,9.26248630005219e-16,0.01224606744936179,0.0,0.06858866556453787,,,0.9241601559820376,1.0752747660015948e-05
NonSensitivity,0.0014600997933410936,1.2731931639243509e-21,1.1437526506292187e-33,0.01554192925984368,0.053668001705171574,0.0011765594766480591,0.16531338218904013,0.8377387728514093,0.06858866556453787,0.0,4.3167843872758226e-12,0.6362257796270984,2.7953137716314846e-26,3.4678353631395166e-50
RelativeInputStability,0.11284845871833973,3.524123663688827e-14,4.718647601142398e-05,0.7259088857961964,0.310024292890774,4.03508782668105e-05,0.038729759733784896,0.018672099113191225,,4.3167843872758226e-12,0.0,5.1745286210340266e-14,0.7134350500967954,0.3309818675531266
RelativeOutputStability,0.598451405080271,0.0002714751315655759,5.131038672359816e-18,0.40747441372635174,0.15504824630934502,0.001110539418264887,0.062014693948998424,0.8219263612225283,,0.6362257796270984,5.1745286210340266e-14,0.0,0.11469908796047656,0.4733585613752973
Sparseness,2.091840158339781e-05,3.760770073557686e-32,1.7140372856097799e-16,0.012311758781767245,0.6032800825731638,1.1440437714529266e-16,0.07465845616311273,2.5506099419176295e-06,0.9241601559820376,2.7953137716314846e-26,0.7134350500967954,0.11469908796047656,0.0,1.242558321210318e-48
Sufficiency,0.012382926840631095,0.891707894851205,2.444284635204913e-97,0.007067258022644265,0.5725421951907383,0.0006253709957753903,0.26211910600084615,5.102255724476577e-09,1.0752747660015948e-05,3.4678353631395166e-50,0.3309818675531266,0.4733585613752974,1.242558321210318e-48,0.0
