metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.9141692976406648,4.8697254012423895e-133,336,0.9141692976406648,True
Complexity,Sparseness,-0.7931005138487343,6.659633591427254e-74,336,0.7931005138487343,True
Consistency,Sufficiency,0.7743073363783222,2.3724648639223665e-68,336,0.7743073363783222,True
NonSensitivity,Sufficiency,-0.6926227375489438,2.562023329503326e-49,336,0.6926227375489438,True
Consistency,RelativeOutputStability,0.5834151987719932,2.4444240065074375e-09,88,0.5834151987719932,True
RelativeInputStability,RelativeOutputStability,0.5371983669898666,8.120244948659495e-08,87,0.5371983669898666,True
Consistency,NonSensitivity,-0.5332608605959898,4.3942306419139576e-26,336,0.5332608605959898,True
LocalLipschitzEstimate,RelativeInputStability,0.5227360783346835,1.7472304373666923e-07,88,0.5227360783346835,True
Sparseness,Sufficiency,-0.5117464694840744,8.014642724751619e-24,336,0.5117464694840744,True
NonSensitivity,Sparseness,0.4874497782107096,1.868993110604722e-21,336,0.4874497782107096,True
LocalLipschitzEstimate,RelativeOutputStability,0.47861998520657956,2.3967461232494474e-06,88,0.47861998520657956,True
Faithfulness,RelativeInputStability,-0.4339831986724706,2.3979011701988142e-05,88,0.4339831986724706,True
MaxSensitivity,MonotonicityMetric,0.4258565735971123,3.1038346992235074e-16,336,0.4258565735971123,True
Consistency,MonotonicityMetric,-0.4219107721393933,6.188275723278424e-16,336,0.4219107721393933,True
Faithfulness,MaxSensitivity,-0.42000127489231254,8.613622179888133e-16,336,0.42000127489231254,True
AvgSensitivity,MonotonicityMetric,0.4128284566228221,2.928078185568052e-15,336,0.4128284566228221,True
NonSensitivity,RelativeOutputStability,0.3852100158731939,0.0002105445863895715,88,0.3852100158731939,True
AvgSensitivity,LocalLipschitzEstimate,0.3665090191264955,4.033034616260104e-12,336,0.3665090191264955,True
Consistency,Sparseness,-0.36608430066920516,4.2872481013790014e-12,336,0.36608430066920516,True
AvgSensitivity,Faithfulness,-0.36392297694500647,5.843407801775581e-12,336,0.36392297694500647,True
AvgSensitivity,RelativeOutputStability,0.3561163749075411,0.0006610046510881884,88,0.3561163749075411,True
MaxSensitivity,RelativeInputStability,0.33533514141805504,0.0014043569367085385,88,0.33533514141805504,True
FaithfulnessEstimate,RelativeOutputStability,0.3303188538648534,0.0016717928887613794,88,0.3303188538648534,True
LocalLipschitzEstimate,MaxSensitivity,0.31352204640215625,4.246307656985861e-09,336,0.31352204640215625,True
MonotonicityMetric,Sufficiency,-0.2997614640552699,2.09917160178798e-08,336,0.2997614640552699,True
AvgSensitivity,RelativeInputStability,0.29660808002536015,0.005014704007891607,88,0.29660808002536015,True
MonotonicityCorrelation,Sufficiency,-0.27422488741686357,3.288654301326908e-07,336,0.27422488741686357,True
MonotonicityCorrelation,Sparseness,0.26499150926706655,8.322794737247969e-07,336,0.26499150926706655,True
Consistency,MonotonicityCorrelation,-0.2503538164793187,3.3817507454744248e-06,336,0.2503538164793187,True
MaxSensitivity,RelativeOutputStability,0.24604628227255115,0.020846013748445733,88,0.24604628227255115,True
MonotonicityCorrelation,NonSensitivity,0.22562236761617152,2.989540464401392e-05,336,0.22562236761617152,True
Consistency,RelativeInputStability,-0.22037552239896363,0.03909502861369882,88,0.22037552239896363,True
LocalLipschitzEstimate,MonotonicityCorrelation,0.21929554627870207,5.029962714543134e-05,336,0.21929554627870207,True
FaithfulnessEstimate,RelativeInputStability,0.21735072163430835,0.041935017024212415,88,0.21735072163430835,True
Complexity,MonotonicityMetric,0.21367113724261988,7.889037136435651e-05,336,0.21367113724261988,True
RelativeOutputStability,Sparseness,0.21005265849227162,0.04949904206400456,88,0.21005265849227162,True
FaithfulnessEstimate,NonSensitivity,-0.20988633818578192,0.00010609862057304982,336,0.20988633818578192,True
LocalLipschitzEstimate,MonotonicityMetric,0.19326636761493063,0.0003665300095821513,336,0.19326636761493063,True
RelativeOutputStability,Sufficiency,-0.1740784955425152,0.10478994859753002,88,0.1740784955425152,False
Complexity,MaxSensitivity,0.17112854939062044,0.0016416442059135905,336,0.17112854939062044,True
AvgSensitivity,Complexity,0.16739134595511232,0.002079410074300698,336,0.16739134595511232,True
Complexity,NonSensitivity,-0.1587307246685841,0.0035312556104715015,336,0.1587307246685841,True
MonotonicityMetric,NonSensitivity,0.14183138871021245,0.009233198599185663,336,0.14183138871021245,True
Complexity,MonotonicityCorrelation,-0.13370392164721798,0.014177980048513597,336,0.13370392164721798,True
MonotonicityCorrelation,RelativeInputStability,0.1317834579355442,0.22098680481004648,88,0.1317834579355442,False
MaxSensitivity,Sparseness,-0.12402653102860449,0.022980576241490476,336,0.12402653102860449,True
MaxSensitivity,Sufficiency,0.12243999334415971,0.02480350170548715,336,0.12243999334415971,True
Faithfulness,Sufficiency,-0.11958574463109903,0.02839793981902574,336,0.11958574463109903,True
Faithfulness,NonSensitivity,0.11821697581856612,0.030274541697072565,336,0.11821697581856612,True
MonotonicityCorrelation,RelativeOutputStability,0.11506014563692654,0.28575654502991593,88,0.11506014563692654,False
Complexity,FaithfulnessEstimate,0.11496426421937808,0.03516393801025413,336,0.11496426421937808,True
Complexity,Sufficiency,0.10798580925705703,0.04794867246568091,336,0.10798580925705703,True
Faithfulness,Sparseness,0.10565075432285569,0.05301343579491604,336,0.10565075432285569,False
LocalLipschitzEstimate,NonSensitivity,0.0936985880701294,0.08636402021271013,336,0.0936985880701294,False
MaxSensitivity,NonSensitivity,-0.09214476741811024,0.09173102549997261,336,0.09214476741811024,False
FaithfulnessEstimate,MonotonicityMetric,0.08865842019208323,0.10474438218694723,336,0.08865842019208323,False
AvgSensitivity,Sparseness,-0.0884221035805281,0.10567676174112987,336,0.0884221035805281,False
Complexity,LocalLipschitzEstimate,0.08831881523061542,0.10608633550548908,336,0.08831881523061542,False
