metric,factor,H,p_value,significant_0.05
NonSensitivity,dataset_name,276.7589916107008,7.990032819058087e-61,True
Sufficiency,dataset_name,257.82687780518995,1.031822137757384e-56,True
LocalLipschitzEstimate,xai_method,253.09723198516326,1.09808101233436e-55,True
Consistency,dataset_name,233.18610653335887,2.3135577147992318e-51,True
Complexity,dataset_name,173.5861068754948,2.0242112044914835e-38,True
Sparseness,dataset_name,113.50818354006782,2.2491121870563036e-25,True
NonSensitivity,xai_method,108.86641591789638,2.290646914092783e-24,True
Complexity,xai_method,74.0113596951057,8.484718596754298e-17,True
MonotonicityMetric,dataset_name,69.52756235590097,7.985123994336576e-16,True
LocalLipschitzEstimate,dataset_name,60.01447596915568,9.290137163338822e-14,True
Sparseness,xai_method,37.76771594657415,6.292810955547349e-09,True
RelativeOutputStability,dataset_name,29.61247659176024,5.2764215321360264e-08,True
MonotonicityCorrelation,dataset_name,32.70448267008896,7.912465354700792e-08,True
RelativeOutputStability,xai_method,25.022006974041005,3.6858717725423914e-06,True
RelativeInputStability,xai_method,23.320531154239006,8.630004105718595e-06,True
MonotonicityCorrelation,xai_method,21.3566300983218,2.3039163040561938e-05,True
AvgSensitivity,xai_method,17.000244125840254,0.0002034435345830815,True
Faithfulness,dataset_name,12.210219230296891,0.002231436757389015,True
Consistency,xai_method,6.987152055964767,0.030391994988798143,True
MonotonicityMetric,xai_method,6.867482627412616,0.032265997452014646,True
Sufficiency,xai_method,6.803341024803256,0.0333175660389742,True
RelativeInputStability,dataset_name,4.225187265917555,0.03982822399846328,True
FaithfulnessEstimate,xai_method,6.265802130469102,0.04359115286165174,True
Faithfulness,xai_method,6.244535545837246,0.044057143448815,True
MaxSensitivity,xai_method,4.663515109307923,0.09712489468162747,False
AvgSensitivity,dataset_name,2.167128928722832,0.14098924273038924,False
FaithfulnessEstimate,dataset_name,3.543181070577581,0.17006228353606448,False
MaxSensitivity,dataset_name,0.01065961498352408,0.9177681993427781,False
