component,explained_variance_ratio,cumulative_variance
PC1,0.2996062725851421,0.2996062725851421
PC2,0.20340482072965566,0.5030110933147978
PC3,0.11247155600012809,0.6154826493149259
PC4,0.09250571072537199,0.7079883600402979
PC5,0.08513685765720302,0.7931252176975009
PC6,0.0740112427930797,0.8671364604905806
PC7,0.04991272408883723,0.9170491845794178
PC8,0.04215336451104702,0.9592025490904648
PC9,0.020496226312160745,0.9796987754026255
PC10,0.010609500627406149,0.9903082760300317
PC11,0.004791496941998142,0.9950997729720298
PC12,0.0035516888033682893,0.9986514617753981
PC13,0.0013485382246019193,1.0
PC14,5.677265250548608e-35,1.0
