,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AvgSensitivity,-0.02955547420294927,0.5917595311311511,-0.06065384524639756,0.009315254937177704,-0.09413206523411372,-0.10218479453725997,-0.07139194023174891,-0.08674009738381032,-0.18260037293196812,0.11232367873660049,0.29586656733982125,0.6834127909617614,-0.11273270713898219,0.0
Complexity,-0.3707066848061849,-0.05766431015414051,0.45581769115119997,-0.11447632466109865,-0.06586148104119174,-0.06332010037885617,0.20911044191149517,-0.3780550909546071,-0.13081812296401904,-0.210730727450856,-0.22803760677755247,0.21733433146879605,0.5316207329125417,-9.91883286398525e-16
Consistency,0.22037374094367929,0.19955678996106138,0.44260608570745985,0.5370353048301584,0.07157010569561383,0.12159734743103275,-0.031032726695540268,-0.24284517411168774,0.13700246715866593,-0.14761311467993998,-0.3677114930985856,0.014423239194487743,-0.414103070355505,-1.090691711791556e-16
Faithfulness,0.40467882047016207,-0.20712132399359304,0.16851480239135136,0.20369610132602176,-0.21224018113523183,0.02089129616188087,0.12397747351708654,-0.09279291945107856,-0.25976337548129225,0.7293252987456437,-0.0017312034880669637,0.03369950372173901,0.2311971718199928,-6.087758532790137e-16
FaithfulnessEstimate,-0.2700315922551536,0.1484204272791193,0.35303723433488393,0.12461036480687653,0.20462957022685477,0.12948395390137873,0.48728652855162186,0.6541724956750965,-0.1093374663328583,0.11221106289471117,0.11020002558016166,-0.033550391079541324,-0.0551945215755967,1.9569621959433604e-16
LocalLipschitzEstimate,0.12295042653782985,0.4678984923986357,-0.040330141435506596,-0.35267445170322104,-0.013408703706823894,-0.06040481743479497,0.3804224582345575,-0.16038398375782104,0.5635989760103843,0.2711522567609269,-0.17470373868719852,-0.1962308406807043,0.07402910712115167,-1.95491361488781e-16
MaxSensitivity,-0.18015974271321544,0.5146031593004896,-0.04632720605253539,0.0684902265039942,-0.14428767586003693,-0.11052758093700772,-0.2884588883360972,0.032920041470738466,-0.46565003974862995,0.06905693957456766,-0.2168852611150749,-0.5409757139666309,0.13141018012651878,-1.2804030376599738e-16
MonotonicityCorrelation,0.08350467358274152,0.04821472107983541,-0.2095978266000986,-0.006862108699390589,0.8531511783115765,0.08807590990777776,0.14166603421278898,-0.31105263072076356,-0.2893457037807594,0.08089020067422911,-0.0005431698528464478,-0.03199778703348267,0.05466584995512934,-1.4389061321733086e-17
MonotonicityMetric,-0.0,-1.3552527156068805e-20,-0.0,1.6653345369377348e-16,5.551115123125783e-17,-0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,5.551115123125783e-16,-1.7763568394002505e-15,8.36136715420821e-16,1.1102230246251565e-15,1.0
NonSensitivity,0.4172488087647029,0.09808239018261,0.3568318308514393,-0.1463430810701776,-0.05260673532572344,-0.09888265269451765,0.1237439479768535,-0.1553773206371443,-0.13351473836654446,-0.3351106922147496,0.6236964010343402,-0.3101316391435693,0.015293911892882182,1.3855038842593746e-15
RelativeInputStability,0.12990131477023828,-0.04372649502726495,0.4346703938793543,-0.33657271614593415,0.3332272418891398,-0.4597090831453828,-0.47819836140973193,0.2500170119777778,0.09577729773012501,0.1666013877768153,-0.13530506175250792,0.09971470180800414,-0.016102416765626296,-3.4255135963260846e-16
RelativeOutputStability,0.0419178067034426,0.08155712145628234,0.20759648234788755,-0.386296475073408,-0.007101242659168894,0.8346229067762647,-0.3084159389663636,0.013461538015969568,-0.029014650324747534,0.07228956545684709,-0.005336188893276233,0.03286286306745563,0.012106395749923237,-9.92932027458137e-17
Sparseness,0.409354913459237,0.19199836162630357,-0.13874675592838343,0.292674889891285,0.10042486591497746,0.09788312364361679,-0.11797786943942812,0.33488613214844215,0.18077111952088723,-0.27812727186161984,-0.08651649172575454,0.1309230946295793,0.640517942512968,-9.697117619657035e-16
Sufficiency,-0.4020069589659194,0.025050738617032945,0.1153274516370609,0.3777344527128539,0.14815829239822628,0.05148981078332082,-0.31043511421724385,-0.1774359098639017,0.4154854130220217,0.26307454297824306,0.46981261464581436,-0.16344058936326386,0.2001262660725315,4.3475832744916807e-16
