,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.06815303156545252,0.17571239555377421,-0.050544830202628496,-0.05411436472253481,-0.08834606012540702,0.9504628809628558,-0.04382828725660414,-0.19290661818385627,0.1748988257924218,0.1717263525567595,0.5662759349053264,0.009392206163785005,0.2852560920802995
Complexity,0.06815303156545252,1.0,-0.6792321013709,-0.13854911894064445,0.06611672801807918,-0.03650698939749365,0.06271816515679957,-0.040378373221778056,0.10195565899141354,-0.6004202999868207,0.536802806354998,-0.13108743036458798,-0.9019771880386118,0.5073132020836795
Consistency,0.17571239555377421,-0.6792321013709,1.0,0.09128126331470766,-0.18399940783840213,0.13898839888564188,0.17594770065585943,-0.07861965220393898,-0.24173685036189582,0.6177041171012179,-0.4330341737248256,0.3103652026844664,0.6757868954341544,-0.4924804906797542
Faithfulness,-0.050544830202628496,-0.13854911894064445,0.09128126331470766,1.0,0.07936309644048833,-0.13560865913028958,0.027970560207419396,0.0510025612098669,0.2231763166652572,0.014947552151749538,0.11777237204591294,0.1331416637608601,0.15487961663844468,-0.25528090088014854
FaithfulnessEstimate,-0.05411436472253481,0.06611672801807918,-0.18399940783840213,0.07936309644048833,1.0,-0.059099831457405876,-0.05803231758184493,0.038589796057201815,0.09209072427140401,-0.1640230498125412,0.01306568570994276,-0.013881280886225261,-0.03986267031182073,0.06594793517965629
LocalLipschitzEstimate,-0.08834606012540702,-0.03650698939749365,0.13898839888564188,-0.13560865913028958,-0.059099831457405876,1.0,-0.240539411278891,-0.3038210929935888,-0.03254394609018111,-0.044665073984814924,0.13317780253498898,0.10477256271417577,-0.1169781149129934,-0.12852022524236537
MaxSensitivity,0.9504628809628558,0.06271816515679957,0.17594770065585943,0.027970560207419396,-0.05803231758184493,-0.240539411278891,1.0,0.011884225107399511,-0.20407163145494764,0.15885208105889245,0.16460265185542972,0.48379493381967403,0.029602980826351093,0.2723642555933704
MonotonicityCorrelation,-0.04382828725660414,-0.040378373221778056,-0.07861965220393898,0.0510025612098669,0.038589796057201815,-0.3038210929935888,0.011884225107399511,1.0,0.19292384298473883,-0.061607317395511736,-0.10248631963474279,-0.19968497216069314,-0.0036412997350135793,-0.013852996134150732
MonotonicityMetric,-0.19290661818385627,0.10195565899141354,-0.24173685036189582,0.2231763166652572,0.09209072427140401,-0.03254394609018111,-0.20407163145494764,0.19292384298473883,1.0,-0.15438854758563494,0.049030055948892995,-0.1322619675434598,-0.13708162509771624,-0.07843692729870985
NonSensitivity,0.1748988257924218,-0.6004202999868207,0.6177041171012179,0.014947552151749538,-0.1640230498125412,-0.044665073984814924,0.15885208105889245,-0.061607317395511736,-0.15438854758563494,1.0,-0.6661061231493507,0.3367966378619267,0.7571782956048364,-0.2859049508174477
RelativeInputStability,0.1717263525567595,0.536802806354998,-0.4330341737248256,0.11777237204591294,0.01306568570994276,0.13317780253498898,0.16460265185542972,-0.10248631963474279,0.049030055948892995,-0.6661061231493507,1.0,0.11559132201033019,-0.668699646481055,0.2820750684178359
RelativeOutputStability,0.5662759349053264,-0.13108743036458798,0.3103652026844664,0.1331416637608601,-0.013881280886225261,0.10477256271417577,0.48379493381967403,-0.19968497216069314,-0.1322619675434598,0.3367966378619267,0.11559132201033019,1.0,0.23523012800649037,-0.0105745236172399
Sparseness,0.009392206163785005,-0.9019771880386118,0.6757868954341544,0.15487961663844468,-0.03986267031182073,-0.1169781149129934,0.029602980826351093,-0.0036412997350135793,-0.13708162509771624,0.7571782956048364,-0.668699646481055,0.23523012800649037,1.0,-0.38071619415747915
Sufficiency,0.2852560920802995,0.5073132020836795,-0.4924804906797542,-0.25528090088014854,0.06594793517965629,-0.12852022524236537,0.2723642555933704,-0.013852996134150732,-0.07843692729870985,-0.2859049508174477,0.2820750684178359,-0.0105745236172399,-0.38071619415747915,1.0
