,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,0.11167535309903194,3.6503733055714234e-05,0.23835437129057493,0.20676952814105268,0.03905031357173757,3.122735476692823e-278,0.30665590154028544,5.626482326127443e-06,3.971240899386608e-05,8.833821363549458e-05,3.5653148482575064e-45,0.8266763847944644,1.1072963230748252e-11
Complexity,0.11167535309903201,0.0,4.1213699180751156e-75,0.001171726613568098,0.12281279964340162,0.39456129479855506,0.14330450837197137,0.3463315070126653,0.01716685288252658,8.747363838010743e-55,7.534979688284468e-40,0.002823759179408174,1.4567756935766766e-200,4.753829115033894e-37
Consistency,3.6503733055714234e-05,4.1213699180751156e-75,0.0,0.032965591600120796,1.5143614593279444e-05,0.001129674149850628,3.562247912682619e-05,0.06640065351542461,1.0609124501950266e-08,9.443441344990208e-59,5.348143949710902e-25,5.240416093583071e-13,4.331263108718345e-74,1.0602401338799456e-34
Faithfulness,0.23835437129057493,0.001171726613568101,0.032965591600120796,0.0,0.06386474222530215,0.001492486535034443,0.5142671036657616,0.23412429278106459,1.3676950388798413e-07,0.7274698802414948,0.0074038472392414624,0.002417229143578489,0.0002805088322295285,1.4310858259817093e-09
FaithfulnessEstimate,0.20676952814105268,0.12281279964340162,1.5143614593279444e-05,0.06386474222530215,0.0,0.16789311070211743,0.1757191348112134,0.36812945920891477,0.03143730388126303,0.00011812306983141346,0.7671627390409673,0.7528537673608244,0.3525307686459316,0.1237735170159525
LocalLipschitzEstimate,0.03905031357173757,0.39456129479855506,0.001129674149850628,0.001492486535034443,0.1678931107021173,0.0,1.2593520430598891e-08,4.0104721760449687e-13,0.4479117676597015,0.29750398565415564,0.0024342635082167116,0.017168651559445955,0.006209241980137031,0.002623766602222951
MaxSensitivity,3.122735476692823e-278,0.14330450837197137,3.562247912682619e-05,0.5142671036657614,0.1757191348112134,1.2593520430598891e-08,0.0,0.7817280378553055,1.5227227078301206e-06,0.0001937539759032784,0.00017290421415948955,1.0938684023211349e-31,0.4900129101369137,9.645084509847627e-11
MonotonicityCorrelation,0.30665590154028544,0.34633150701266524,0.06640065351542461,0.23412429278106459,0.36812945920891477,4.0104721760449687e-13,0.7817280378553055,0.0,5.615467403465518e-06,0.15054109292985796,0.01988398027319182,4.750050289901289e-06,0.9323486551663495,0.7467167025509026
MonotonicityMetric,5.6264823261274606e-06,0.017166852882526576,1.0609124501950344e-08,1.367695038879841e-07,0.03143730388126303,0.44791176765970137,1.5227227078301206e-06,5.615467403465518e-06,0.0,0.00029345854754035374,0.2662600921974961,0.0025842920119220885,0.0013228916490049857,0.06703643795056614
NonSensitivity,3.971240899386608e-05,8.747363838010743e-55,9.443441344990208e-59,0.7274698802414947,0.00011812306983141284,0.2975039856541557,0.0001937539759032784,0.15054109292985796,0.00029345854754035374,0.0,1.8476151251597485e-67,3.5316627350986437e-15,1.1021979362673182e-102,9.90036892876083e-12
RelativeInputStability,8.833821363549458e-05,7.534979688284468e-40,5.348143949710902e-25,0.007403847239241474,0.7671627390409673,0.0024342635082167116,0.00017290421415948955,0.01988398027319182,0.2662600921974961,1.8476151251596536e-67,0.0,0.008584381071238224,3.6999900700661143e-68,6.803113002863738e-11
RelativeOutputStability,3.5653148482575064e-45,0.002823759179408174,5.240416093583071e-13,0.002417229143578489,0.7528537673608244,0.017168651559445955,1.0938684023211349e-31,4.750050289901289e-06,0.0025842920119220885,3.5316627350985727e-15,0.008584381071238224,0.0,6.241163349241356e-08,0.8104354009640218
Sparseness,0.8266763847944644,1.4567756935766766e-200,4.331263108718104e-74,0.0002805088322295285,0.3525307686459316,0.006209241980137025,0.4900129101369137,0.9323486551663495,0.0013228916490049857,1.1021979362673182e-102,3.6999900700661143e-68,6.241163349241356e-08,0.0,2.826012191208848e-20
Sufficiency,1.1072963230748252e-11,4.753829115033894e-37,1.0602401338799786e-34,1.4310858259816983e-09,0.12377351701595267,0.002623766602222951,9.645084509847627e-11,0.7467167025509026,0.06703643795056614,9.90036892876083e-12,6.803113002863738e-11,0.8104354009640218,2.826012191208848e-20,0.0
