metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.9504628809628558,3.122735476692823e-278,546,0.9504628809628558,True
Complexity,Sparseness,-0.9019771880386118,1.4567756935766766e-200,546,0.9019771880386118,True
NonSensitivity,Sparseness,0.7571782956048364,1.1021979362673182e-102,546,0.7571782956048364,True
Complexity,Consistency,-0.6792321013709,4.1213699180751156e-75,546,0.6792321013709,True
Consistency,Sparseness,0.6757868954341544,4.331263108718345e-74,546,0.6757868954341544,True
RelativeInputStability,Sparseness,-0.668699646481055,3.6999900700661143e-68,516,0.668699646481055,True
NonSensitivity,RelativeInputStability,-0.6661061231493507,1.8476151251597485e-67,516,0.6661061231493507,True
Consistency,NonSensitivity,0.6177041171012179,9.443441344990208e-59,546,0.6177041171012179,True
Complexity,NonSensitivity,-0.6004202999868207,8.747363838010743e-55,546,0.6004202999868207,True
AvgSensitivity,RelativeOutputStability,0.5662759349053264,3.5653148482575064e-45,517,0.5662759349053264,True
Complexity,RelativeInputStability,0.536802806354998,7.534979688284468e-40,516,0.536802806354998,True
Complexity,Sufficiency,0.5073132020836795,4.753829115033894e-37,546,0.5073132020836795,True
Consistency,Sufficiency,-0.4924804906797542,1.0602401338799456e-34,546,0.4924804906797542,True
MaxSensitivity,RelativeOutputStability,0.48379493381967403,1.0938684023211349e-31,517,0.48379493381967403,True
Consistency,RelativeInputStability,-0.4330341737248256,5.348143949710902e-25,516,0.4330341737248256,True
Sparseness,Sufficiency,-0.38071619415747915,2.826012191208848e-20,546,0.38071619415747915,True
NonSensitivity,RelativeOutputStability,0.3367966378619267,3.5316627350986437e-15,517,0.3367966378619267,True
Consistency,RelativeOutputStability,0.3103652026844664,5.240416093583071e-13,517,0.3103652026844664,True
LocalLipschitzEstimate,MonotonicityCorrelation,-0.3038210929935888,4.0104721760449687e-13,546,0.3038210929935888,True
NonSensitivity,Sufficiency,-0.2859049508174477,9.90036892876083e-12,546,0.2859049508174477,True
AvgSensitivity,Sufficiency,0.2852560920802995,1.1072963230748252e-11,546,0.2852560920802995,True
RelativeInputStability,Sufficiency,0.2820750684178359,6.803113002863738e-11,516,0.2820750684178359,True
MaxSensitivity,Sufficiency,0.2723642555933704,9.645084509847627e-11,546,0.2723642555933704,True
Faithfulness,Sufficiency,-0.25528090088014854,1.4310858259817093e-09,546,0.25528090088014854,True
Consistency,MonotonicityMetric,-0.24173685036189582,1.0609124501950266e-08,546,0.24173685036189582,True
LocalLipschitzEstimate,MaxSensitivity,-0.240539411278891,1.2593520430598891e-08,546,0.240539411278891,True
RelativeOutputStability,Sparseness,0.23523012800649037,6.241163349241356e-08,517,0.23523012800649037,True
Faithfulness,MonotonicityMetric,0.2231763166652572,1.3676950388798413e-07,546,0.2231763166652572,True
MaxSensitivity,MonotonicityMetric,-0.20407163145494764,1.5227227078301206e-06,546,0.20407163145494764,True
MonotonicityCorrelation,RelativeOutputStability,-0.19968497216069314,4.750050289901289e-06,517,0.19968497216069314,True
MonotonicityCorrelation,MonotonicityMetric,0.19292384298473883,5.615467403465518e-06,546,0.19292384298473883,True
AvgSensitivity,MonotonicityMetric,-0.19290661818385627,5.626482326127443e-06,546,0.19290661818385627,True
Consistency,FaithfulnessEstimate,-0.18399940783840213,1.5143614593279444e-05,546,0.18399940783840213,True
Consistency,MaxSensitivity,0.17594770065585943,3.562247912682619e-05,546,0.17594770065585943,True
AvgSensitivity,Consistency,0.17571239555377421,3.6503733055714234e-05,546,0.17571239555377421,True
AvgSensitivity,NonSensitivity,0.1748988257924218,3.971240899386608e-05,546,0.1748988257924218,True
AvgSensitivity,RelativeInputStability,0.1717263525567595,8.833821363549458e-05,516,0.1717263525567595,True
MaxSensitivity,RelativeInputStability,0.16460265185542972,0.00017290421415948955,516,0.16460265185542972,True
FaithfulnessEstimate,NonSensitivity,-0.1640230498125412,0.00011812306983141346,546,0.1640230498125412,True
