component,explained_variance_ratio,cumulative_variance
PC1,0.2120140672756484,0.2120140672756484
PC2,0.1499494127573364,0.3619634800329848
PC3,0.13132477753430025,0.493288257567285
PC4,0.08846535196546954,0.5817536095327546
PC5,0.08003046270333024,0.6617840722360848
PC6,0.07339670430238383,0.7351807765384687
PC7,0.06518085429666057,0.8003616308351292
PC8,0.05607320501343897,0.8564348358485682
PC9,0.05018006901735158,0.9066149048659198
PC10,0.03910857002466414,0.945723474890584
PC11,0.027999218742549164,0.9737226936331331
PC12,0.018188028911675078,0.9919107225448082
PC13,0.008051107187564036,0.9999618297323722
PC14,3.817026762781453e-05,1.0
