,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AvgSensitivity,-0.24729661082639648,0.4705942860492467,0.4182929700766484,-0.05169647574526286,0.031565705531299094,-0.0007352136578825567,-0.04748142326004746,-0.1258944326592117,-0.11293300910093758,0.07359807063856831,-0.035203849854864605,-0.03146576922114426,0.014972989290471393,0.7071201490026082
Complexity,0.522362539492841,0.005406749037090334,0.11984978366839294,-0.0719522914522187,0.02378612187854739,0.011343177547462759,-0.05460334966433609,-0.04248222722654047,-0.16498354200214682,0.2231662484941451,-0.12229518867527703,-0.4694982254769108,0.624242042279201,0.0008723340784950063
Consistency,-0.21992305565538825,-0.3702184991335891,0.3628301498452128,-0.19731234838305511,0.12822644899487318,0.10928135092339604,0.10403992754980307,0.17635427416017552,0.10991018059133344,0.07765467279981995,0.6623030312639661,-0.34153619340925195,-0.016770876459717886,0.0007903646713337622
Faithfulness,-0.08869344831207733,0.28332466810322365,-0.32735168951512333,-0.16557121798010002,-0.26985035828460346,0.20377227656944943,0.059011676784496425,0.5913285456553831,-0.22947212588837435,0.49631618048494053,0.08772749632676011,-0.003057521088979017,-0.05568186877926975,0.0005694047990425543
FaithfulnessEstimate,0.05183771792157826,0.2240670631018801,-0.10953650988321842,-0.3539745413697732,0.02304076202947326,-0.36548289278144297,0.7349497562772471,-0.01008282718600382,0.3050917886729352,-0.06968738630465311,-0.08991377229413659,-0.1680931172402081,-0.03421471139351087,-0.0011788546758500678
LocalLipschitzEstimate,0.010197547364216391,-0.10147792915081576,0.2451249526744688,0.5528067116853763,-0.30704706241535884,-0.3987458245635185,0.076915292414224,0.04524317817101935,0.33211317041414823,0.4936813349914401,0.012182357031574853,0.0902018099739221,0.019268721070198225,-0.0011045603062826883
MaxSensitivity,-0.24792200084390834,0.47002048013450326,0.4183404561237241,-0.05218892509982155,0.030022127070379614,-0.00014115411390704747,-0.0488283913482728,-0.12495147294474422,-0.11514317005604607,0.07221576736274445,-0.03434170306286004,-0.03310804375002386,0.016249804450581783,-0.7070869538087445
MonotonicityCorrelation,-0.08574017733787555,0.1726755437593667,-0.27676304344422425,0.051069618293530294,0.6011412451828362,0.23395383224742788,-0.1645817672999883,-0.139173160600601,0.5184101478210602,0.3825879615278019,-0.02376308365455782,-0.0702346375181174,0.021010158452966537,-0.0016512194881910954
MonotonicityMetric,0.11149828719885008,0.3524330467748894,-0.39137555245981065,0.21057094541198174,-0.17023119791257535,-0.17623420323839487,-0.08007880873507543,-0.38772421389672324,-0.11067153904598759,-0.08391631866589135,0.6367568253048854,-0.15546363970975946,-0.012072521328068016,0.0004635569756829458
NonSensitivity,-0.36178103580235754,-0.2950791099992273,-0.18980237372222333,-0.024511654556646778,-0.019198957384750977,-0.14730759308312047,0.021065572266541568,-0.36628857666558373,-0.35334221234686897,0.30698743741656487,-0.2858241504733695,-0.45600289073607114,-0.2828632829733946,0.00032871749239366086
RelativeInputStability,0.030643165816968312,-0.02171295057085195,0.05623847607174555,0.2899801683263412,-0.2049061366039556,0.7123769796636359,0.5213482508909039,-0.2955108177060877,-0.010222561858344345,0.03819427890904191,-0.017042677212881482,0.02479284175082981,0.016480528167836867,-0.00032019076091491835
RelativeOutputStability,0.02206325070630239,-0.025212784483869564,0.020005242242071716,-0.46801334500044783,-0.5915002407498724,0.16019949244521192,-0.3332867659795754,-0.25723606882723454,0.46047454754257455,0.05136241001465124,-0.06512011664519742,-0.06385439354868887,-0.060506020074464754,0.0002329202356369409
Sparseness,-0.4903260348424998,-0.15760880185915505,-0.18848569135115112,-0.1520406442027389,-0.05410683384951534,-0.09376293612147851,0.09115213435293211,-0.17521500515815308,-0.055628741978384334,0.0743113051291841,0.07653314219649936,0.3748855813701386,0.6858244569924079,0.0003882302337861412
Sufficiency,0.3911246002749645,-0.11273358661664286,0.1410020195623071,-0.3440887007632149,0.16721787800286136,-0.06633623640266635,0.082883503281294,-0.3094352945593021,-0.23993102820042775,0.4258539505251848,0.17304080473958033,0.49210308372846756,-0.22365907479000396,-0.001207496818844855
