,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.35228161512166734,0.002838166994943705,0.005666114909192245,-0.01677157185266472,0.2135968621888485,0.9390884814161067,0.08230415640650786,-0.32026701519367595,-0.0064042301038841985,-0.05135662896419934,0.23268659923976845,0.07020777076090444,-0.43647047686972823,0.32963527020026434
Complexity,0.35228161512166734,1.0,0.531250120692417,-0.12075422790341084,0.09368667397166786,0.04098644309234373,0.3234108993589054,0.41094724000295224,-0.12462492086097607,-0.04414832104396948,0.25515134743889134,-0.4762252266142175,-0.3110835190044041,-0.527848825574302,0.4627275716738742
Consistency,0.002838166994943705,0.531250120692417,1.0,-0.42558186983256474,-0.009040936104831518,-0.01651784235985673,-0.029071119842412892,0.5315298384010508,0.005264877928603539,-0.11883225131804931,0.7555507970373574,-0.7717436220251999,-0.17389737582625375,0.3086665003404952,0.21051370532513705
Faithfulness,0.005666114909192245,-0.12075422790341084,-0.42558186983256474,1.0,0.177419806096659,0.1251153354972351,0.02523736599177285,-0.18128713035976057,-0.03223420596945682,0.0542315655605513,-0.24305186998345238,0.12364323514794966,-0.05498046507537678,-0.1567942416778772,-0.19954025480213666
FaithfulnessEstimate,-0.01677157185266472,0.09368667397166786,-0.009040936104831518,0.177419806096659,1.0,0.058729861789083904,-0.0317668913445711,0.058153572787661506,-0.043468848052426075,0.07235417415239381,0.030409931869383948,0.04765500127600704,-0.004902059020374582,-0.016794872749494833,0.08316950220662
LocalLipschitzEstimate,0.2135968621888485,0.04098644309234373,-0.01651784235985673,0.1251153354972351,0.058729861789083904,1.0,0.08852572381076482,-0.008733791819404651,-0.03488265149735831,-0.018395129021795038,0.024872207227901077,0.007846939597856309,-0.024960310766172385,-0.1126081327585999,0.057068013899189134
MaxSensitivity,0.9390884814161067,0.3234108993589054,-0.029071119842412892,0.02523736599177285,-0.0317668913445711,0.08852572381076482,1.0,0.07782970148425129,-0.35498735973366224,-0.0061317096739316795,-0.09510044049488336,0.2255656404883749,0.01482032985082767,-0.44234659411900223,0.31485663470156117
Monotonicity,0.08230415640650786,0.41094724000295224,0.5315298384010508,-0.18128713035976057,0.058153572787661506,-0.008733791819404651,0.07782970148425129,1.0,-0.057940278742527475,-0.04388596232667223,0.5319931777255982,-0.5609805679746975,-0.19946934280453035,0.1451760220048817,0.0787481789915649
MonotonicityCorrelation,-0.32026701519367595,-0.12462492086097607,0.005264877928603539,-0.03223420596945682,-0.043468848052426075,-0.03488265149735831,-0.35498735973366224,-0.057940278742527475,1.0,-0.026162784888940926,-0.0279655679601051,0.009970629583737832,-0.02283833793183451,0.14581024191919154,-0.10571117122586421
MonotonicityMetric,-0.0064042301038841985,-0.04414832104396948,-0.11883225131804931,0.0542315655605513,0.07235417415239381,-0.018395129021795038,-0.0061317096739316795,-0.04388596232667223,-0.026162784888940926,1.0,-0.08338718998955692,0.09805835501434508,-0.0014574643726016595,-0.03093107678080578,-0.05945999829909415
NonSensitivity,-0.05135662896419934,0.25515134743889134,0.7555507970373574,-0.24305186998345238,0.030409931869383948,0.024872207227901077,-0.09510044049488336,0.5319931777255982,-0.0279655679601051,-0.08338718998955692,1.0,-0.6564262418481398,0.02122833483563042,0.5227538972044806,-0.11459517136204392
RelativeInputStability,0.23268659923976845,-0.4762252266142175,-0.7717436220251999,0.12364323514794966,0.04765500127600704,0.007846939597856309,0.2255656404883749,-0.5609805679746975,0.009970629583737832,0.09805835501434508,-0.6564262418481398,1.0,0.43932179753279105,-0.2315089374898007,-0.08270582890419094
RelativeOutputStability,0.07020777076090444,-0.3110835190044041,-0.17389737582625375,-0.05498046507537678,-0.004902059020374582,-0.024960310766172385,0.01482032985082767,-0.19946934280453035,-0.02283833793183451,-0.0014574643726016595,0.02122833483563042,0.43932179753279105,1.0,0.26961305607610747,-0.25808706816775917
Sparseness,-0.43647047686972823,-0.527848825574302,0.3086665003404952,-0.1567942416778772,-0.016794872749494833,-0.1126081327585999,-0.44234659411900223,0.1451760220048817,0.14581024191919154,-0.03093107678080578,0.5227538972044806,-0.2315089374898007,0.26961305607610747,1.0,-0.3958419909774128
Sufficiency,0.32963527020026434,0.4627275716738742,0.21051370532513705,-0.19954025480213666,0.08316950220662,0.057068013899189134,0.31485663470156117,0.0787481789915649,-0.10571117122586421,-0.05945999829909415,-0.11459517136204392,-0.08270582890419094,-0.25808706816775917,-0.3958419909774128,1.0
