,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,476,476,476,476,476,476,476,476,476,476,476,345,344,476,476
Complexity,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
Consistency,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
Faithfulness,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
FaithfulnessEstimate,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
LocalLipschitzEstimate,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
MaxSensitivity,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
Monotonicity,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
MonotonicityCorrelation,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
MonotonicityMetric,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
NonSensitivity,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
RelativeInputStability,345,345,345,345,345,345,345,345,345,345,345,345,335,345,345
RelativeOutputStability,344,344,344,344,344,344,344,344,344,344,344,335,344,344,344
Sparseness,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
Sufficiency,476,546,546,546,546,546,546,546,546,546,546,345,344,546,546
