,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,2.1326684937391366e-17,0.9472452039094595,0.8949085850808078,0.6957789850539554,4.707722010598553e-07,1.6823897957621533e-254,0.05460245948064234,1.7288592476102076e-14,0.8813138121176729,0.23088879590146624,1.6527664929319686e-06,0.15388054717191518,8.408301298788932e-27,2.6393205139016366e-15
Complexity,2.1326684937391366e-17,0.0,4.317068227487081e-41,0.004720686539259215,0.028601035775923555,0.33911143470069166,9.267957203976182e-15,1.1619736645271419e-23,0.0035367532165101623,0.30313396842052703,1.4595903262171384e-09,7.0107391372058705e-25,9.68778156853096e-11,1.695558203385826e-40,2.5299970247196645e-30
Consistency,0.9472452039094595,4.317068227487081e-41,0.0,1.9831484996269973e-25,0.8330616944019682,0.7001572213210348,0.4978471761346435,3.855034332856052e-41,0.9023118547106196,0.005432471529676562,5.282414653229673e-102,3.2706644407495774e-83,0.0003783956917270038,1.6207356200469357e-13,6.925114647640893e-07
Faithfulness,0.8949085850808078,0.004720686539259215,1.9831484996269966e-25,0.0,3.0550183819073045e-05,0.0034077747367064156,0.5562270966495724,2.028540966163023e-05,0.4522469286102116,0.20578650055136666,8.778981670819982e-09,0.011705951125114227,0.26435836358733966,0.00023494796070375748,2.611325164435165e-06
FaithfulnessEstimate,0.6957789850539554,0.028601035775923555,0.8330616944019682,3.0550183819073045e-05,0.0,0.1705752803272235,0.45883205329754423,0.17481678111552598,0.3106435934798339,0.09121679525056492,0.47825402694475355,0.33283050770182776,0.9207879957999904,0.695377419635949,0.05210026873255285
LocalLipschitzEstimate,4.707722010598553e-07,0.33911143470069166,0.7001572213210348,0.0034077747367064156,0.1705752803272235,0.0,0.03865228831650427,0.8386539246064802,0.41594862513030206,0.6680079250895655,0.5619565898556306,0.8733737422436536,0.6125684715066297,0.008447872217357618,0.18301891280993168
MaxSensitivity,1.6823897957621533e-254,9.267957203976182e-15,0.4978471761346435,0.5562270966495724,0.45883205329754423,0.03865228831650427,0.0,0.0691852458063706,1.1676688321961941e-17,0.8863293128732411,0.026274952169719725,3.463741953590626e-06,0.7636784454687598,1.4555051487958432e-27,4.970031639274055e-14
Monotonicity,0.05460245948064226,1.1619736645271419e-23,3.855034332856052e-41,2.028540966163023e-05,0.17481678111552582,0.8386539246064802,0.0691852458063706,0.0,0.17640637635675052,0.30601920538795113,3.195176201616052e-41,8.953246776807332e-36,4.360879005703204e-05,0.0006676156239396634,0.06595642342027667
MonotonicityCorrelation,1.7288592476102076e-14,0.0035367532165101623,0.9023118547106196,0.4522469286102116,0.3106435934798339,0.415948625130302,1.1676688321961941e-17,0.17640637635675044,0.0,0.5418354275407158,0.5143422206972436,0.8395183911247067,0.6431157581270989,0.0006318304065951215,0.01345918753599477
MonotonicityMetric,0.8813138121176729,0.30313396842052703,0.005432471529676562,0.20578650055136666,0.09121679525056492,0.6680079250895655,0.8863293128732411,0.30601920538795113,0.5418354275407158,0.0,0.05148609411382057,0.04589161058991532,0.9764136872450705,0.4707424205193601,0.165312469491276
NonSensitivity,0.23088879590146624,1.4595903262171384e-09,5.2824146532302296e-102,8.778981670819982e-09,0.47825402694475355,0.5619565898556306,0.026274952169719677,3.195176201616052e-41,0.5143422206972436,0.05148609411382057,0.0,1.6684412209703553e-52,0.6667044872455374,1.2786966108166265e-39,0.007353361705690722
RelativeInputStability,1.6527664929319686e-06,7.0107391372058705e-25,3.2706644407495774e-83,0.011705951125114227,0.33283050770182776,0.8733737422436536,3.463741953590626e-06,8.953246776807332e-36,0.8395183911247067,0.04589161058991532,1.6684412209703553e-52,0.0,1.536326958907391e-20,1.8709725954708086e-06,0.09244330768500542
RelativeOutputStability,0.15388054717191518,9.68778156853096e-11,0.0003783956917270038,0.26435836358733966,0.9207879957999904,0.6125684715066297,0.7636784454687598,4.3608790057032044e-05,0.6431157581270989,0.9764136872450705,0.6667044872455374,1.536326958907391e-20,0.0,2.5074053797467127e-08,1.0044806276953114e-07
Sparseness,8.408301298788932e-27,1.695558203385826e-40,1.6207356200469357e-13,0.00023494796070375692,0.695377419635949,0.008447872217357632,1.4555051487958432e-27,0.0006676156239396647,0.0006318304065951215,0.47074242051936,1.2786966108166265e-39,1.8709725954708086e-06,2.5074053797467127e-08,0.0,6.318981736930564e-22
Sufficiency,2.6393205139016366e-15,2.5299970247196645e-30,6.925114647640868e-07,2.611325164435141e-06,0.05210026873255285,0.18301891280993168,4.970031639274055e-14,0.06595642342027665,0.013459187535994758,0.165312469491276,0.007353361705690714,0.09244330768500542,1.0044806276953114e-07,6.318981736930564e-22,0.0
